,DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
0,01,1,A,frag,1,greet,"
good afternoon ",greet-opening,,,punc,type,stop
1,01,1,A,frag,2,refer,"
Virgin Trainline ",partial-frag,,positive,punc,type,level
2,01,1,A,frag,3,identifySelf,"
Sandra speaking ",intro-partial-decl,,positive,punc,type,stop
3,01,1,A,q-wh,4,reqDirect,"
for which journey do you wish to purchase a ticket ",preference2-open-query,journey,positive,punc,type,query
4,01,2,B,dm,5,hesitate,"
em
",,,,,,
5,01,2,B,decl,6,direct-state,"
it's from Birmingham to em London Euston please ",request-decl,location-to-from,positive,punc,type,stop
6,01,3,A,q-yn,7,reqInfo,"
is that Birmingham New Street ",closed-query,location,positive,punc,type,query
7,01,4,B,yes,8,answer-acknowledge,"
yeah ",,,,punc,type,stop
8,01,5,A,dm,9,init,"
now
",,,,,,
9,01,5,A,q-yn,10,reqInfo,"
do you hold a current debit or credit card ",alternative-closed-query,creditcard,positive,punc,type,query
10,01,6,B,yes,11,answer-acknowledge,"
er yeah
",,,,,,
11,01,6,B,frag,12,elab-state,"
a debit card ",decl,creditcard,positive,punc,type,stop
12,01,7,A,dm,13,init,"
now ",,,,punc,type,level
13,01,7,A,q-yn,14,reqInfo,"
",closed-query,railcard,positive,pause,,
14,01,7,A,q-yn,14,reqInfo,"
",closed-query,railcard,positive,punc,type,query
15,01,8,B,no,15,answer-negate,"
no ",,,,punc,type,stop
16,01,9,A,q-wh,16,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
17,01,10,B,frag,17,answer-refer,"
one ",decl,number,positive,punc,type,stop
18,01,11,A,q-wh,18,reqInfo,"
and what date is it you're travelling out ",open-query,journey-date,positive,punc,type,query
19,01,12,B,decl,19,answer-refer,"
the 8th of October ",decl,month-date,positive,punc,type,stop
20,01,13,A,frag,20,reqInfo,"
",query-open-query,time-departure,positive,pause,,
21,01,13,A,frag,20,reqInfo,"
",query-open-query,time-departure,positive,punc,type,query
22,01,14,B,decl,21,answer-stateIntent,"
i'd like to leave on the 7:33 train ",intent-preference1-decl,enum-departure,positive,punc,type,stop
23,01,15,A,frag,22,reqInfo,"
from Birmingham International ",partial-query,location-from,positive,punc,type,query
24,01,16,B,frag,23,answer-state,"
New Street ",decl,,positive,punc,type,stop
25,01,17,A,dm,24,apologise,"
sorry ",regret,,,punc,type,stop
26,01,17,A,frag,25,refer,"
Birmingham New Street ",decl,location,positive,punc,type,stop
27,01,17,A,yes,26,acknowledge,"
yeah ",,,,punc,type,stop
28,01,17,A,decl,27,state,"
",exists-frag,location-from-enum,positive,pause,length,10s
29,01,17,A,decl,27,state,"
",exists-frag,location-from-enum,positive,punc,type,level
30,01,17,A,frag,28,state,"
arriving at 9:05 in Euston ",decl,location-time-enum-arrival,positive,punc,type,stop
31,01,18,B,yes,29,acknowledge,"
yeah ",,,,punc,type,stop
32,01,19,A,q-wh,30,reqInfo,"
and when is it you're returning ",open-query,time-return,positive,punc,type,query
33,01,20,B,dm,31,hesitate,"
em
",,,,,,
