DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,9,A,q-wh,16.0,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
36,13,A,frag,20.0,reqInfo,"
",query-open-query,time-departure,positive,pause,,
36,13,A,frag,20.0,reqInfo,"
",query-open-query,time-departure,positive,punc,type,query
37,7,A,q-wh,12.0,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
37,21,A,frag,32.0,reqInfo,"
departing at what time ",query-open-query,time-departure,positive,punc,type,query
38,7,A,q-wh,12.0,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
39,18,B,q-wh,43.0,reqInfo,"
how much is the ticket ",query-open-query,journey,positive,punc,type,query
39,30,B,q-wh,74.0,reqInfo,"
",query-open-query,,positive,pause,,
39,30,B,q-wh,74.0,reqInfo,"
",query-open-query,,positive,punc,type,query
40,7,A,q-wh,12.0,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
41,7,A,q-wh,11.0,reqInfo,"
and how many people are travelling ",query-open-query,number-journey,positive,punc,type,query
42,7,A,q-wh,13.0,reqInfo,"
how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
43,9,A,q-wh,13.0,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
45,7,A,q-wh,14.0,reqInfo,"
and how many people are travelling ",query-open-query,number-journey,positive,punc,type,query
47,7,A,q-wh,11.0,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
48,7,A,q-wh,12.0,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
48,46,B,frag,75.0,reqInfo,"
15 what ",query-open-query,enum,positive,punc,type,query
49,17,A,q-wh,34.0,reqInfo,"
how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
50,9,A,q-wh,19.0,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
52,7,A,q-wh,14.0,reqInfo,"
and ",query-open-query,number-journey,positive,pause,,
52,7,A,q-wh,14.0,reqInfo,"
and ",query-open-query,number-journey,positive,punc,type,query
52,30,B,q-wh,49.0,reqInfo,"
how many hours ",query-open-query,number,positive,punc,type,query
52,46,B,q-wh,79.0,reqInfo,"
what do you mean ",query-open-query,,positive,punc,type,query
54,7,A,q-wh,12.0,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
56,9,A,frag,17.0,reqInfo,"
departing at what time ",query-open-query,time-departure,positive,punc,type,query
57,5,A,q-wh,11.0,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
58,5,A,q-wh,10.0,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
60,5,A,q-wh,10.0,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
61,21,A,frag,38.0,reqInfo,"
",query-open-query,time-departure,positive,pause,length,3s
61,21,A,frag,38.0,reqInfo,"
",query-open-query,time-departure,positive,punc,type,query
62,19,A,frag,36.0,reqInfo,"
departing at what time ",query-open-query,time-departure,positive,punc,type,query
64,5,A,q-wh,10.0,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
67,17,A,q-wh,29.0,reqInfo,"
how many people's travelling tomorrow ",query-open-query,number-journey-day,positive,punc,type,query
68,5,A,q-wh,9.0,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
69,5,A,q-wh,9.0,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
69,36,B,q-wh,98.0,reqInfo,"
",query-open-query,,positive,pause,,
69,36,B,q-wh,98.0,reqInfo,"
",query-open-query,,positive,overlap,type,start
69,36,B,q-wh,98.0,reqInfo,"
",query-open-query,,positive,punc,type,query
69,52,B,q-wh,134.0,reqInfo,"
how much would that cost ",query-open-query,,positive,punc,type,query
