DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
37,10,B,decl,15.0,answer-state,"
the Saturday which is the 3rd i think ",opinion-decl,day,positive,punc,type,stop
39,48,B,decl,121.0,expressOpinion,"
and i think they're coming back on Sunday the 11th at 5 o'clock ",opinion-decl,time-enum-day,positive,punc,type,stop
49,50,B,frag,97.0,elab-expressOpinion,"
",opinion-decl,number,positive,pause,,
49,50,B,frag,97.0,elab-expressOpinion,"
",opinion-decl,number,positive,punc,type,stop
52,14,B,decl,24.0,expressOpinion,"
",opinion-decl,,positive,pause,,
52,14,B,decl,24.0,expressOpinion,"
",opinion-decl,,positive,punc,type,stop
58,18,B,frag,33.0,expressOpinion,"
think it's 11:41 ",opinion-decl,,positive,punc,type,stop
58,24,B,frag,47.0,expressOpinion,"
",opinion-decl,,positive,pause,length,2s
58,24,B,frag,47.0,expressOpinion,"
",opinion-decl,,positive,punc,type,stop
58,62,B,decl,113.0,expressOpinion,"
i think it's Wynn Mail House ",opinion-decl,,positive,punc,type,stop
62,18,B,decl,35.0,elab-expressOpinion,"
i think it's the 8th ",opinion-decl,,positive,punc,type,stop
62,36,B,decl,89.0,elab-expressOpinion,"
i think so ",opinion-decl,,positive,punc,type,stop
67,44,B,decl,76.0,expressOpinion,"
i do ",opinion-decl,,positive,pause,,
67,44,B,decl,76.0,expressOpinion,"
i do ",opinion-decl,,positive,punc,type,stop
69,24,B,decl,54.0,expressOpinion,"
and i think it's the same train ",opinion-decl,,positive,punc,type,stop
70,128,B,decl,246.0,expressOpinion,"
i think this is her ",opinion-decl,,positive,overlap,type,start
70,128,B,decl,246.0,expressOpinion,"
i think this is her ",opinion-decl,,positive,punc,type,stop
