DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,3,A,q-yn,7.0,reqInfo,"
is that Birmingham New Street ",closed-query,location,positive,punc,type,query
36,7,A,q-yn,14.0,reqInfo,"
",closed-query,railcard,positive,pause,,
36,7,A,q-yn,14.0,reqInfo,"
",closed-query,railcard,positive,punc,type,query
36,37,A,q-yn,73.0,reqInfo,"
and ",closed-query,booking-seat,positive,overlap,type,end
36,37,A,q-yn,73.0,reqInfo,"
and ",closed-query,booking-seat,positive,punc,type,query
37,5,A,q-yn,10.0,reqInfo,"
do you have a railcard at all ",closed-query,railcard,positive,punc,type,query
37,14,B,q-yn,21.0,reqInfo,"
do you know ",closed-query,,positive,punc,type,query
38,5,A,q-yn,10.0,reqInfo,"
do you have a rail card at all ",closed-query,railcard,positive,punc,type,query
38,9,A,q-yn,14.0,reqInfo,"
is that two adults ",closed-query,number,positive,punc,type,query
38,32,B,q-yn,48.0,reqOpt,"
could i er ",closed-query,time-enum,positive,pause,,
38,32,B,q-yn,48.0,reqOpt,"
could i er ",closed-query,time-enum,positive,punc,type,query
38,95,A,q-yn,137.0,reqInfo,"
do you have any seat preference ",closed-query,booking-seat,positive,punc,type,query
39,9,A,q-yn,17.0,reqInfo,"
and is it just for one person ",closed-query,number,positive,punc,type,query
39,11,A,q-yn,22.0,reqInfo,"
",closed-query,railcard,positive,pause,,
39,11,A,q-yn,22.0,reqInfo,"
",closed-query,railcard,positive,punc,type,query
39,40,B,q-yn,88.0,reqOpt,"
can i be a pain and ask you about Thursday night ",closed-query,day,positive,punc,type,query
39,44,B,q-yn,104.0,reqInfo,"
is that a Super Saver Advance yes ",closed-query,fare,positive,punc,type,query
39,45,A,q-yn,111.0,reqInfo,"
is it you're returning ",closed-query,return,positive,punc,type,query
39,97,A,q-yn,210.0,reqInfo,"
do you have a pen handy ",closed-query,,positive,punc,type,query
40,5,A,q-yn,10.0,reqInfo,"
do you have a rail card at all ",closed-query,railcard,positive,punc,type,query
40,9,A,q-yn,14.0,reqInfo,"
is that two adults ",closed-query,number,positive,punc,type,query
40,32,B,q-yn,48.0,reqOpt,"
could i er ",closed-query,time-enum,positive,pause,,
40,32,B,q-yn,48.0,reqOpt,"
could i er ",closed-query,time-enum,positive,punc,type,query
40,95,A,q-yn,137.0,reqInfo,"
do you have any seat preference ",closed-query,booking-seat,positive,punc,type,query
41,5,A,q-yn,9.0,reqInfo,"
and do you have a railcard at all ",closed-query,railcard,positive,punc,type,query
41,18,B,q-wh,29.0,suggest,"
what about the 15:20 ",closed-query,,positive,punc,type,query
41,29,A,q-yn,49.0,reqInfo,"
do you have any seat preference ",closed-query,booking-seat,positive,punc,type,query
42,5,A,q-yn,11.0,reqInfo,"
and do you have a railcard at all ",closed-query,railcard,positive,punc,type,query
42,40,B,q-yn,71.0,reqInfo,"
",closed-query,,positive,pause,,
42,40,B,q-yn,71.0,reqInfo,"
",closed-query,,positive,punc,type,query
43,3,A,q-yn,7.0,reqInfo,"
",closed-query,creditcard,positive,pause,length,3s
43,3,A,q-yn,7.0,reqInfo,"
",closed-query,creditcard,positive,pause,,
43,3,A,q-yn,7.0,reqInfo,"
",closed-query,creditcard,positive,punc,type,query
43,7,A,q-yn,11.0,reqInfo,"
",closed-query,railcard,positive,pause,length,7s
43,7,A,q-yn,11.0,reqInfo,"
",closed-query,railcard,positive,punc,type,query
43,21,A,q-yn,40.0,reqInfo,"
and is it standard class ",closed-query,,positive,punc,type,query
43,42,B,q-yn,86.0,reqInfo,"
do you take accept American Express ",closed-query,,positive,punc,type,query
44,5,A,q-yn,14.0,reqInfo,"
is it just for one ",closed-query,number,positive,punc,type,query
44,7,A,q-yn,17.0,reqInfo,"
do you have a railcard ",closed-query,railcard,positive,punc,type,query
45,5,A,q-yn,11.0,reqInfo,"
and do you have a railcard at all ",closed-query,railcard,positive,punc,type,query
46,5,A,q-yn,14.0,reqInfo,"
is it just for one ",closed-query,number,positive,punc,type,query
46,9,A,q-yn,19.0,reqInfo,"
and do you have a railcard at all ",closed-query,railcard,positive,punc,type,query
46,11,A,q-yn,24.0,reqInfo,"
is it Saturday the 3rd ",closed-query,journey-month-date-day,positive,pause,,
46,11,A,q-yn,24.0,reqInfo,"
is it Saturday the 3rd ",closed-query,journey-month-date-day,positive,overlap,type,start
46,11,A,q-yn,24.0,reqInfo,"
is it Saturday the 3rd ",closed-query,journey-month-date-day,positive,punc,type,query
46,50,B,q-yn,113.0,reqOpt,"
",closed-query,confirm-time,positive,pause,,
46,50,B,q-yn,113.0,reqOpt,"
",closed-query,confirm-time,positive,punc,type,query
46,63,A,q-yn,133.0,reqInfo,"
and do you have any seat preference ",closed-query,booking-seat,positive,punc,type,query
47,15,A,q-yn,26.0,reqInfo,"
do you have a railcard ",closed-query,railcard,positive,punc,type,query
47,42,B,q-yn,70.0,reqOpt,"
",closed-query,fare-departure-return,positive,pause,,
47,42,B,q-yn,70.0,reqOpt,"
",closed-query,fare-departure-return,positive,punc,type,query
47,62,B,q-yn,110.0,reqInfo,"
is that easier ",closed-query,,positive,punc,type,query
47,88,B,q-wh,167.0,suggest,"
what about the next ",closed-query,,positive,pause,,
47,88,B,q-wh,167.0,suggest,"
what about the next ",closed-query,,positive,punc,type,query
48,9,A,q-yn,14.0,reqInfo,"
is that 4 adults ",closed-query,number,positive,punc,type,query
48,11,A,q-yn,17.0,reqInfo,"
does anyone have a railcard ",closed-query,railcard,positive,punc,type,query
48,32,B,q-wh,59.0,reqInfo,"
what about for the Wednesday ",closed-query,day,positive,punc,type,query
48,52,B,q-wh,86.0,reqOpt,"
what about the Wednesday ",closed-query,day,positive,punc,type,query
48,131,A,q-yn,212.0,reqInfo,"
do you have a pen handy ",closed-query,,positive,punc,type,query
49,9,A,q-yn,15.0,reqInfo,"
is that London Euston ",closed-query,location,positive,punc,type,query
49,15,A,q-yn,32.0,reqInfo,"
do you have a railcard at all ",closed-query,railcard,positive,punc,type,query
49,32,B,q-yn,63.0,reqInfo,"
",closed-query,to-location,positive,pause,length,8s
49,32,B,q-yn,63.0,reqInfo,"
",closed-query,to-location,positive,punc,type,query
50,3,A,q-yn,8.0,reqInfo,"
is it yourself that is the credit card holder ",closed-query,creditcard,positive,punc,type,query
50,7,A,q-yn,14.0,reqInfo,"
",closed-query,journey-railcard,positive,pause,,
50,7,A,q-yn,14.0,reqInfo,"
",closed-query,journey-railcard,positive,punc,type,query
50,69,A,q-yn,132.0,reqInfo,"
",closed-query,location,positive,pause,,
50,69,A,q-yn,132.0,reqInfo,"
",closed-query,location,positive,punc,type,query
51,9,A,q-yn,19.0,reqInfo,"
do you hold a railcard at all ",closed-query,railcard,positive,punc,type,query
51,11,A,q-yn,21.0,reqInfo,"
do you hold a railcard ",closed-query,railcard,positive,punc,type,query
51,13,A,q-yn,23.0,reqInfo,"
is it just for one ",closed-query,number,positive,punc,type,query
51,24,B,q-yn,46.0,reqInfo,"
",closed-query,,positive,pause,,
51,24,B,q-yn,46.0,reqInfo,"
",closed-query,,positive,punc,type,query
51,75,A,q-yn,151.0,reqConfirm,"
is that ",closed-query,,positive,anonym,type,letter
51,75,A,q-yn,151.0,reqConfirm,"
is that ",closed-query,,positive,anonym,type,alpha
51,75,A,q-yn,151.0,reqConfirm,"
is that ",closed-query,,positive,punc,type,query
52,3,A,q-yn,8.0,reqInfo,"
is that Birmingham New Street ",closed-query,location,positive,punc,type,query
52,9,A,q-yn,16.0,reqInfo,"
do you have a railcard at all ",closed-query,railcard,positive,punc,type,query
52,20,B,q-yn,32.0,reqInfo,"
do you have the times ",closed-query,,positive,pause,,
52,20,B,q-yn,32.0,reqInfo,"
do you have the times ",closed-query,,positive,punc,type,query
