intent_type,phrase,label
accept,fine,ACCEPT_POS
accept,good,ACCEPT_POS
accept,I can manage that,ACCEPT_POS
accept,I am going to have to cope with that,ACCEPT_POS
accept,i will do that,ACCEPT_POS
accept,I am not bothered by that,ACCEPT_POS
accept,I am sure,ACCEPT_POS
accept,It is okay,ACCEPT_POS
accept,mhm,ACCEPT_POS
accept,mhm fine,ACCEPT_POS
accept,no problem,ACCEPT_POS
accept,oh that would be fine yeah,ACCEPT_POS
accept,oh that is okay then,ACCEPT_POS
accept,oh that is right erm,ACCEPT_POS
accept,okay fine yeah,ACCEPT_POS
accept,okay then,ACCEPT_POS
accept,right,ACCEPT_POS
accept,right okay,ACCEPT_POS
accept,rightio,ACCEPT_POS
accept,sure,ACCEPT_POS
accept,that sounds fine,ACCEPT_POS
accept,that is fine,ACCEPT_POS
accept,That is alright,ACCEPT_POS
accept,That is correct,ACCEPT_POS
accept,That is fine yes,ACCEPT_POS
accept,That is gonna have to do yeah okay,ACCEPT_POS
accept,That is good,ACCEPT_POS
accept,That is just great,ACCEPT_POS
accept,That is okay,ACCEPT_POS
accept,That is right,ACCEPT_POS
accept,That is the one,ACCEPT_POS
accept,yeah,ACCEPT_POS
accept,yeah sure,ACCEPT_POS
accept,yeah that is fine,ACCEPT_POS
accept,yep,ACCEPT_POS
accept,yes,ACCEPT_POS
accept,yes lovely,ACCEPT_POS
accept,yes please,ACCEPT_POS
accept,you can,ACCEPT_POS
accept,cool,ACCEPT_POS
accept,cool okay,ACCEPT_POS
accept,yea that is cool,ACCEPT_POS
accept,cool yeah okay,ACCEPT_POS
accept,cool yeah,ACCEPT_POS
accept,Absolutely,ACCEPT_POS
accept,Certainly,ACCEPT_POS
accept,Yes please,ACCEPT_POS
accept,Would you please,ACCEPT_POS
accept,not to worry,ACCEPT_POS
accept,No It does not matter,ACCEPT_POS
accept,Of course,ACCEPT_POS
accept,by all means,ACCEPT_POS
accept,be my guest,ACCEPT_POS
accept,i do not see why not,ACCEPT_POS
accept,why not,ACCEPT_POS
accept,you bet,ACCEPT_POS
accept,okay,ACCEPT_POS
accept,great,ACCEPT_POS
accept,that works best,ACCEPT_POS
accept,sounds fine,ACCEPT_POS
accept,right,ACCEPT_POS
accept,correct,ACCEPT_POS
accept,affirmative,ACCEPT_POS
accept,you have my permission,ACCEPT_POS
accept,uh huh,ACCEPT_POS
accept,mm hmm,ACCEPT_POS
accept,sounds good,ACCEPT_POS
accept,no problem,ACCEPT_POS
accept,no worries,ACCEPT_POS
accept,No,ACCEPT_NEG
accept,Yes No,ACCEPT_NEG
accept,No Yes,ACCEPT_NEG
accept,Yup,ACCEPT_POS
acknowledge,I get the impression that,ACK_INTERPRET
acknowledge,I am picking up that you,ACK_INTERPRET
acknowledge,Could it be that,ACK_INTERPRET
acknowledge,I understand the problem as,ACK_INTERPRET
acknowledge,Correct me if I am wrong,ACK_INTERPRET
acknowledge,Let me see if I understand,ACK_INTERPRET
acknowledge,Can you tell me more,ACK_INTERPRET
acknowledge,Would you say more about that,ACK_INTERPRET
acknowledge,Let me make sure I understand you,ACK_INTERPRET
acknowledge,Have you considered,ACK_SUGGEST
acknowledge,From where you stand,ACK_INTERPRET
acknowledge,You think,ACK_INTERPRET
acknowledge,You mean,ACK_INTERPRET
acknowledge,You believe,ACK_INTERPRET
acknowledge,From your point of view,ACK_INTERPRET
acknowledge,What I hear you saying,ACK_SUGGEST
acknowledge,In your experience,ACK_SUGGEST
acknowledge,Is there any chance that you,ACK_INTERPRET
acknowledge,It seems that you,ACK_INTERPRET
acknowledge,From where I stand you,ACK_INTERPRET
acknowledge,Is it conceivable that,ACK_INTERPRET
acknowledge,I get the impression that,ACK_INTERPRET
acknowledge,I definitely will make sure that it gets sorted,ACK_HELP_POS
acknowledge,I absolutely agree with you,ACK_HELP_POS
acknowledge,I can certainly help you,ACK_COMPLIMENT
acknowledge,That is exactly right,ACK_COMPLIMENT
acknowledge,I completely agree with you,ACK_COMPLIMENT
acknowledge,I will quickly run through this with you,ACK_SUGGEST
acknowledge,That is a fantastic alternative,ACK_COMPLIMENT
acknowledge,Great news,ACK_COMPLIMENT
acknowledge,Marvellous choice,ACK_COMPLIMENT
acknowledge,Splendid,ACK_COMPLIMENT
acknowledge,That is an excellent suggestion,ACK_COMPLIMENT
acknowledge,I hope you enjoy your,ACK_WISH
acknowledge,All that is left to do now,ACK_SUGGEST
acknowledge,It is essential that you,ACK_SUGGEST
acknowledge,It is a very generous offer,ACK_COMPLIMENT
acknowledge,I can highly recommend,ACK_SUGGEST
acknowledge,Thanks we aim to provide a friendly service,ACK_COMPLIMENT
acknowledge,That is certainly impressive,ACK_COMPLIMENT
acknowledge,That it is an interesting idea,ACK_COMPLIMENT
acknowledge,Brilliant I am glad we are on the same page,ACK_COMPLIMENT
acknowledge,Yes it is an exciting prospect,ACK_COMPLIMENT
acknowledge,I think that it�s a terrific option,ACK_SUGGEST
acknowledge,That is absolutely fascinating,ACK_COMPLIMENT
acknowledge,You certainly are an expert on this,ACK_COMPLIMENT
acknowledge,That is personally my favourite option,ACK_SUGGEST
acknowledge,It would definitely be ideal considering your situation,ACK_SUGGEST
acknowledge,Definitely,ACK_POS
acknowledge,Surely,ACK_POS
acknowledge,Absolutely,ACK_POS
acknowledge,Gladly,ACK_POS
acknowledge,Certainly,ACK_POS
acknowledge,Fantastic,ACK_POS
acknowledge,Great,ACK_POS
acknowledge,Good,ACK_POS
acknowledge,Terrific,ACK_POS
acknowledge,Assure,ACK_POS
acknowledge,Understand,ACK_POS
acknowledge,Awful,ACK_NEG
acknowledge,Horrible,ACK_NEG
acknowledge,Terrible,ACK_NEG
acknowledge,Bad,ACK_NEG
acknowledge,Never,ACK_NEG
acknowledge,Dumb,ACK_NEG
acknowledge,Rude,ACK_HELP_POS
