DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,61,A,imp,111.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
2,24,B,imp,35.0,suggest,"
em let's say ",,time,positive,pause,,
2,34,B,imp,52.0,hold,"
let me think ",opinion-manage,,positive,pause,,
3,115,A,imp,170.0,direct,"
show your credit card
",,creditcard,positive,,,
4,60,B,imp,137.0,direct,"
book that for ",,booking,positive,overlap,type,start
4,83,A,imp,173.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
6,49,A,imp,68.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
7,53,A,imp,80.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
8,53,A,imp,91.0,direct,"
give me the postcode first of all yeah
",,address,positive,,,
8,61,A,imp,102.0,direct,"
and just confirm the rest of the address please
",,confirm-address,positive,,,
9,71,A,imp,121.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
9,100,B,imp,165.0,informIntent-hold,"
let me just get that down ok hold on yeah ok
",manage,hold,positive,,,
11,59,A,imp,104.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
12,56,B,imp,86.0,direct,"
just leave it the 19 80
",,departure-time,positive,,,
12,98,B,imp,179.0,suggest,"
let's try ",,,positive,pause,,
12,139,A,imp,246.0,direct,"
",,confirm-address,positive,pause,length,2s
13,99,A,imp,147.0,direct,"
and confirm the address for me please
",,confirm-address,positive,,,
14,133,A,imp,210.0,direct,"
remember and take your letter of authorisation with you
",,,positive,,,
15,41,A,imp,81.0,hold,"
just bear with me
",manage,hold,positive,,,
15,58,B,imp,106.0,hold,"
hold on a second
",manage,hold,positive,,,
15,66,B,imp,116.0,hold,"
hold on a second
",manage,hold,positive,,,
16,40,B,imp,72.0,hold,"
erm hold on
",manage,hold,positive,,,
18,111,A,imp,216.0,direct,"
show your credit card
",,creditcard,positive,,,
19,59,A,imp,87.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
21,57,A,imp,91.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
23,61,A,imp,94.0,direct,"
confirm that address for me please
",,confirm-address,positive,,,
24,43,A,imp,72.0,direct,"
",,confirm-address,positive,pause,length,3s
26,48,B,imp,101.0,informIntent-hold,"
let me get it the right way round ",closure,,positive,pause,,
26,52,B,imp,120.0,direct,"
don't mind that
",,,negative,,,
27,81,A,imp,138.0,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
28,187,A,imp,288.0,suggest,"
and you ",,day-journey-railcard,positive,pause,,
28,192,B,imp,294.0,hold,"
hold it
",,,positive,,,
28,192,B,imp,295.0,hold,"
hold it
",,,positive,,,
29,73,A,imp,124.0,direct,"
and confirm that address for me
",,confirm-address,positive,,,
31,6,B,imp,10.0,hold,"
let me get this right
",,,positive,,,
31,15,A,imp,29.0,suggest,"
call us back when you're ready
",,time,positive,,,
35,38,B,imp,60.0,suggest,"
let's go with that then to for the ",,,positive,unclear,length,2 syllables
35,38,B,imp,60.0,suggest,"
let's go with that then to for the ",,,positive,pause,length,3s
35,66,B,imp,106.0,hold,"
hold the line
",manage,hold,positive,,,
35,78,B,imp,127.0,hold,"
just hold the line
",manage,hold,positive,,,
35,132,B,imp,226.0,hold,"
just hold the line
",manage,hold,positive,,,
35,132,B,imp,228.0,hold,"
hold on
",manage,hold,positive,,,
35,134,B,imp,233.0,direct,"
let's go for it
",,,positive,,,
36,61,A,imp,115.0,direct,"
and confirm that address for me please ",request-frag,confirm-address,positive,punc,type,level
37,24,B,imp,40.0,suggest,"
let's say ",decl,time-enum,positive,pause,,
37,24,B,imp,40.0,suggest,"
let's say ",decl,time-enum,positive,punc,type,stop
37,34,B,imp,58.0,hold,"
",opinion-hold-decl,,positive,pause,,
37,34,B,imp,58.0,hold,"
",opinion-hold-decl,,positive,punc,type,stop
38,115,A,imp,187.0,direct,"
show your credit card
",,creditcard,positive,,,
39,58,B,imp,142.0,direct,"
book that for ",decl,booking,positive,overlap,type,start
39,58,B,imp,142.0,direct,"
book that for ",decl,booking,positive,punc,type,stop
39,81,A,imp,186.0,direct,"
and confirm that address for me please ",request-decl,confirm-address,positive,punc,type,stop
40,115,A,imp,187.0,direct,"
show your credit card
",,creditcard,positive,,,
41,49,A,imp,75.0,direct,"
and confirm that address for me please ",request-decl,confirm-address,positive,punc,type,stop
