DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,3,A,q-yn,5.0,reqInfo,"
is that Birmingham New Street
",closed,location,positive,,,
1,7,A,q-yn,12.0,reqInfo,"
do you have a rail card
",closed,railcard,positive,,,
1,37,A,q-yn,71.0,reqDirect,"
and ",closed,preference-booking-seat,positive,overlap,type,end
2,3,A,q-yn,6.0,reqInfo,"
do you hold a current debit or credit card
",closed,creditcard,positive,,,
2,5,A,q-yn,8.0,reqInfo,"
do you have a railcard at all
",closed,railcard,positive,,,
2,14,B,q-yn,19.0,reqInfo,"
do you know
",closed,,positive,,,
2,34,B,q-yn,53.0,reqModal,"
do you mind if i cancel
",closed,,positive,,,
3,3,A,q-yn,6.0,reqInfo,"
do you hold a current credit or debit card
",closed,creditcard,positive,,,
3,5,A,q-yn,8.0,reqInfo,"
do you have a rail card at all
",closed,railcard,positive,,,
3,9,A,q-yn,12.0,reqInfo,"
is that two adults
",closed,number,positive,,,
3,32,B,q-yn,40.0,direct,"
er could i er ",closed,time,positive,pause,,
3,45,A,q-yn,58.0,reqDirect,"
do you want me to book this ticket
",closed,preference-booking-journey,positive,,,
3,47,A,q-yn,60.0,reqDirect,"
",closed,preference-fare,positive,pause,,
3,92,B,frag,119.0,answ,"
is the third 99
",closed,,positive,,,
3,95,A,q-yn,124.0,reqDirect,"
do you have any seat preference
",closed,preference-booking-seat,positive,,,
4,7,A,q-yn,13.0,reqInfo,"
do you hold a current credit or debit card
",closed,creditcard,positive,,,
4,9,A,q-yn,15.0,reqInfo,"
and is it just for one person
",closed,number,positive,,,
4,11,A,q-yn,20.0,reqInfo,"
do you have a railcard at all
",closed,railcard,positive,,,
4,18,B,q-yn,43.0,reqInfo,"
can you tell me
",closed,,positive,,,
4,40,B,q-yn,83.0,reqInfo,"
can i be a pain and ask you about Thursday night
",closed,day,positive,,,
4,46,B,q-yn,101.0,reqInfo,"
is that a supersaver advance yes
",closed,fare,positive,,,
4,99,A,q-yn,194.0,reqInfo,"
do you have a pen handy
",closed,,positive,,,
4,108,B,q-yn,205.0,reqModal,"
can i just repeat the reference please
",closed,booking,positive,,,
5,3,A,q-yn,6.0,reqInfo,"
do you hold a current debit or credit card
",closed,creditcard,positive,,,
5,7,A,q-yn,11.0,reqInfo,"
do you have a current rail card
",closed,railcard,positive,,,
5,28,B,q-yn,42.0,reqModal,"
can i book a ticket on that one the 16 05
",closed,enum-number-booking-journey,positive,,,
5,32,B,q-yn,47.0,hold,"
erm can you hold a second again
",closed,,positive,,,
6,3,A,q-yn,6.0,reqInfo,"
do you hold a current credit or debit or credit card
",closed,creditcard,positive,,,
6,5,A,q-yn,8.0,reqInfo,"
and do you have a railcard at all
",closed,railcard,positive,,,
6,29,A,q-yn,43.0,reqDirect,"
do you have any seat preference
",closed,preference-booking-seat,positive,,,
6,69,A,q-yn,95.0,reqInfo,"
can you repeat that long number across your card
",closed,number,positive,,,
7,3,A,q-yn,6.0,reqInfo,"
do you hold a current debit or credit card
",closed,creditcard,positive,,,
7,5,A,q-yn,9.0,reqInfo,"
and do you have a railcard at all
",closed,railcard,positive,,,
7,20,B,q-yn,34.0,reqModal,"
can i leave it open please
",closed,departure-fare,positive,,,
7,28,B,q-yn,46.0,reqInfo,"
is that got the the tea and coffee as well
",closed,,positive,,,
7,40,B,q-yn,63.0,reqInfo,"
have they had a price increase
",closed,,positive,,,
8,3,A,q-yn,6.0,reqInfo,"
is it yourself as is a credit and debit card holder
",closed,creditcard,positive,,,
8,5,A,q-yn,8.0,reqInfo,"
do you hold a current debit or credit card
",closed,creditcard,positive,,,
