DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
46,11,A,q-wh,23.0,reqInfo-abandon,"
what time ",open-abandon,time,positive,punc,type,incomplete
47,56,B,q-yn,99.0,reqInfo-abandon,"
",poss2-alternative-abandon-disflu,fare-time-enum,positive,pause,,
47,56,B,q-yn,99.0,reqInfo-abandon,"
",poss2-alternative-abandon-disflu,fare-time-enum,positive,punc,type,incomplete
47,82,B,q-wh,155.0,reqInfo-abandon,"
",condition-open-abandon,time,positive,pause,,
47,82,B,q-wh,155.0,reqInfo-abandon,"
",condition-open-abandon,time,positive,pause,,
47,82,B,q-wh,155.0,reqInfo-abandon,"
",condition-open-abandon,time,positive,punc,type,incomplete
48,32,B,frag,57.0,reqInfo-abandon,"
but wh... ",abandon-constrain,,positive,punc,type,incomplete
48,80,B,q-yn,135.0,reqInfo-abandon,"
but do they ",tag-constrain-closed-abandon,,positive,punc,type,incomplete
49,12,B,q-yn,24.0,reqInfo-abandon,"
do they both go on the same ",interruption,,positive,punc,type,incomplete
49,90,B,q-yn,173.0,reqInfo-abandon,"
or do i have to do that o... ",alternative-constrain-closed-interruption,,positive,punc,type,incomplete
50,72,B,q-yn,139.0,reqInfo-abandon,"
is it ",tag-closed-abandon,,positive,overlap,type,end
50,72,B,q-yn,139.0,reqInfo-abandon,"
is it ",tag-closed-abandon,,positive,punc,type,incomplete
52,5,A,q-yn,10.0,reqInfo-abandon,"
and is it ",tag-closed-abandon,,positive,punc,type,incomplete
53,2,B,q-yn,12.0,reqInfo-abandon,"
",report-alternative-constrain-closed-abandon,,positive,pause,,
53,2,B,q-yn,12.0,reqInfo-abandon,"
",report-alternative-constrain-closed-abandon,,positive,pause,,
53,2,B,q-yn,12.0,reqInfo-abandon,"
",report-alternative-constrain-closed-abandon,,positive,punc,type,incomplete
53,10,B,q-wh,32.0,reqInfo-abandon,"
how much is ",open-interruption,,positive,overlap,type,end
53,10,B,q-wh,32.0,reqInfo-abandon,"
how much is ",open-interruption,,positive,punc,type,incomplete
53,22,B,q-yn,57.0,reqInfo-abandon,"
is it is this the booking offices ",closed-abandon,booking,positive,punc,type,incomplete
69,25,A,decl,58.0,reqInfo-abandon,"
what mean then what ",query-abandon,,positive,punc,type,incomplete
69,48,B,q-yn,122.0,reqInfo-abandon,"
we... are these ",closed-abandon,,positive,pause,,
69,48,B,q-yn,122.0,reqInfo-abandon,"
we... are these ",closed-abandon,,positive,punc,type,incomplete
69,52,B,q-wh,131.0,reqInfo-abandon,"
",query-abandon-open-abandon,,positive,pause,,
69,52,B,q-wh,131.0,reqInfo-abandon,"
",query-abandon-open-abandon,,positive,punc,type,incomplete
70,57,A,q-yn,96.0,reqInfo-abandon,"
",closed-interruption,enum,positive,pause,length,3s
70,57,A,q-yn,96.0,reqInfo-abandon,"
",closed-interruption,enum,positive,punc,type,incomplete
70,86,B,q-yn,156.0,reqInfo-abandon,"
is there anything a little ",exists-closed-abandon,location,positive,punc,type,incomplete
