DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,21,A,frag,34.0,reqConfirm,"
",query,time-arrival,positive,pause,length,7s
36,21,A,frag,34.0,reqConfirm,"
",query,time-arrival,positive,punc,type,query
36,25,A,decl,41.0,reqConfirm,"
and that's for the 8th of October ",query,month-date,positive,punc,type,query
36,31,A,decl,61.0,reqConfirm,"
we say it's a return journey ",tag-frag,fare-journey,positive,punc,type,level
36,41,A,frag,82.0,reqConfirm,"
",partial-query,departure,positive,pause,length,2s
36,41,A,frag,82.0,reqConfirm,"
",partial-query,departure,positive,punc,type,query
36,85,A,dm,146.0,reqConfirm,"
ok now ",,,,punc,type,query
37,17,A,frag,26.0,reqConfirm,"
arriving at 17:30 ",decl,time-arrival,positive,punc,type,stop
37,23,A,decl,36.0,reqConfirm,"
and that's Monday the 5th yeah ",query,day,positive,punc,type,query
38,27,A,frag,39.0,reqConfirm,"
",query,month-date,positive,pause,,
38,27,A,frag,39.0,reqConfirm,"
",query,month-date,positive,punc,type,query
38,29,A,decl,42.0,reqConfirm,"
",query,month-date-day,positive,pause,length,3s
38,29,A,decl,42.0,reqConfirm,"
",query,month-date-day,positive,punc,type,query
38,115,A,dm,189.0,reqConfirm,"
ok
",,,,,,
39,16,B,decl,39.0,reqConfirm,"
so the train from Liverpool goes to Wigan anyway yeah ",query,to-location-from,positive,punc,type,query
39,19,A,decl,45.0,reqConfirm,"
you want a ticket from Wigan now ",query,journey-from,positive,punc,type,query
39,24,B,decl,55.0,reqConfirm,"
that's the cheapest ",query,fare,positive,punc,type,query
39,26,B,decl,63.0,reqConfirm,"
",exists-query,,negative,pause,length,3s
39,26,B,decl,63.0,reqConfirm,"
",exists-query,,negative,punc,type,query
39,32,B,decl,77.0,reqConfirm,"
that's a return ",query,fare,positive,pause,,
39,32,B,decl,77.0,reqConfirm,"
that's a return ",query,fare,positive,punc,type,query
39,34,B,decl,79.0,reqConfirm,"
and that's leaving Manchester at 6:11 ",query,location-time-departure,positive,pause,,
