DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,6,B,frag,12.0,elab-state,"
a debit card ",decl,creditcard,positive,punc,type,stop
36,10,B,frag,17.0,answer-refer,"
one ",decl,number,positive,punc,type,stop
36,12,B,decl,19.0,answer-refer,"
the 8th of October ",decl,month-date,positive,punc,type,stop
36,16,B,frag,23.0,answer-state,"
New Street ",decl,,positive,punc,type,stop
36,17,A,frag,25.0,refer,"
Birmingham New Street ",decl,location,positive,punc,type,stop
36,17,A,frag,28.0,state,"
arriving at 9:05 in Euston ",decl,location-time-enum-arrival,positive,punc,type,stop
36,20,B,frag,32.0,answer-refer,"
same day ",decl,day,positive,punc,type,stop
36,48,B,frag,100.0,refer,"
",decl,,positive,anonym,type,name
36,48,B,frag,100.0,refer,"
",decl,,positive,punc,type,stop
36,48,B,frag,101.0,refer,"
",decl,,positive,anonym,type,spell
36,48,B,frag,101.0,refer,"
",decl,,positive,punc,type,stop
36,50,B,frag,103.0,answer-refer,"
",decl,,positive,anonym,type,letter
36,50,B,frag,103.0,answer-refer,"
",decl,,positive,punc,type,stop
36,52,B,frag,105.0,answer-refer,"
Doctor ",decl,,positive,punc,type,stop
36,54,B,frag,108.0,answer-refer,"
0 1 1 1 ",decl,enum,positive,punc,type,stop
36,58,B,frag,112.0,refer,"
1 3 1 8 ",decl,enum,positive,punc,type,stop
36,60,B,frag,114.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
36,60,B,frag,114.0,answer-refer,"
",decl,enum,positive,pause,,
36,60,B,frag,114.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
36,60,B,frag,114.0,answer-refer,"
",decl,enum,positive,anonym,type,letter
36,60,B,frag,114.0,answer-refer,"
",decl,enum,positive,punc,type,stop
36,62,B,decl,116.0,state,"
it's ",decl,address,positive,anonym,type,street
36,62,B,decl,116.0,state,"
it's ",decl,address,positive,pause,,
36,62,B,decl,116.0,state,"
it's ",decl,address,positive,punc,type,stop
36,62,B,decl,117.0,state,"
it's number 12 ",decl,number,positive,punc,type,stop
36,63,A,frag,118.0,echo-refer,"
12  ",decl,,positive,punc,type,stop
36,64,B,decl,120.0,answer-state,"
it's a debit card ",decl,creditcard,positive,backchannel,content,aha
36,64,B,decl,120.0,answer-state,"
it's a debit card ",decl,creditcard,positive,punc,type,stop
36,74,B,frag,131.0,refer,"
0 1 5 ",decl,enum,positive,punc,type,stop
36,75,A,frag,132.0,echo-refer,"
0 1 5 ",decl,enum,positive,punc,type,stop
36,76,B,frag,134.0,answer-refer,"
1 ",decl,enum,positive,punc,type,stop
36,78,B,frag,136.0,answer-refer,"
November this year ",decl,month,positive,punc,type,stop
36,79,A,decl,138.0,state,"
this is your reference number your tickets have been booked under ",decl,booking-number-journey,positive,punc,type,stop
36,85,A,decl,144.0,state,"
and 40 pounds exactly's been debited from your debit card ",decl,booking-fare-enum-creditcard,positive,punc,type,stop
36,86,B,decl,147.0,confirm-approve,"
that's brilliant ",decl,,positive,punc,type,stop
37,12,B,frag,17.0,complete,"
",decl,month,positive,overlap,type,start
37,12,B,frag,17.0,complete,"
",decl,month,positive,punc,type,stop
37,13,A,frag,18.0,echo-refer,"
October ",decl,month,positive,overlap,type,end
37,13,A,frag,18.0,echo-refer,"
October ",decl,month,positive,punc,type,stop
37,15,A,decl,23.0,answer-state,"
the trains run at 10 to the hour every hour ",decl,time-enum,positive,punc,type,stop
37,16,B,frag,24.0,echo-refer,"
every hour ",decl,time,positive,punc,type,stop
37,17,A,frag,26.0,reqConfirm,"
arriving at 17:30 ",decl,time-arrival,positive,punc,type,stop
37,20,B,frag,31.0,answer-refer,"
Monday ",decl,day,positive,punc,type,stop
37,22,B,frag,34.0,answer-refer,"
",decl,time,positive,unclear,length,2 syllables
37,22,B,frag,34.0,answer-refer,"
",decl,time,positive,punc,type,stop
37,24,B,imp,40.0,suggest,"
let's say ",decl,time-enum,positive,pause,,
37,24,B,imp,40.0,suggest,"
let's say ",decl,time-enum,positive,punc,type,stop
37,25,A,decl,43.0,state,"
",decl,location-enum-arrival,positive,pause,,
37,25,A,decl,43.0,state,"
",decl,location-enum-arrival,positive,punc,type,stop
37,26,B,decl,45.0,approve,"
that's great ",decl,,positive,punc,type,stop
37,29,A,decl,50.0,state,"
the 19 pounds is not available at the dates and times specified ",decl,fare-availability-date-enum,negative,punc,type,stop
37,33,A,decl,55.0,state,"
that's a Super Advance Return at 30 pounds ",decl,fare-enum,positive,punc,type,stop
37,34,B,frag,56.0,echo-refer,"
30 ",decl,,positive,punc,type,stop
38,8,B,frag,13.0,answer-refer,"
two ",decl,number,positive,punc,type,stop
38,12,B,frag,18.0,answer-refer,"
3rd of October ",decl,month-date,positive,punc,type,stop
38,18,B,frag,27.0,elab-refer,"
at about midday ",decl,time-day,positive,punc,type,stop
38,24,B,frag,35.0,direct-refer,"
8 minutes to 10 ",decl,time-enum,positive,punc,type,stop
38,25,A,frag,37.0,state,"
arriving in London Euston at 12:17 ",decl,location-time-arrival,positive,punc,type,stop
38,31,A,decl,45.0,state,"
the trains run on the hour from Euston to Macclesfield ",decl,to-location-time-from,positive,punc,type,stop
38,35,A,frag,52.0,state,"
arriving in Macclesfield at 16:03 ",decl,time-arrival,positive,punc,type,stop
38,39,A,decl,58.0,state,"
the cheapest fare for the dates and times specified is going to be your Super Advance Return at 30 pounds each ",decl,fare-date-enum,positive,punc,type,stop
38,41,A,decl,61.0,state,"
the 19 pounds Virgin Value fare ",decl,fare-enum-availability-time-day,negative,backchannel,content,yes
38,41,A,decl,61.0,state,"
the 19 pounds Virgin Value fare ",decl,fare-enum-availability-time-day,negative,punc,type,stop
38,49,A,frag,72.0,complete,"
Super Advance at 30 pounds each ",decl,fare-enum,positive,punc,type,stop
38,54,B,decl,81.0,refer,"
it's ",decl,,positive,anonym,type,name
38,54,B,decl,81.0,refer,"
it's ",decl,,positive,punc,type,stop
38,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
38,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
38,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
38,56,B,frag,83.0,answer-refer,"
",decl,,positive,pause,,
38,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
38,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
38,56,B,frag,83.0,answer-refer,"
",decl,,positive,anonym,type,letter
38,56,B,frag,83.0,answer-refer,"
",decl,,positive,punc,type,stop
38,66,B,frag,99.0,refer,"
treble 9 ",decl,,positive,punc,type,stop
38,67,A,frag,100.0,echo-refer,"
treble 9 ",decl,,positive,punc,type,stop
38,70,B,frag,104.0,refer,"
4 ",decl,enum,positive,anonym,type,letter
38,70,B,frag,104.0,refer,"
4 ",decl,enum,positive,anonym,type,letter
38,70,B,frag,104.0,refer,"
4 ",decl,enum,positive,punc,type,stop
38,72,B,frag,108.0,refer,"
Macclesfield ",decl,,positive,punc,type,stop
38,74,B,decl,112.0,answer-state,"
it's Visa ",decl,creditcard,positive,punc,type,stop
38,90,B,frag,128.0,refer,"
1 9 ",decl,enum,positive,punc,type,stop
38,91,A,frag,129.0,echo-refer,"
1 9 ",decl,enum,positive,punc,type,stop
38,92,B,frag,131.0,state,"
is the 3rd 99 ",decl,,positive,punc,type,stop
38,93,A,decl,133.0,answer,"
60 pounds will be debited from that account ",decl,booking-fare-enum,positive,punc,type,stop
38,94,B,frag,136.0,direct-refer,"
non-smoking ",decl,seat,positive,punc,type,stop
38,99,A,decl,149.0,state,"
and that's forward facing seats ",decl,seat,positive,backchannel,content,yes
38,99,A,decl,149.0,state,"
and that's forward facing seats ",decl,seat,positive,punc,type,stop
