DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,23,A,decl,37.0,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
37,27,A,decl,47.0,stateIntent-hold,"
i'm just going to check with you what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
38,29,A,decl,41.0,stateIntent-hold,"
and i'm just going to check your return time ",intent-report-hold-decl,fare-verify-time,positive,punc,type,stop
38,37,A,decl,55.0,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
38,73,A,decl,109.0,stateIntent-hold,"
",intent-hold-decl,,positive,pause,,
38,73,A,decl,109.0,stateIntent-hold,"
",intent-hold-decl,,positive,punc,type,stop
39,21,A,decl,49.0,stateIntent-hold,"
",intent-benefit-decl,verify,positive,pause,length,5s
39,21,A,decl,49.0,stateIntent-hold,"
",intent-benefit-decl,verify,positive,punc,type,stop
39,45,A,decl,106.0,stateIntent-hold,"
i'll just double check that again ",intent-decl,verify,positive,punc,type,stop
40,29,A,decl,41.0,stateIntent-hold,"
and i'm just going to check your return time ",intent-report-hold-decl,fare-verify-time,positive,punc,type,stop
40,37,A,decl,55.0,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
40,73,A,decl,109.0,stateIntent-hold,"
",intent-hold-decl,,positive,pause,,
40,73,A,decl,109.0,stateIntent-hold,"
",intent-hold-decl,,positive,punc,type,stop
41,15,A,decl,22.0,stateIntent-hold,"
what i'm going to do is i'm going to check to see what's the cheapest fare available ",intent-decl,fare-availability-verify-date,positive,backchannel,content,right
41,15,A,decl,22.0,stateIntent-hold,"
what i'm going to do is i'm going to check to see what's the cheapest fare available ",intent-decl,fare-availability-verify-date,positive,punc,type,stop
42,11,A,decl,22.0,stateIntent-hold,"
i'm just going to check that cos the fares are actually off change
",intent-report-hold-reason-constrain,fare-verify,positive,,,
