DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
1,9,A,q-wh,14.0,reqInfo,"
and how many people's travelling
",open,number-journey,positive,,,
1,11,A,q-wh,16.0,reqInfo,"
and what date is it you're travelling out
",open,date-journey,positive,,,
1,19,A,q-wh,28.0,reqInfo,"
and when is it you're returning
",open,time-return,positive,,,
2,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
2,7,A,q-wh,10.0,reqInfo,"
and how many people's travelling
",open,number-journey,positive,,,
2,9,A,q-wh,12.0,reqInfo,"
and what date is it you're travelling
",open,date-journey,positive,,,
2,13,A,q-wh,17.0,reqInfo,"
departing at what time from London Euston
",open,time-location-departure-from,positive,,,
2,19,A,q-wh,27.0,reqInfo,"
when are you returning
",open,time-return,positive,,,
3,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
3,7,A,q-wh,10.0,reqInfo,"
and how many people's travelling
",open,number-journey,positive,,,
3,11,A,q-wh,14.0,reqInfo,"
and what date is it you're departing
",open,departure-date,positive,,,
3,15,A,q-wh,18.0,reqDirect,"
",open,time-preference-from,positive,pause,,
3,17,A,q-wh,20.0,reqDirect,"
",open,time-preference,positive,pause,length,7s
3,23,A,q-wh,28.0,reqDirect,"
but when would you prefer
",open-constrain,time-preference,positive,,,
3,55,A,q-wh,73.0,reqInfo,"
and how do you spell that
",open,,positive,,,
3,73,A,q-wh,99.0,reqInfo,"
what type of credit card is that you hold
",open,creditcard,positive,,,
4,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
4,13,A,q-wh,23.0,reqDirect,"
what time around would you like to depart
",open,time-preference,positive,,,
4,18,B,q-wh,42.0,reqInfo,"
how much is the ticket
",open,journey,positive,,,
4,28,B,q-wh,64.0,suggest,"
erm ",open-abandon,,positive,pause,length,4s
4,28,B,q-wh,64.0,suggest,"
erm ",open-abandon,,positive,pause,,
4,30,B,q-wh,70.0,reqInfo,"
how much is that
",open,,positive,,,
4,48,B,q-wh,109.0,reqInfo,"
erm ",open-alternative,departure-time,positive,pause,,
4,87,A,q-wh,178.0,reqInfo,"
and what type of credit card is that you hold
",open,creditcard,positive,,,
5,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
5,5,A,q-wh,9.0,reqInfo,"
and how many people's travelling
",open,number-journey,positive,,,
5,13,A,q-wh,18.0,reqInfo,"
what date is it you're travelling
",open,date-journey,positive,,,
5,17,A,q-wh,22.0,reqInfo,"
departing from Euston at what time
",open,time-location-departure-from,positive,,,
5,21,A,q-wh,28.0,reqInfo,"
when is it you're returning
",open,time-return,positive,,,
5,29,A,q-wh,43.0,reqInfo,"
",open,time-return,positive,pause,length,5s
6,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
6,7,A,q-wh,10.0,reqInfo,"
and how many people are travelling
",open,number-journey,positive,,,
6,9,A,q-wh,12.0,reqDirect,"
and what date you'd like to travel out on
",open,preference-date-journey,positive,,,
6,11,A,q-wh,14.0,reqInfo,"
departing Preston at what time
",open,time-location-departure,positive,,,
6,13,A,q-wh,16.0,reqDirect,"
",open,time-preference,positive,pause,length,2s
6,18,B,q-wh,25.0,reqInfo,"
what about the 15 20
",open,enum,positive,,,
6,20,B,q-wh,29.0,reqInfo,"
what's the cost for that ",open,fare-booking,positive,pause,,
6,53,A,q-wh,74.0,reqInfo,"
and what type of credit card is that do you hold
",open,creditcard,positive,,,
7,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
7,7,A,q-wh,11.0,reqInfo,"
how many people's travelling
",open,number-journey,positive,,,
7,9,A,q-wh,13.0,reqInfo,"
and what date you travelling out
",open,date-journey,positive,,,
7,13,A,q-wh,26.0,reqDirect,"
what time do you like to depart on ",open,day-preference-time,positive,overlap,type,start
7,57,A,q-wh,85.0,reqInfo,"
",open,creditcard,positive,pause,,
8,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
