DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,63,A,frag,114.0,echo,"
11 ",partial,enum,positive,pause,,
1,76,B,frag,130.0,inform,"
2
",partial,enum,positive,,,
2,13,A,frag,16.0,echo,"
October ",partial,month,positive,overlap,type,end
2,34,B,frag,51.0,confirm,"
30 em ",partial,enum,positive,pause,,
3,13,A,frag,16.0,confirm,"
Saturday
",partial,day,positive,,,
3,101,A,frag,138.0,correct,"
52
",partial,,positive,,,
3,114,B,frag,166.0,echo,"
{letter}%8
",partial,spell,positive,,,
4,4,B,frag,8.0,answ,"
Edinburgh
",partial,location,positive,,,
4,5,A,frag,9.0,reqInfo,"
from
",partial,from,positive,,,
6,22,B,frag,31.0,reqInfo,"
",partial,fare,positive,pause,,
6,66,B,frag,91.0,answ,"
8
",partial,enum,positive,,,
7,37,A,frag,58.0,uninterpretable,"
",partial,,positive,vocal,content,laughter
7,38,B,frag,59.0,uninterpretable,"
",partial,,positive,unclear,length,9 syllables
9,43,A,frag,81.0,expressRegret,"
unfortunately ",partial,,positive,overlap,type,end
9,46,B,frag,86.0,answ,"
er miss
",partial,miss,positive,,,
9,48,B,frag,89.0,ackn,"
",partial,,positive,vocal,content,laughter
9,54,B,frag,96.0,uninterpretable,"
",partial,,positive,vocal,content,coughs
10,32,B,frag,49.0,exclaim,"
oh
",partial,,positive,,,
12,34,B,frag,51.0,directElab,"
facing ",partial,seat,positive,overlap,type,end
12,101,A,frag,187.0,reqInfo,"
from
",partial,,positive,,,
13,69,A,frag,103.0,init,"
and ",partial,,positive,overlap,type,end
13,105,A,frag,154.0,uninterpretable,"
",partial,,positive,unclear,length,0 syllables
14,8,B,frag,12.0,answ,"
London
",partial,location,positive,,,
14,106,B,frag,173.0,answElab,"
Merchandising
",partial,,positive,,,
14,107,A,frag,174.0,confirm,"
",partial,,positive,pause,length,3s
15,46,B,frag,88.0,answ,"
{surname}%12%8%4%14%23%4
",partial,name,positive,,,
15,48,B,frag,90.0,answ,"
{letter}%15
",partial,spell,positive,,,
15,50,B,frag,92.0,answ,"
Mr
",partial,,positive,,,
16,48,B,frag,94.0,uninterpretable,"
",partial,,positive,unclear,length,1 syllable
16,48,B,frag,94.0,uninterpretable,"
",partial,,positive,overlap,type,end
16,51,A,frag,97.0,uninterpretable,"
this ",partial,,positive,overlap,type,end
16,58,B,frag,105.0,answ,"
{letter}%16
",partial,spell,positive,,,
16,86,B,frag,144.0,inform,"
Leicestershire
",partial,,positive,,,
16,112,B,frag,180.0,uninterpretable,"
",partial,,positive,unclear,length,1 syllable
18,16,B,frag,37.0,complete,"
before ",partial,,positive,overlap,type,end
18,35,A,frag,82.0,complete,"
second
",partial,,positive,,,
18,65,A,frag,146.0,echo,"
7
",partial,enum,positive,,,
19,82,B,frag,120.0,uninterpretable,"
",partial,,positive,unclear,length,3 syllables
22,44,B,frag,100.0,uninterpretable,"
",partial,,positive,unclear,length,7_syllables
22,44,B,frag,100.0,uninterpretable,"
",partial,,positive,overlap,type,end
24,18,B,frag,29.0,appreciate,"
great
",partial,,positive,,,
25,48,B,frag,81.0,thank,"
thankyou
",partial,,positive,,,
26,3,A,frag,6.0,reqInfo,"
from
",partial,,positive,,,
26,13,A,frag,18.0,reqInfo,"
senior
",partial,,positive,,,
27,66,B,frag,122.0,inform,"
4
",partial,enum,positive,,,
27,68,B,frag,124.0,inform,"
2 ",partial,enum,positive,overlap,type,end
27,69,A,frag,125.0,echo,"
2
",partial,enum,positive,,,
27,98,B,frag,157.0,answElab,"
0
",partial,enum,positive,,,
27,99,A,frag,158.0,echo,"
0
",partial,enum,positive,,,
27,118,B,frag,185.0,echo,"
{letter}%8
",partial,spell,positive,,,
28,54,B,frag,100.0,echo,"
",partial,fare,positive,pause,,
28,71,A,frag,132.0,answ,"
sixteenth
",partial,,positive,,,
28,112,B,frag,190.0,accept,"
good
",partial,,positive,,,
28,128,B,frag,212.0,uninterpretable,"
",partial,,positive,unclear,length,3 syllables
28,130,B,frag,218.0,uninterpretable,"
",partial,,positive,unclear,length,3 syllables
28,196,B,frag,302.0,echo,"
{letter}%18
",partial,spell,positive,,,
28,198,B,frag,304.0,echo,"
{letter}%20
",partial,spell,positive,,,
28,200,B,frag,306.0,echo,"
{letter}%15
",partial,spell,positive,,,
28,203,A,frag,309.0,inform,"
3 ",partial,enum,positive,overlap,type,end
28,205,A,frag,311.0,inform,"
3
",partial,enum,positive,,,
28,206,B,frag,312.0,echo,"
3
",partial,enum,positive,,,
28,208,B,frag,314.0,echo,"
{letter}%9
",partial,spell,positive,,,
29,18,B,frag,28.0,appreciate,"
brilliant
",partial,,positive,,,
30,3,A,frag,6.0,reqInfo,"
to
",partial,,positive,,,
30,4,B,frag,7.0,answ,"
Euston
",partial,location,positive,,,
32,3,A,frag,5.0,reqInfo,"
from
",partial,,positive,,,
33,54,B,frag,89.0,answ,"
{letter}%3
",partial,spell,positive,,,
33,66,B,frag,109.0,answ,"
{letter}%4 {letter}%3 {letter}%10 ",partial,,positive,pause,,
33,69,A,frag,113.0,echo,"
{letter}%1
",partial,spell,positive,,,
33,71,A,frag,115.0,echo,"
15
",partial,,positive,,,
33,80,B,frag,126.0,answElab,"
Management
",partial,,positive,,,
33,81,A,frag,127.0,echo,"
Management
",partial,,positive,,,
33,88,B,frag,137.0,answElab,"
Basildon
",partial,location,positive,,,
33,89,A,frag,138.0,complete,"
",partial,,positive,pause,,
35,54,B,frag,82.0,confirm,"
nothing
",partial,,positive,,,
35,61,A,frag,97.0,inform-cont,"
Saturday
",partial,day,positive,,,
35,120,B,frag,206.0,appreciate,"
great
",partial,,positive,,,
35,126,B,frag,217.0,appreciate,"
great
",partial,,positive,,,
35,134,B,frag,230.0,inform,"
",partial,,positive,pause,length,2s
35,136,B,frag,236.0,answ,"
{letter}%15
",partial,spell,positive,,,
35,152,B,frag,255.0,appreciate,"
great
",partial,,positive,,,
35,178,B,frag,285.0,appreciate,"
great
",partial,,positive,,,
58,66,B,frag,124.0,refer,"
Red Gail Head ",partial,,positive,punct,type,level
