Call_ID,Speaker,Conversation,Start,End,ConversationLower,ConversationLowerJoin,ConversationLowerJoinContracts,ConversationLowerJoinContractsNums,ConversationLowerJoinContractsNumsNoPunct,ConversationLowerJoinContractsNumsNoPunctTokens,ConversationLowerJoinContractsNumsNoPunctTokensSpell,ConversationLowerJoinContractsNumsNoPunctTokensSpellStem,ConversationLowerJoinContractsNumsNoPunctTokensSpellLemma,ConversationLowerJoinContractsNumsNoPunctTokensSpellNoStop,ConversationLowerJoinContractsNumsNoPunctTokensSpellLemmaNoStop
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Thank you very much for calling card member services this is Jack and can please have the card number,14,16,thank you very much for calling card member services this is jack and can please have the card number,thank you very much for calling card member services this is jack and can please have the card number,thank you very much for calling card member services this is jack and can please have the card number,thank you very much for calling card member services this is jack and can please have the card number,thank you very much for calling card member services this is jack and can please have the card number,"['thank', 'you', 'very', 'much', 'for', 'calling', 'card', 'member', 'services', 'this', 'is', 'jack', 'and', 'can', 'please', 'have', 'the', 'card', 'number']","['thank', 'you', 'very', 'much', 'for', 'calling', 'card', 'member', 'services', 'this', 'is', 'jack', 'and', 'can', 'please', 'have', 'the', 'card', 'number']","['thank', 'you', 'veri', 'much', 'for', 'call', 'card', 'member', 'servic', 'thi', 'is', 'jack', 'and', 'can', 'pleas', 'have', 'the', 'card', 'number']","['thank', 'you', 'very', 'much', 'for', 'call', 'card', 'member', 'service', 'this', 'be', 'jack', 'and', 'can', 'please', 'have', 'the', 'card', 'number']","['thank', 'much', 'calling', 'card', 'member', 'services', 'jack', 'please', 'card', 'number']","['thank', 'much', 'call', 'card', 'member', 'service', 'jack', 'please', 'card', 'number']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Yes 4088,17,21,yes 4088,yes 4088,yes 4088,yes #,yes,['yes'],['yes'],['ye'],['yes'],['yes'],['yes']
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Thank you very much.,28,33,thank you very much.,thank you very much.,thank you very much.,thank you very #,thank you very,"['thank', 'you', 'very']","['thank', 'you', 'very']","['thank', 'you', 'veri']","['thank', 'you', 'very']",['thank'],['thank']
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,May I Have your name please.,34,36,may i have your name please.,may i have your name please.,may i have your name please.,# i have your name #,i have your name,"['i', 'have', 'your', 'name']","['i', 'have', 'your', 'name']","['i', 'have', 'your', 'name']","['i', 'have', 'your', 'name']",['name'],['name']
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Selena and Graham.,37,39,selena and graham.,selena and graham.,selena and graham.,selena and #,selena and,"['selena', 'and']","['helena', 'and']","['helena', 'and']","['helena', 'and']",['helena'],['helena']
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Also Lena Grimes what's on the card.,40,41,also lena grimes what's on the card.,also lena grimes what's on the card.,also lena grimes what is on the card.,also lena grimes what is on the #,also lena grimes what is on the,"['also', 'lena', 'grimes', 'what', 'is', 'on', 'the']","['also', 'lena', 'grimes', 'what', 'is', 'on', 'the']","['also', 'lena', 'grime', 'what', 'is', 'on', 'the']","['also', 'lena', 'grime', 'what', 'be', 'on', 'the']","['also', 'lena', 'grimes']","['also', 'lena', 'grime']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,May Ihave you.,42,46,may ihave you.,may ihave you.,may ihave you.,# ihave #,ihave,['ihave'],['have'],['have'],['have'],[],[]
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Phone number,47,51,phone number,phone number,phone number,phone number,phone number,"['phone', 'number']","['phone', 'number']","['phone', 'number']","['phone', 'number']","['phone', 'number']","['phone', 'number']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Mobile 0 for one eight one eight 6649.,57,60,mobile 0 for one eight one eight 6649.,mobile 0 for one eight one eight 6649.,mobile 0 for one eight one eight 6649.,mobile # for # # # # ##,mobile  for,"['mobile', 'for']","['mobile', 'for']","['mobil', 'for']","['mobile', 'for']",['mobile'],['mobile']
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Thank you very much and how I can help you today.,61,64,thank you very much and how i can help you today.,thank you very much and how i can help you today.,thank you very much and how i can help you today.,thank you very much and how i can help you #,thank you very much and how i can help you,"['thank', 'you', 'very', 'much', 'and', 'how', 'i', 'can', 'help', 'you']","['thank', 'you', 'very', 'much', 'and', 'how', 'i', 'can', 'help', 'you']","['thank', 'you', 'veri', 'much', 'and', 'how', 'i', 'can', 'help', 'you']","['thank', 'you', 'very', 'much', 'and', 'how', 'i', 'can', 'help', 'you']","['thank', 'much', 'help']","['thank', 'much', 'help']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Yes hello.,67,70,yes hello.,yes hello.,yes hello.,yes #,yes,['yes'],['yes'],['ye'],['yes'],['yes'],['yes']
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,I'm activated I got a couple of cards  in the Mile.,71,76,i'm activated i got a couple of cards  in the mile.,i'm activated i got a couple of cards  in the mile.,i am activated i got a couple of cards  in the mile.,i am activated i got a couple of cards  in the #,i am activated i got a couple of cards  in the,"['i', 'am', 'activated', 'i', 'got', 'a', 'couple', 'of', 'cards', 'in', 'the']","['i', 'am', 'activated', 'i', 'got', 'a', 'couple', 'of', 'cards', 'in', 'the']","['i', 'am', 'activ', 'i', 'got', 'a', 'coupl', 'of', 'card', 'in', 'the']","['i', 'be', 'activate', 'i', 'get', 'a', 'couple', 'of', 'card', 'in', 'the']","['activated', 'got', 'couple', 'cards']","['activate', 'get', 'couple', 'card']"
