DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,17,A,decl,25.0,inform,"
there's the 7 33 from Birmingham New Street
",exists,location-enum-from,positive,,,
1,17,A,frag,26.0,inform,"
arriving at 9 05 in Euston
",deixis,location-time-arrival,positive,,,
1,27,A,frag,40.0,inform,"
because of the time that you're travelling out ",reason,time-location-journey,positive,pause,,
1,27,A,decl,41.0,inform,"
there's not any advance purchase tickets left ",exists,fare-journey,negative,pause,,
1,27,A,decl,42.0,inform,"
they've now been booked up
",,avail,positive,,,
1,29,A,decl,45.0,inform,"
cos it's the normal price
",reason,,positive,,,
1,29,A,decl,47.0,inform,"
but you reduce that slightly ",constrain,fare,positive,pause,,
1,29,A,decl,48.0,inform,"
you'll be able to get the standard open single at 33 pounds on your outward service
",,fare,positive,,,
1,29,A,decl,50.0,inform,"
as long as you're prepared to stick to the date and time ",condition,time-date,positive,backchannel,content,yes
1,29,A,decl,51.0,inform,"
you can get the Virgin value single at 7 pounds ",poss2,fare,positive,backchannel,content,right
1,29,A,decl,53.0,inform,"
that's going to save you 21 pounds 50 there
",,fare,positive,,,
1,31,A,decl,59.0,inform,"
we say it's a return journey
",,fare-journey,positive,,,
1,31,A,decl,60.0,inform,"
but it's classed as two ",constrain,number-fare,positive,overlap,type,start
1,39,A,decl,74.0,inform,"
that's booked for you
",benefit,booking,positive,,,
1,45,A,decl,86.0,inform,"
if you miss the service i've reserved you on
",condition,miss,positive,,,
1,45,A,decl,87.0,inform,"
you are able to get the next available train ",poss2,avail,positive,backchannel,content,right
1,45,A,decl,88.0,inform,"
and it's a full refund less 5 pounds
",,refund-fare,positive,,,
1,45,A,decl,89.0,inform,"
if you have to cancel ",condition-constrain,cancel,positive,backchannel,content,right
1,45,A,decl,91.0,inform,"
you must stick to the date and time that you book ",constrain,time-date-booking,positive,backchannel,content,right
1,45,A,decl,92.0,inform,"
if you wanted to change the time of that travel
",condition,preference-time-journey,positive,,,
1,45,A,decl,93.0,inform,"
you must do so by 6 o'clock the day before your outward journey ",constrain,time-day-journey,positive,backchannel,content,yeah
1,45,A,decl,94.0,inform,"
and it's subject to availability and 5 pounds charge
",constrain,avail-fare,positive,,,
1,76,B,frag,130.0,inform,"
2
",partial,enum,positive,,,
1,78,B,frag,132.0,inform,"
November this year
",,month,positive,,,
1,79,A,decl,134.0,inform,"
this is your reference number your tickets have been booked under
",,booking-number-journey,positive,,,
1,81,A,decl,136.0,inform,"
it's {letter}%25 for %alpha {letter}%22 for %alpha ",,spell-name,positive,pause,,
1,83,A,frag,138.0,inform,"
{letter}%13 for %alpha the number 5 ",deixis,spell-name,positive,pause,,
1,85,A,decl,140.0,inform,"
and 40 pounds exactly's been debited from your debit card
",deixis,fare-booking-creditcard,positive,,,
1,85,A,decl,141.0,inform,"
and the two tickets will be posted out first class to you this afternoon
",,time-number-journey,positive,,,
2,14,B,decl,18.0,inform,"
i'm not sure what time the trains are
",doubt-report-closure,time,negative,,,
2,15,A,decl,21.0,inform,"
the trains run at 10 to the hour every hour
",closure,time,positive,,,
2,17,A,frag,24.0,inform,"
arriving at 17 30
",deixis,time-arrival,positive,,,
2,23,A,frag,31.0,inform,"
on the half hour
",deixis,time,positive,,,
2,25,A,decl,37.0,inform,"
there's a train at 14 30 from Manchester Picadilly ",exists,time-location-from,positive,pause,,
2,25,A,decl,38.0,inform,"
you arrive in London Euston for 17 hundred
",,arrival-location-time,positive,,,
2,28,B,decl,44.0,inform,"
i was quoted 19 pounds
",report,fare,positive,,,
2,29,A,decl,45.0,inform,"
the 19 pounds is not available at the dates and times specified
",,date-avail-fare,negative,,,
2,31,A,decl,47.0,inform,"
you'd need to travel out an hour later on Saturday and come back on the 19 59 train in the evening on Monday
",constrain,time-day-journey,positive,,,
2,33,A,decl,49.0,inform,"
if it has to be the dates and times that you specified to me ",condition-constrain,date,positive,backchannel,content,ok
2,33,A,decl,50.0,inform,"
that's a super advance return at 30 pounds
",,fare,positive,,,
3,19,A,decl,23.0,inform,"
the train going out on Saturday the trains run at 8 minutes to the hour
",,time-day,positive,,,
3,21,A,decl,26.0,inform,"
they're either 8 minutes to 9 or 8 minutes to 10
",alternative,time,positive,,,
3,25,A,frag,30.0,inform,"
",,time-location-departure-arrival,positive,pause,length,3s
3,31,A,decl,38.0,inform,"
the trains run on the hour from Euston to Macclesfield
",,location-time-to-from,positive,,,
3,35,A,frag,44.0,inform,"
arriving in Macclesfield at 16 03
",deixis,time-arrival,positive,,,
3,39,A,decl,50.0,inform,"
the cheapest fare for the dates and times specified is going to be your super advance return at 30 pounds each
",,fare-date,positive,,,
3,40,B,decl,52.0,inform,"
i've just been quoted 19 pounds
",report,fare,positive,,,
3,41,A,frag,53.0,inform,"
the 19 pounds Virgin value fare ",,fare-time-day-avail,negative,backchannel,content,yes
3,51,A,decl,68.0,inform,"
and you need to take your credit card with you
",constrain,creditcard,positive,,,
3,90,B,frag,116.0,inform,"
1 8
",,enum,positive,,,
3,93,A,frag,121.0,inform,"
60 pounds will be debited from that account ",deixis-closure,fare-booking,positive,pause,,
3,97,A,decl,128.0,inform,"
the best available i can book you is in smoking ",poss1,avail-booking-seat,positive,pause,,
3,97,A,decl,129.0,inform,"
there's not any non smoking seats left
",exists,seat,negative,,,
