DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,23,A,decl,37.0,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
37,27,A,decl,47.0,stateIntent-hold,"
i'm just going to check with you what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
38,29,A,decl,41.0,stateIntent-hold,"
and i'm just going to check your return time ",intent-report-hold-decl,fare-verify-time,positive,punc,type,stop
38,37,A,decl,55.0,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
40,29,A,decl,41.0,stateIntent-hold,"
and i'm just going to check your return time ",intent-report-hold-decl,fare-verify-time,positive,punc,type,stop
40,37,A,decl,55.0,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
42,25,A,decl,46.0,stateIntent-hold,"
i'm just going to book your seat ",intent-report-hold-decl,booking,positive,punc,type,stop
43,23,A,decl,43.0,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
43,31,A,decl,58.0,stateIntent-hold,"
",intent-report-hold-decl,,positive,pause,,
43,31,A,decl,58.0,stateIntent-hold,"
",intent-report-hold-decl,,positive,punc,type,stop
44,19,A,decl,47.0,stateIntent-hold,"
i'm just going to check to see what's the cheapest fare available with the first class ticket ",intent-report-hold-decl,fare-availability-journey-verify,positive,punc,type,stop
44,47,A,decl,112.0,stateIntent-hold,"
i'm just going to book your seat going out from Euston to Crewe ",intent-report-hold-decl,booking-to-location-from,positive,punc,type,stop
44,61,A,decl,137.0,stateIntent-hold,"
i'm just going to book your seat again ",intent-report-hold-decl,booking,positive,punc,type,stop
45,31,A,decl,61.0,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
50,13,A,decl,35.0,stateIntent-hold,"
i'm just going to get a booking form to fill in refax to the train station ",intent-report-hold-decl,booking,positive,punc,type,stop
53,45,A,decl,124.0,stateIntent-hold,"
i'm just going to book your seat ",intent-report-hold-decl,booking,positive,punc,type,stop
54,21,A,decl,34.0,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
54,27,A,decl,43.0,stateIntent-hold,"
i'm just checking to see what's the nearest time to that is a... is available ",intent-report-hold-decl,availability-verify-time,positive,punc,type,stop
56,11,A,decl,21.0,stateIntent-hold,"
i'm just going to check to see what's the cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
58,21,A,decl,37.0,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
59,9,A,decl,21.0,stateIntent-hold,"
i'm just going to check the 12:17 from Liverpool Lime Street arrives in Newcastle ",intent-report-hold-decl,location-verify-from-enum-arrival,positive,punc,type,stop
61,51,A,decl,136.0,stateIntent-hold,"
",intent-report-hold-decl,date,positive,pause,,
61,51,A,decl,136.0,stateIntent-hold,"
",intent-report-hold-decl,date,positive,overlap,type,start
61,51,A,decl,136.0,stateIntent-hold,"
",intent-report-hold-decl,date,positive,punc,type,stop
62,25,A,decl,47.0,stateIntent-hold,"
i'm just going to check to see what's the cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
63,15,A,decl,40.0,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-journey-verify,positive,backchannel,content,alright
63,15,A,decl,40.0,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-journey-verify,positive,backchannel,content,alright alright
63,15,A,decl,40.0,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-journey-verify,positive,punc,type,stop
64,17,A,decl,32.0,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
65,17,A,decl,29.0,stateIntent-hold,"
and i'm just checking to see what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
68,21,A,decl,32.0,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available ",intent-report-hold-decl,fare-availability-verify,positive,backchannel,content,ok
68,21,A,decl,32.0,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
70,39,A,decl,69.0,stateIntent-hold,"
i'm just going to check ",intent-report-hold-decl,fare-verify,positive,pause,,
70,39,A,decl,69.0,stateIntent-hold,"
i'm just going to check ",intent-report-hold-decl,fare-verify,positive,punc,type,stop
