Call ID,Speaker,Conversation
'21156517042117299,2,hi there this is Kevin how may I assist you today
'21156517042117299,1, %HESITATION good how are you
'21156517042117299,2, I'm fine how are you
'21156517042117299,1, %HESITATION I'm calling you because I have %HESITATION %HESITATION questions
'21156517042117299,2, sure
'21156517042117299,1, I bought %HESITATION I change phones and I can you know assess my icon %HESITATION %HESITATION email and I'm trying to reset my password and mine you know in my new phone %HESITATION trying to get my %HESITATION
'21156517042117299,2, hi
'21156517042117299,1, %HESITATION %HESITATION well you %HESITATION okay can you send me to boarding the sticks damage
'21156517042117299,2, %HESITATION no I'm really sorry only provide services in English
'21156517042117299,1, all right so let me try again I bought a new home %HESITATION setting my %HESITATION my apps when I sit in my office I forgot my username and password so I'm trying to %HESITATION to get it main menu home %HESITATION a new password and my use and they but %HESITATION you but I use my I. clout %HESITATION G. email but E. any small and the system is not letting me use my G. email %HESITATION account %HESITATION that's why I'm having the problem
'21156517042117299,2, I'm so sorry for that %HESITATION please
'21156517042117299,1, hello hello
'21156517042117299,2, please stay on the line I'm checking the details
'21156517042117299,1, %HESITATION yes what I couldn't hear anything you were saying
'21156517042117299,2, okay may I have your first and last name please
'21156517042117299,1, okay he's not again M. A. R. I. E. L. L. A. C. A. R. A. B. A. L. L. O.
'21156517042117299,2, okay merry only have the last four of your social security number
'21156517042117299,1, ninety six five three
'21156517042117299,2, thank you so much for that let me %HESITATION tell you what I've understood so we know we are in the same page you shifted your house and now you don't remember your user I. D. your password or and you don't even have access to your email account
'21156517042117299,1, so my I. cloud account
'21156517042117299,2, your iCloud dot com
'21156517042117299,1, yes
'21156517042117299,2, %HESITATION you don't even remember the password to your iCloud account
'21156517042117299,1, no you know what I don't remember is that I don't have enough and an apple please stay with me I I just bought a %HESITATION zero eight and I'm trying to set it in my new home
'21156517042117299,2, I'm so sorry to hear about that I apologize for the inconvenience what you need to do is that you need to send an email with these details to support at but your card dot com and they'll be able to assist you okay
'21156517042117299,1, well caught on
'21156517042117299,2, it's support at battle card dot com okay merry you
'21156517042117299,1, all right thank you
'21156517042117299,2, anything else I can help you with Maria
'21156517042117299,1, no well wasn't
'21156517042117299,2, thank you thank you so much for calling that'll take care of yourself bye
'21156517042117299,1, what
'21156517042138416,0,thank you for calling my card place my name is Steve how can I help you
'21156517042138416,3, all right I have a question for you %HESITATION I have a thank you
'21156517042138416,0, okay
'21156517042138416,3, and I transfer money yesterday %HESITATION the parks account to %HESITATION play court and if there
'21156517042138416,0, %HESITATION well sorry bout that can you please confirm your card number first
'21156517042138416,3, sure it is six zero one one nine three four seven five zero zero eight zero two eight
'21156517042138416,0, thank you so much and I would like to ask you what's your first and last name
'21156517042138416,3, Shane assignment
'21156517042138416,0, thank you and can I ask you what's your last four of your social and date of birth please miss Simon
'21156517042138416,3, sure two three to four July twenty third thank you
'21156517042138416,0, thank you in the address on the account physical address
'21156517042138416,3, one fifteen or sixty First Street Philadelphia Pennsylvania one nine one three nine
'21156517042138416,0, thank you so much you're not okay %HESITATION did you transfer that money from your gaming account for me venturing account like your vending
'21156517042138416,3, came in account
'21156517042138416,0, okay so %HESITATION when did you transfer that amount
'21156517042138416,3, yesterday
'21156517042138416,0, yesterday okay that will be take Mrs Simon %HESITATION twenty four to forty dollars I'm not saying it will be take the whole time but within this time frame %HESITATION like that money will be available on the card may I ask you how much is the amount
'21156517042138416,3, %HESITATION my date to %HESITATION transaction one or calling for ten dollars
'21156517042138416,0, I okay well %HESITATION I really apologize for that it's not received as of yet sorry about the delay I would request you to wait keep on checking on your account balance any time today %HESITATION or tomorrow the money will be available otherwise we are available twenty four by seven we can help you further
'21156517042138416,3, the only reason why I'm asking because or and when you look on the website it says pending
'21156517042138416,0, right that's right %HESITATION actually you were talking to a company who's providing prepaid debit card services for parks casino only an account so we don't know what happening over there once that will be cleared from the pending status it will be available on our site and then they can give it to you without any delay are you getting the point
'21156517042138416,3, okay so you're saying so anytime just let me be clear so anytime I transfer money from the accounts of the car is gonna take twenty four to forty eight hours to get it
'21156517042138416,0, right right
'21156517042138416,3, well
'21156517042138416,0, that's the maximum time it's not like that twenty four to forty eight hours will be the total time frame for example
'21156517042138416,3, it was
'21156517042138416,0, well it should be instant but that's up to the casino how fast they will release the snot funds will be available on the card it should be
'21156517042138416,3, in and but
'21156517042138416,0, they need to check a lot of things who is the card holder where that money's going so once they clear that it will be available on the card K.
'21156517042138416,3, okay thank you
'21156517042138416,0, hi my name anything else I can help you with
'21156517042138416,3, that's it thank you
'21156517042138416,0, thank you so much for calling have a great day bye
'21156517042138416,3, you bye bye
'21156517042138416,0, thank you
'21156517042153923,2,welcome to Shelly opposed to letting go support this Richard may I have your card I. D. number please
'21156517042153923,1, yeah an old one %HESITATION two four three eight three seven nine seven apple zero nine two three oh eight seven
'21156517042153923,2, Q. one moment what is your first and last name please
'21156517042153923,1, pardon thank you Patton
'21156517042153923,2, what is your first and last name
'21156517042153923,1, Mary McLeod
'21156517042153923,2, okay and what is your %HESITATION you have a middle name by any chance
'21156517042153923,1, Anna
'21156517042153923,2, thank you and your six digit access code merry
'21156517042153923,1, %HESITATION %HESITATION why don't you %HESITATION %HESITATION well I don't know that all of that is that on the car I'm just kind of like a just had cataract surgery and I'm having a lot of difficult
'21156517042153923,2, apologize for to hear that ma'am %HESITATION %HESITATION merry the six digit is the one that you provide and create at the post office with the agent it's not on the card
'21156517042153923,1, %HESITATION %HESITATION okay
'21156517042153923,2, okay not a problem what is your date of birth
'21156517042153923,1, three
'21156517042153923,2, sorry I can barely hear you can you repeat that one more time please
'21156517042153923,1, seven six fifty three
'21156517042153923,2, thank you any what is your address
'21156517042153923,1, %HESITATION he %HESITATION box one one
'21156517042153923,2, okay
'21156517042153923,1, three
'21156517042153923,2, that's that's not the address we have on file merry you have a
'21156517042153923,1, hi I'm a jurist possibly
'21156517042153923,2, okay what is that
'21156517042153923,1, hearing unit full %HESITATION she Collins C. O. L. L. I. N. S. three I'm gonna Queensland
'21156517042153923,2, and what is a post code
'21156517042153923,1, four R. one two
'21156517042153923,2, okay thank you for that information can you just confirm also your phone number
'21156517042153923,1, I've four three eight four two hi thousand
'21156517042153923,2, thank you for that how can I help you today
