DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,45,A,decl,91.0,state,"
and it's a full refund less 5 pounds if you have to cancel ",constrain-condition-decl,fare-refund-enum-cancel,positive,backchannel,content,right
36,45,A,decl,91.0,state,"
and it's a full refund less 5 pounds if you have to cancel ",constrain-condition-decl,fare-refund-enum-cancel,positive,punc,type,stop
42,47,A,decl,84.0,state,"
it's a full refund less 5 pounds if you have to cancel this ticket ",constrain-condition-decl,fare-refund-journey-enum-cancel,positive,punc,type,stop
43,67,A,decl,135.0,state,"
it's a full refund if you have to cancel this ticket ",constrain-condition-decl,refund-journey-cancel,positive,punc,type,stop
49,57,A,decl,115.0,state,"
and it's a full refund less 5 pounds if you have to cancel your journey ",constrain-condition-decl,fare-refund-journey-enum-cancel,positive,punc,type,stop
58,85,A,decl,175.0,state,"
",constrain-condition-decl,fare-refund-journey-enum-cancel,positive,pause,,
58,85,A,decl,175.0,state,"
",constrain-condition-decl,fare-refund-journey-enum-cancel,positive,pause,,
58,85,A,decl,175.0,state,"
",constrain-condition-decl,fare-refund-journey-enum-cancel,positive,punc,type,stop
59,32,B,decl,69.0,stateCondition,"
if you need it ",constrain-condition-decl,,positive,punc,type,stop
64,55,A,decl,113.0,reqConfirm,"
if you have to change any of the times of travel ",constrain-condition-decl,journey,positive,punc,type,stop
