DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,39,A,decl,79.0,stateIntent,"
i'm booking from Euston to Birmingham New Street ",intent-decl,location-booking-to-from,positive,punc,type,stop
36,45,A,decl,86.0,stateIntent,"
i'm going to book you a forward facing seat again ",intent-decl,seat-booking,positive,punc,type,stop
39,44,B,decl,101.0,stateIntent,"
i'll book on the ",intent-decl,booking-number-time-day,positive,pause,,
39,44,B,decl,101.0,stateIntent,"
i'll book on the ",intent-decl,booking-number-time-day,positive,punc,type,stop
39,45,A,decl,106.0,stateIntent-hold,"
i'll just double check that again ",intent-decl,verify,positive,punc,type,stop
39,48,B,decl,124.0,stateIntent,"
i'll go on that ",intent-decl,,positive,punc,type,stop
41,15,A,decl,22.0,stateIntent-hold,"
what i'm going to do is i'm going to check to see what's the cheapest fare available ",intent-decl,fare-availability-verify-date,positive,backchannel,content,right
41,15,A,decl,22.0,stateIntent-hold,"
what i'm going to do is i'm going to check to see what's the cheapest fare available ",intent-decl,fare-availability-verify-date,positive,punc,type,stop
41,24,B,decl,38.0,stateIntent,"
i'll do that ",intent-decl,,positive,punc,type,stop
45,22,B,decl,46.0,stateIntent,"
i'll have this one then ",intent-decl,number,positive,punc,type,stop
46,24,B,decl,55.0,elab-stateIntent,"
i'll get on the 7:15 ",intent-decl,,positive,vocal,content,laughter
46,24,B,decl,55.0,elab-stateIntent,"
i'll get on the 7:15 ",intent-decl,,positive,punc,type,stop
47,82,B,decl,153.0,stateIntent,"
i'll just catch a cab from Wilmslow ",intent-decl,from,positive,punc,type,stop
47,98,B,decl,200.0,stateIntent,"
i'll pay the extra money ",intent-decl,,positive,punc,type,stop
47,118,B,decl,238.0,stateIntent,"
i'll just chance it then ",intent-decl,,positive,punc,type,stop
48,24,B,decl,42.0,answer-stateIntent,"
i would like to come home about fiveish ",intent-decl,number,positive,punc,type,stop
48,79,A,decl,134.0,answer-stateIntent,"
we'll post the tickets out to the credit card holder's address ",intent-decl,journey-creditcard-address,positive,punc,type,stop
49,13,A,decl,28.0,stateIntent,"
we'll try Wrexham Central ",intent-decl,location,positive,punc,type,stop
49,90,B,decl,172.0,stateIntent,"
i'm going to give you the details ",intent-decl,,positive,punc,type,stop
50,37,A,decl,73.0,stateIntent,"
",intent-decl,booking-number,positive,pause,length,6s
50,37,A,decl,73.0,stateIntent,"
",intent-decl,booking-number,positive,punc,type,stop
53,37,A,decl,104.0,stateIntent-hold,"
i'll just check the time ",intent-decl,verify-time,positive,punc,type,stop
53,58,B,decl,152.0,direct-stateIntent,"
i'll leave the return journey open ",intent-decl,fare-journey-departure,positive,punc,type,stop
55,26,B,decl,63.0,stateIntent,"
i'll call back in 2 minutes ",intent-decl,time-enum,positive,punc,type,stop
57,55,A,decl,129.0,stateIntent-hold,"
i'll just check availability ",intent-decl,availability-verify,positive,punc,type,stop
58,62,B,decl,115.0,stateIntent-hold,"
i'll check ",intent-decl,verify,positive,punc,type,stop
58,83,A,decl,152.0,stateIntent,"
i'll just going to reserve your seats ",intent-decl,,positive,punc,type,stop
61,2,B,decl,8.0,direct-expressWisht,"
i'm wishing to er travel ",intent-decl,to-location-journey,positive,pause,,
61,2,B,decl,8.0,direct-expressWisht,"
i'm wishing to er travel ",intent-decl,to-location-journey,positive,punc,type,stop
61,29,A,decl,65.0,stateIntent,"
i'll specify Crewe and see what it brings up ",intent-decl,,positive,punc,type,stop
61,53,A,decl,144.0,stateIntent,"
i'll put forward facing ",intent-decl,seat,positive,overlap,type,end
61,53,A,decl,144.0,stateIntent,"
i'll put forward facing ",intent-decl,seat,positive,punc,type,stop
62,124,B,decl,217.0,elab-stateIntent,"
i'll send these others back now then ",intent-decl,,positive,punc,type,stop
63,132,B,decl,261.0,confirm-expressOpinion,"
i'm not bothered by that ",intent-decl,,negative,punc,type,stop
65,10,B,decl,19.0,stateIntent,"
i'm going up there this afternoon ",intent-decl,location-time,positive,punc,type,stop
65,30,B,decl,58.0,stateIntent,"
",intent-decl,location-time,positive,pause,,
65,30,B,decl,58.0,stateIntent,"
",intent-decl,location-time,positive,punc,type,stop
68,33,A,decl,57.0,stateIntent,"
i'll provisionally book you on the one returning ",intent-decl,booking-number-return,positive,punc,type,stop
68,86,B,decl,155.0,stateIntent,"
i'll spell it to you ",intent-decl,,positive,punc,type,stop
69,56,B,decl,155.0,stateIntent,"
i'll get back to that one ",intent-decl,number,positive,punc,type,stop
