DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,29,A,decl,48.0,predict,"
and the cheapest way to do it is going to is ",predict-frag,fare,positive,punc,type,level
36,29,A,decl,51.0,predict,"
",predict-decl,fare-enum,positive,pause,,
36,29,A,decl,51.0,predict,"
",predict-decl,fare-enum,positive,punc,type,stop
36,29,A,decl,55.0,predict,"
so that's going to save you 21 pounds 50 there ",predict-decl,enum-fare-location,positive,punc,type,stop
36,43,A,decl,84.0,predict,"
",predict-decl,fare-enum,positive,pause,length,3s
36,43,A,decl,84.0,predict,"
",predict-decl,fare-enum,positive,punc,type,stop
36,85,A,decl,145.0,predict,"
and the two tickets will be posted out first class to you this afternoon
",,number-journey-time,positive,,,
38,99,A,decl,147.0,predict,"
you'll be travelling in coach ",correct-frag,journey,positive,anonym,type,letter
38,99,A,decl,147.0,predict,"
you'll be travelling in coach ",correct-frag,journey,positive,anonym,type,alpha
38,99,A,decl,147.0,predict,"
you'll be travelling in coach ",correct-frag,journey,positive,punc,type,level
38,115,A,decl,188.0,predict,"
and your two sets of tickets will be waiting there
",tag,number-location-journey,positive,,,
39,15,A,decl,35.0,predict,"
you'll be able to get the train from Liverpool Lime Street at 11:35 ",predict-decl,location-time-from,positive,backchannel,content,yes
39,15,A,decl,35.0,predict,"
you'll be able to get the train from Liverpool Lime Street at 11:35 ",predict-decl,location-time-from,positive,punc,type,stop
39,23,A,decl,53.0,predict,"
",predict-frag,fare-availability,positive,pause,,
39,23,A,decl,53.0,predict,"
",predict-frag,fare-availability,positive,punc,type,level
39,41,A,decl,94.0,predict,"
the cheapest fare that's going to be available is the Super Advance Return 27 pounds ",predict-decl,fare-availability-enum,positive,punc,type,stop
39,53,A,decl,129.0,predict,"
",predict-decl,fare-enum,positive,pause,length,2s
39,53,A,decl,129.0,predict,"
",predict-decl,fare-enum,positive,punc,type,stop
39,83,A,decl,192.0,predict,"
that's where the ticket will be posted out to ",predict-decl,journey,positive,punc,type,stop
39,97,A,decl,208.0,predict,"
27 pounds will be debited from that account ",decl,booking-fare-enum,positive,punc,type,stop
39,105,A,decl,219.0,predict,"
and the tickets will be posted out in the first class post tomorrow morning to ",predict-decl,journey-time-day,positive,overlap,type,start
39,105,A,decl,219.0,predict,"
and the tickets will be posted out in the first class post tomorrow morning to ",predict-decl,journey-time-day,positive,punc,type,stop
40,99,A,decl,147.0,predict,"
you'll be travelling in coach ",correct-frag,journey,positive,anonym,type,letter
40,99,A,decl,147.0,predict,"
you'll be travelling in coach ",correct-frag,journey,positive,anonym,type,alpha
40,99,A,decl,147.0,predict,"
you'll be travelling in coach ",correct-frag,journey,positive,punc,type,level
41,51,A,decl,80.0,predict,"
that's where the ticket will be posted out to ",predict-decl,journey,positive,punc,type,stop
41,81,A,decl,120.0,predict,"
39 pounds 50 will be debited from that account ",decl,enum-booking-fare,positive,punc,type,stop
41,89,A,decl,131.0,predict,"
and the tickets will go out in the first class post tomorrow morning to you ",predict-decl,journey-time-day,positive,punc,type,stop
42,55,A,decl,98.0,predict,"
that's where the ticket will be posted out to ",predict-decl,journey,positive,punc,type,stop
42,69,A,decl,114.0,predict,"
91 pounds will be debited from that account ",predict-decl,booking-fare-enum,positive,backchannel,content,right
42,69,A,decl,114.0,predict,"
91 pounds will be debited from that account ",predict-decl,booking-fare-enum,positive,punc,type,stop
42,79,A,decl,127.0,predict,"
and the ticket will be posted out in the first class post to you ",predict-decl,journey,positive,punc,type,stop
43,23,A,decl,45.0,predict,"
you'll be able to get the Virgin Value Business at 45 pounds ",predict-decl,fare-enum,positive,punc,type,stop
43,31,A,decl,60.0,predict,"
you'll be travelling in coach ",decl,journey,positive,anonym,type,letter
43,31,A,decl,60.0,predict,"
you'll be travelling in coach ",decl,journey,positive,anonym,type,alpha
43,31,A,decl,60.0,predict,"
you'll be travelling in coach ",decl,journey,positive,punc,type,stop
44,13,A,decl,34.0,predict,"
and you would arrive in Crewe at 17:05 ",decl,time-arrival,positive,punc,type,stop
44,51,A,decl,119.0,predict,"
you'll be travelling in coach ",,journey,positive,anonym,type,letter
44,51,A,decl,119.0,predict,"
you'll be travelling in coach ",,journey,positive,anonym,type,alpha
44,51,A,decl,119.0,predict,"
you'll be travelling in coach ",,journey,positive,punc,type,level
44,87,A,frag,178.0,predict,"
a 100 and 33 pounds will be debited from that account ",decl,booking-fare-enum,positive,punc,type,stop
44,103,A,decl,210.0,predict,"
",predict-decl,location-journey,positive,pause,,
44,103,A,decl,210.0,predict,"
",predict-decl,location-journey,positive,punc,type,stop
46,22,B,decl,49.0,predict,"
",predict-constrain-decl,,positive,pause,length,3s
46,22,B,decl,49.0,predict,"
",predict-constrain-decl,,positive,punc,type,stop
46,41,A,decl,92.0,predict,"
",predict-decl,fare-enum,positive,pause,length,6s
46,41,A,decl,92.0,predict,"
",predict-decl,fare-enum,positive,punc,type,stop
47,73,A,decl,131.0,predict,"
and there's going to be a bus service from Wilmslow to Stockport ",exists-decl,to-location-from,positive,punc,type,stop
47,151,A,decl,287.0,predict,"
30 pounds 70's going to be de... deducted from that card ",decl,fare-enum,positive,punc,type,stop
47,157,A,decl,298.0,predict,"
and the ticket will be waiting there tomorrow
",predict-query,location-journey-day,positive,,,
48,67,A,decl,114.0,predict,"
the dates times and seat numbers will be printed on the tickets for you ",benefit-decl,number-journey-date,positive,punc,type,stop
48,101,A,decl,170.0,predict,"
that's where the tickets will be posted out to you ",predict-decl,journey,positive,punc,type,stop
48,141,A,decl,223.0,predict,"
and the tickets will be posted out in first class post to you this afternoon ",predict-decl,journey-time,positive,punc,type,stop
49,37,A,decl,73.0,predict,"
the cheapest fare that's going to be available ",predict-decl,fare-availability,positive,pause,,
49,37,A,decl,73.0,predict,"
the cheapest fare that's going to be available ",predict-decl,fare-availability,positive,unclear,length,1 syllable
49,37,A,decl,73.0,predict,"
the cheapest fare that's going to be available ",predict-decl,fare-availability,positive,punc,type,stop
49,133,A,decl,240.0,predict,"
and the ticket will be waiting there at the train station ",predict-decl,location-journey,positive,punc,type,stop
50,31,A,decl,64.0,predict,"
4 of them will go on the railcard ",decl,enum-railcard,positive,punc,type,stop
50,31,A,decl,65.0,predict,"
one'll have to pay a normal fare ",constrain-frag,fare-number,positive,punc,type,level
51,41,A,decl,91.0,predict,"
and the dates times and seat numbers will be printed on the tickets for you ",benefit-decl,number-journey-date,positive,punc,type,stop
51,87,A,decl,165.0,predict,"
that's where the ticket will be posted out to ",predict-decl,journey,positive,punc,type,stop
51,113,A,decl,200.0,predict,"
and the ticket will be posted out first class post this afternoon to you ",predict-decl,journey-time,positive,punc,type,stop
53,109,A,decl,243.0,predict,"
and the ticket will be waiting there for you ",predict-benefit-decl,location-journey,positive,punc,type,stop
54,35,A,decl,62.0,predict,"
the dates times and seat numbers will be printed on the tickets for you ",benefit-decl,number-journey-date,positive,punc,type,stop
54,61,A,decl,99.0,predict,"
that's where the 2 tickets will be posted out to ",decl,journey-enum,positive,punc,type,stop
54,85,A,decl,136.0,predict,"
",decl,journey-time-enum,positive,pause,,
54,85,A,decl,136.0,predict,"
",decl,journey-time-enum,positive,punc,type,stop
56,15,A,decl,30.0,predict,"
it'll be the cheap Day Single at 20 pounds 40 ",predict-decl,fare-enum-day,positive,punc,type,stop
56,17,A,decl,35.0,predict,"
then it's going to be 20 pounds 40 ",predict-decl,fare-enum,positive,punc,type,stop
56,35,A,decl,71.0,predict,"
the date time and seat number will be printed on the ticket for you ",benefit-decl,number-journey-time-date,positive,backchannel,content,ok
56,35,A,decl,71.0,predict,"
the date time and seat number will be printed on the ticket for you ",benefit-decl,number-journey-time-date,positive,punc,type,stop
56,75,A,decl,126.0,predict,"
7 pounds will be debited from that account ",decl,booking-fare-enum,positive,punc,type,stop
57,53,A,decl,122.0,predict,"
it's going to cost you 52 pounds each ",predict-decl,fare-enum,positive,punc,type,stop
58,39,A,decl,74.0,predict,"
then the cheapest fare that's going to be available is your Super Saver return at 50 pounds 50 ",predict-decl,fare-availability-enum,positive,punc,type,stop
58,85,A,decl,164.0,predict,"
you'll be travelling in coach ",correct,journey,positive,anonym,type,letter
58,85,A,decl,164.0,predict,"
you'll be travelling in coach ",correct,journey,positive,anonym,type,alpha
58,85,A,decl,164.0,predict,"
you'll be travelling in coach ",correct,journey,positive,punct,type,level
59,49,A,frag,112.0,predict,"
be coach ",closed,,positive,anonym,type,letter
59,49,A,frag,112.0,predict,"
be coach ",closed,,positive,anonym,type,alpha
59,49,A,frag,112.0,predict,"
be coach ",closed,,positive,punct,type,level
61,41,A,decl,101.0,predict,"
so the fare's going to be 23 pounds 45 ",predict-decl,fare-enum,positive,punc,type,stop
61,55,A,decl,163.0,predict,"
you would just leave a full refund less 5 pounds ",decl,fare-refund-enum-departure,positive,punc,type,stop
62,47,A,decl,105.0,predict,"
the dates times and seat numbers will be printed on the tickets for you ",benefit-decl,number-journey-date,positive,backchannel,content,yes
62,47,A,decl,105.0,predict,"
the dates times and seat numbers will be printed on the tickets for you ",benefit-decl,number-journey-date,positive,punc,type,stop
62,83,A,decl,159.0,predict,"
that's where the two tickets will be posted out to ",decl,number-journey,positive,punc,type,stop
62,103,A,decl,184.0,predict,"
83 pounds will be debited from that card ",decl,booking-fare-enum,positive,punc,type,stop
62,123,A,decl,213.0,predict,"
the tickets will go out in the first class post for you this afternoon ",predict-benefit-decl,journey-time,positive,punc,type,stop
63,37,A,decl,89.0,predict,"
which means that the ticket would be open for a calendar month ",predict-frag,fare-journey-time,positive,backchannel,content,ah
63,37,A,decl,89.0,predict,"
which means that the ticket would be open for a calendar month ",predict-frag,fare-journey-time,positive,punc,type,level
63,47,A,decl,117.0,predict,"
but you'll be able to travel tomorrow at 10:38 from Stockport ",predict-constrain-decl,location-journey-time-from-enum-day,positive,punc,type,stop
63,117,A,decl,236.0,predict,"
and the dates times and seat numbers will be printed on the tickets for you ",benefit-decl,number-journey-date,positive,punc,type,stop
63,129,A,decl,256.0,predict,"
you would receive a full refund less 5 pounds ",decl,fare-refund-enum,positive,backchannel,content,right
63,129,A,decl,256.0,predict,"
you would receive a full refund less 5 pounds ",decl,fare-refund-enum,positive,punc,type,stop
63,227,A,decl,392.0,predict,"
the return ticket will be there tomorrow ",decl,fare-location-journey-day,positive,punc,type,stop
64,75,A,decl,142.0,predict,"
that's where the tickets will be posted out to ",predict-decl,journey,positive,punc,type,stop
65,23,A,decl,38.0,predict,"
the cheapest fare that's going to be available travelling tomorrow is what we call a walk-on fare ",predict-frag,fare-availability-journey-day,positive,punc,type,level
65,23,A,decl,40.0,predict,"
and it's going to be 45 pounds 50 ",predict-decl,fare-enum,positive,punc,type,stop
67,27,A,decl,46.0,predict,"
",predict-decl,fare-enum,positive,pause,,
67,27,A,decl,46.0,predict,"
",predict-decl,fare-enum,positive,punc,type,stop
68,103,A,decl,177.0,predict,"
75 pounds will be debited ",decl,booking-fare-enum,positive,backchannel,content,yeah
68,103,A,decl,177.0,predict,"
75 pounds will be debited ",decl,booking-fare-enum,positive,punc,type,stop
68,115,A,decl,190.0,predict,"
and the ticket will be posted out in the first class post this afternoon ",predict-decl,journey-time,positive,overlap,type,start
68,115,A,decl,190.0,predict,"
and the ticket will be posted out in the first class post this afternoon ",predict-decl,journey-time,positive,punc,type,stop
69,35,A,decl,97.0,predict,"
",predict-decl,fare,positive,pause,,
69,35,A,decl,97.0,predict,"
",predict-decl,fare,positive,punc,type,stop
70,69,A,decl,125.0,predict,"
the cheapest fare available is going to be the Apex at 26 pounds 50 return ",decl,fare-enum-availability,positive,punc,type,stop
70,95,A,decl,175.0,predict,"
and you'll be able to get the 10:50 going out on the ",predict-decl,enum-day,positive,pause,,
70,95,A,decl,175.0,predict,"
and you'll be able to get the 10:50 going out on the ",predict-decl,enum-day,positive,punc,type,stop
70,106,B,decl,198.0,predict,"
then it's then it'll be great ",predict-decl-disflu,,positive,punc,type,stop
