DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,23,A,decl,33.0,informIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you
",reportIntent,fare-avail-verify,positive,,,
2,27,A,decl,42.0,informIntent-hold,"
i'm just going to check with you what's your cheapest fare available to you
",reportIntent,fare-avail-verify,positive,,,
3,29,A,decl,34.0,informIntent-hold,"
and i'm just going to check your return time ",reportIntent,time-fare-verify,positive,pause,length,3s
3,37,A,decl,47.0,informIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you
",reportIntent,fare-avail-verify,positive,,,
3,73,A,decl,97.0,informIntent-hold,"
",reportIntent,,positive,pause,,
3,73,A,decl,97.0,informIntent-hold,"
",reportIntent,,positive,pause,length,11s
4,21,A,decl,47.0,informIntent-hold,"
",benefitIntent,verify,positive,pause,length,5s
4,47,A,decl,103.0,informIntent-hold,"
i'll just double check that again ",intent-closure,verify,positive,pause,length,2s
5,35,A,decl,51.0,informIntent-hold,"
i'll just check that for you ",benefitIntent,verify,positive,pause,length,17s
6,15,A,decl,19.0,informIntent-hold,"
what i'm going to do is i'm going to check to see what's the cheapest fare available ",intent-report,fare-date-avail-verify,positive,backchannel,content,right
8,15,A,frag,24.0,informIntent-hold,"
",,verify,positive,pause,length,10s
8,15,A,frag,24.0,informIntent-hold,"
",,verify,positive,pause,length,3s
8,23,A,decl,37.0,informIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you ",intent,fare-avail-verify,positive,pause,length,18s
8,31,A,decl,50.0,informIntent-hold,"
",intent,,positive,pause,,
8,31,A,decl,50.0,informIntent-hold,"
",intent,,positive,pause,length,17s
8,50,B,decl,84.0,informIntent-hold,"
the the er yeah just a moment i've got i can give you a registered address
",poss1,address,positive,,,
9,10,B,frag,19.0,informIntent-hold,"
looking at the timetable em
",,time,positive,,,
9,10,B,frag,20.0,informIntent-hold,"
trying to work that out
",,,positive,,,
9,19,A,decl,37.0,informIntent-hold,"
i'm just going to check to see what's the cheapest fare available with the first class ticket ",intent,fare-avail-journey-verify,positive,overlap,type,start
9,35,A,frag,68.0,informIntent-hold,"
if you just bear with me i'm going to book that for you ",intent-condition-report,booking,positive,pause,,
9,100,B,imp,165.0,informIntent-hold,"
let me just get that down ok hold on yeah ok
",manage,hold,positive,,,
10,29,A,decl,43.0,informIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you
",intent,fare-avail-verify,positive,,,
11,31,A,decl,54.0,informIntent-hold,"
i'm just checking early morning ",,time-verify,positive,pause,length,18s
11,35,A,frag,61.0,informIntent-hold,"
just check that ",,,,pause,length,12s
11,61,A,decl,107.0,informIntent-hold,"
i'm just writing this down ",intent,,positive,pause,length,12s
11,67,A,decl,120.0,informIntent-hold,"
i'm just booking your seat again ",,booking,positive,pause,length,8s
12,49,A,frag,75.0,informIntent-hold,"
just check that
",,verify,positive,,,
