DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,5,A,q-yn,10.0,reqInfo,"
do you hold a current debit or credit card ",alternative-closed-query,creditcard,positive,punc,type,query
37,3,A,q-yn,8.0,reqInfo,"
do you hold a current debit or credit card ",alternative-closed-query,creditcard,positive,punc,type,query
38,3,A,q-yn,8.0,reqInfo,"
do you hold a current credit or debit card ",alternative-closed-query,creditcard,positive,punc,type,query
39,7,A,q-yn,15.0,reqInfo,"
do you hold a current credit or debit card ",alternative-closed-query,creditcard,positive,punc,type,query
39,59,A,q-yn,144.0,reqInfo,"
is it smoking or non-smoking ",alternative-closed-query,seat,positive,punc,type,query
40,3,A,q-yn,8.0,reqInfo,"
do you hold a current credit or debit card ",alternative-closed-query,creditcard,positive,punc,type,query
41,3,A,q-yn,7.0,reqInfo,"
do you hold a current credit or debit or credit card ",alternative-closed-query,creditcard,positive,punc,type,query
42,3,A,q-yn,8.0,reqInfo,"
do you hold a current debit or credit card ",alternative-closed-query,creditcard,positive,punc,type,query
43,5,A,q-yn,9.0,reqInfo,"
do you hold a current debit or credit card ",alternative-closed-query,creditcard,positive,punc,type,query
43,49,A,q-yn,99.0,reqInfo,"
or do you have the full address ",alternative-closed-query,address,positive,punc,type,query
44,3,A,q-yn,10.0,reqInfo,"
do you hold a current debit or credit card ",alternative-closed-query,creditcard,positive,punc,type,query
45,3,A,q-yn,8.0,reqInfo,"
do you hold a current debit or credit card ",alternative-closed-query,creditcard,positive,punc,type,query
46,7,A,q-yn,17.0,reqInfo,"
do you hold a current credit or debit card ",alternative-closed-query,creditcard,positive,punc,type,query
46,23,A,q-yn,53.0,reqInfo,"
or is that going to be too early ",alternative-closed-query,time,positive,punc,type,query
47,5,A,q-yn,9.0,reqInfo,"
do you hold a current debit or credit card ",alternative-closed-query,creditcard,positive,punc,type,query
47,29,A,q-yn,48.0,reqInfo,"
is it smoking or non-smoking ",alternative-closed-query,seat,positive,punc,type,query
48,5,A,q-yn,10.0,reqInfo,"
do you hold a current debit or credit card ",alternative-closed-query,creditcard,positive,punc,type,query
49,3,A,q-yn,8.0,reqInfo,"
do you hold a current debit or credit card ",alternative-closed-query,creditcard,positive,punc,type,query
49,11,A,q-yn,18.0,reqInfo,"
is it Wrexham Central or General ",alternative-closed-query,location,positive,punc,type,query
50,5,A,q-yn,10.0,reqInfo,"
do you hold a current credit or debit card ",alternative-closed-query,creditcard,positive,punc,type,query
51,5,A,q-yn,13.0,reqInfo,"
do you hold a current debit or credit card ",alternative-closed-query,creditcard,positive,punc,type,query
51,61,A,q-yn,125.0,reqInfo,"
",alternative-closed-query,,positive,pause,,
51,61,A,q-yn,125.0,reqInfo,"
",alternative-closed-query,,positive,punc,type,query
52,5,A,q-yn,11.0,reqInfo,"
",alternative-closed-query,creditcard,positive,pause,,
52,5,A,q-yn,11.0,reqInfo,"
",alternative-closed-query,creditcard,positive,punc,type,query
52,21,A,q-yn,33.0,reqInfo,"
was it a morning or afternoon departure ",alternative-closed-query,time-departure,positive,punc,type,query
53,16,B,q-wh,44.0,suggest,"
or ",alternative-closed-query,time,positive,pause,,
53,16,B,q-wh,44.0,suggest,"
or ",alternative-closed-query,time,positive,punc,type,query
53,43,A,q-yn,121.0,reqInfo,"
",alternative-closed-query,seat,positive,overlap,type,end
53,43,A,q-yn,121.0,reqInfo,"
",alternative-closed-query,seat,positive,punc,type,query
54,3,A,q-yn,7.0,reqInfo,"
do you hold a current debit or credit card ",alternative-closed-query,creditcard,positive,punc,type,query
56,3,A,q-yn,8.0,reqInfo,"
do you hold a current debit card or credit ",alternative-closed-query,creditcard,positive,overlap,type,start
56,3,A,q-yn,8.0,reqInfo,"
do you hold a current debit card or credit ",alternative-closed-query,creditcard,positive,punc,type,query
57,3,A,q-yn,8.0,reqInfo,"
do you hold a current credit or debit card ",alternative-closed-query,creditcard,positive,punc,type,query
58,3,A,q-yn,8.0,reqInfo,"
do you hold a current debit or credit card ",alternative-closed-query,creditcard,positive,punc,type,query
59,3,A,q-yn,12.0,reqInfo,"
do you hold a current debit or credit card ",alternative-closed-query,creditcard,positive,punc,type,query
60,3,A,q-yn,8.0,reqInfo,"
do you hold a current credit or debit card ",alternative-closed-query,creditcard,positive,punc,type,query
60,41,A,q-yn,81.0,reqInfo,"
is it a private card or a business card ",alternative-closed-query,,positive,punc,type,query
61,5,A,q-yn,12.0,reqInfo,"
do you hold a current credit card or debit card ",alternative-closed-query,creditcard,positive,punc,type,query
63,11,A,q-yn,30.0,reqInfo,"
and do you hold a current credit or debit card ",alternative-closed-query,creditcard,positive,punc,type,query
63,99,A,q-yn,213.0,reqInfo,"
and ",alternative-closed-query,seat,positive,pause,length,2s
