DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
1,35,A,q-yn,69.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
1,37,A,q-yn,71.0,reqDirect,"
and ",closed,preference-booking-seat,positive,overlap,type,end
2,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
3,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
3,15,A,q-wh,18.0,reqDirect,"
",open,time-preference-from,positive,pause,,
3,17,A,q-wh,20.0,reqDirect,"
",open,time-preference,positive,pause,length,7s
3,23,A,q-wh,28.0,reqDirect,"
but when would you prefer
",open-constrain,time-preference,positive,,,
3,45,A,q-yn,58.0,reqDirect,"
do you want me to book this ticket
",closed,preference-booking-journey,positive,,,
3,47,A,q-yn,60.0,reqDirect,"
",closed,preference-fare,positive,pause,,
3,93,A,q-yn,122.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
3,95,A,q-yn,124.0,reqDirect,"
do you have any seat preference
",closed,preference-booking-seat,positive,,,
4,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
4,13,A,q-wh,23.0,reqDirect,"
what time around would you like to depart
",open,time-preference,positive,,,
4,55,A,q-yn,125.0,reqDirect,"
would you like me to book that for you
",closed-benefit,preference-booking,positive,,,
5,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
6,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
6,9,A,q-wh,12.0,reqDirect,"
and what date you'd like to travel out on
",open,preference-date-journey,positive,,,
6,13,A,q-wh,16.0,reqDirect,"
",open,time-preference,positive,pause,length,2s
6,27,A,q-yn,41.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
6,29,A,q-yn,43.0,reqDirect,"
do you have any seat preference
",closed,preference-booking-seat,positive,,,
7,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
7,13,A,q-wh,26.0,reqDirect,"
what time do you like to depart on ",open,day-preference-time,positive,overlap,type,start
7,19,A,q-yn,33.0,reqDirect,"
do you want to book the return or leave this return journey open
",closed-alternative,fare-departure-preference-booking-journey,positive,,,
8,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
8,11,A,q-wh,14.0,reqDirect,"
and what date would you like to travel out
",open,preference-date-journey,positive,,,
8,27,A,q-yn,46.0,reqDirect,"
and ",closed-alternative,preference-seat,positive,pause,,
8,29,A,q-yn,48.0,reqDirect,"
",closed-exists,preference-booking-seat,positive,pause,length,4s
9,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
9,9,A,q-wh,16.0,reqDirect,"
what time do you like to depart
",open,time-preference,positive,,,
9,15,A,q-wh,30.0,reqDirect,"
",open,time-preference,positive,pause,length,4s
10,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
10,9,A,q-wh,13.0,reqDirect,"
and what date would you like to travel
",open,preference-date-journey,positive,,,
10,23,A,q-wh,34.0,reqDirect,"
and when would you like to return
",open,time-preference,positive,,,
11,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
11,61,A,q-yn,109.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
12,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
12,13,A,q-wh,18.0,reqDirect,"
what time do you like to depart Stockport at
",open,time-preference,positive,,,
12,27,A,decl,42.0,reqDirect,"
you want me to book that for you
",,preference-booking,positive,,,
12,29,A,q-yn,45.0,reqDirect,"
is it smoking or non smoking
",closed-alternative,seat,positive,,,
12,31,A,q-yn,47.0,reqDirect,"
and is there any seat prefrence
",closed-exists,,positive,,,
12,103,A,q-wh,189.0,reqDirect,"
",open,preference-time,positive,pause,,
12,107,A,q-wh,196.0,reqDirect,"
what time around did you initially want to get
",open,preference-time-name,positive,,,
12,115,A,q-yn,210.0,reqDirect,"
do you want me to book those seats for you
",closed,preference-booking,positive,,,
12,117,A,frag,212.0,reqDirect,"
non ",,seat,positive,overlap,type,end
13,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
13,17,A,q-yn,24.0,reqDirect,"
do you want to book the tickets just now
",closed,preference-booking-journey,positive,,,
13,19,A,q-wh,29.0,reqDirect,"
what time would you like to depart Durham
",open,location-time-preference,positive,,,
13,59,A,q-wh,89.0,reqDirect,"
what date do you want me to book for you
",open,preference-date-booking,positive,,,
13,65,A,q-yn,98.0,reqDirect,"
",closed-alternative,preference-seat,positive,pause,,
13,65,A,q-yn,98.0,reqDirect,"
",closed-alternative,preference-seat,positive,pause,,
14,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
14,23,A,q-wh,34.0,reqDirect,"
",open,time-preference-day,positive,pause,,
14,43,A,q-yn,73.0,reqDirect,"
do you want me to book that ticket for you
",closed,preference-booking-journey,positive,,,
14,45,A,q-yn,76.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
15,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
16,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
16,37,A,q-yn,68.0,reqDirect,"
do you want me to book this ticket for you
",closed,preference-booking-journey,positive,,,
16,39,A,q-yn,71.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
17,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
17,37,A,decl,56.0,reqDirect,"
you want me to book that ticket ",,preference-booking-journey,positive,overlap,type,start
17,41,A,q-yn,61.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
17,43,A,q-yn,64.0,reqDirect,"
do you have any seat preference
",closed,preference-booking-seat,positive,,,
18,1,A,q-wh,2.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
18,41,A,decl,96.0,reqDirect,"
you want me to book that one for you
",,preference-number-booking,positive,,,
18,59,A,q-yn,132.0,reqDirect,"
do you want to book the return or leave the return journey open
",closed-alternative,fare-departure-preference-booking-journey,positive,,,
19,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
19,17,A,q-wh,24.0,reqDirect,"
and when would you like to return
",open,preference-time,positive,,,
19,33,A,q-yn,53.0,reqDirect,"
and do you have any seat preference
",closed,preference-booking-seat,positive,,,
20,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
20,11,A,q-wh,19.0,reqDirect,"
what time do you like to depart from Euston
",open,location-time-preference-from,positive,,,
21,1,A,q-wh,3.0,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
21,31,A,q-yn,55.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
