DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,29,A,decl,49.0,stateReason,"
cos it's the normal price is gonna be standard open return at 61 pounds 50 ",reason-decl,fare-enum,positive,backchannel,content,right
36,29,A,decl,49.0,stateReason,"
cos it's the normal price is gonna be standard open return at 61 pounds 50 ",reason-decl,fare-enum,positive,punc,type,stop
42,40,B,decl,72.0,stateReason,"
cos it's normal 88 ",reason-decl,,positive,punc,type,stop
47,69,A,decl,121.0,answer-stateReason,"
because you're ticket's going to stay at Watford ",reason-decl,location-journey-time,positive,punc,type,stop
47,79,A,decl,144.0,answer-stateReason,"
cos the last direct direct service ",reason-decl,from-enum,positive,pause,,
47,79,A,decl,144.0,answer-stateReason,"
cos the last direct direct service ",reason-decl,from-enum,positive,punc,type,stop
47,95,A,decl,193.0,stateReason,"
because the system could a... actually cut me off trying to book ",reason-decl,booking-problem,positive,punc,type,stop
51,51,A,decl,112.0,stateReason,"
",reason-decl,fare-journey,positive,overlap,type,end
51,51,A,decl,112.0,stateReason,"
",reason-decl,fare-journey,positive,punc,type,stop
70,185,A,decl,341.0,stateReason,"
cos the buses are from each train station ",reason-decl,,positive,event,type,tape cuts off
70,185,A,decl,341.0,stateReason,"
cos the buses are from each train station ",reason-decl,,positive,punc,type,stop
