Call ID,Speaker,Conversation
53156326628039484,0,thank you for calling direct express card services my name is David how may I help you
53156326628039484,2, yeah I go this morning
53156326628039484,0, %HESITATION fine how are you doing
53156326628039484,2, all right %HESITATION my %HESITATION %HESITATION %HESITATION little %HESITATION overtime in my minutes folks come on the tenth I didn't know if it was gonna be early or late so do I have to just wait until then or what
53156326628039484,0, yes if your award letter says that you're supposed to be paid on the %HESITATION tents and %HESITATION yes that would be the effective date of your direct deposit
53156326628039484,2, %HESITATION %HESITATION %HESITATION that would be sad
53156326628039484,0, okay please verify your first and last name
53156326628039484,2, %HESITATION
53156326628039484,0, %HESITATION please verify your first and last name or take a look at your
53156326628039484,2, %HESITATION Leonard green
53156326628039484,0, thanks letter please enter
53156326628039484,2, Louis green
53156326628039484,0, please verify the last four digits of your social security number
53156326628039484,2, forty six ninety three
53156326628039484,0, and the last four digits of your card number please
53156326628039484,2, the last for the card number
53156326628039484,0, right
53156326628039484,2, %HESITATION thirty four eighty
53156326628039484,0, okay I'll just take a look at your card account here okay the number you're calling in on is listed as a mobile phone number because the call right the agrees did you want to add an email address to get paperless statements from us at no charge
53156326628039484,2, from the address
53156326628039484,0, %HESITATION would you like to add an email address to get paperless statements from us at no charge
53156326628039484,2, yeah I guess so whatever though the %HESITATION I was just calling to find out what you know the I just have to wait for that exact date is very open it is it doesn't matter
53156326628039484,0, right let's see if your deposit is set up on your card
53156326628039484,2, so it it so it will be on that Joe %HESITATION Joe Saturday
53156326628039484,0, actually it's interesting that you ask you have a direct deposit of two hundred fifty four dollars
53156326628039484,2, yeah
53156326628039484,0, pending for Saturday
53156326628039484,2, okay %HESITATION that's all I wanted to know Sir good guys that'll be it
53156326628039484,0, okay
53156326628039484,2, %HESITATION all right well I appreciate that info
53156326628039484,0, okay I just want to finish checking your account please verify your date of birth
53156326628039484,2, oh five two eight six seven
53156326628039484,0, thanks may tenth nineteen fifty seven is what we have here I just want to
53156326628039484,2, %HESITATION
53156326628039484,0, see if you have any alerts it'll %HESITATION okay looks like you do let me just check those I can add a card balance alert that would give you your balance either daily weekly or monthly by text message would you like me to add that
53156326628039484,2, yeah please
53156326628039484,0, all right so got that done
53156326628039484,2, %HESITATION I let me make sure that you have the right phone number first outlook out about that because I got a new phone it would be three six one four one three true true nine seven
53156326628039484,0, three six one zero one three two two nine seven yep
53156326628039484,2, %HESITATION have
53156326628039484,0, %HESITATION okay so you're opted into the alerts do you want to be opted into program notifications this allows direct express to notify you if needed with information on your account it could be like program or account notification with
53156326628039484,2, okay that would be fine
53156326628039484,0, okay all right so I got everything up to date and so looks like you you're getting your first payment run your car without getting any paper checks well that's good
53156326628039484,2, yeah
53156326628039484,0, is there anything else that I can help you with
53156326628039484,2, that'll be all for
53156326628039484,0, well thank you for calling direct express card services
53156326628039484,2, all righty thank you
53156326628039484,0, and you have a great
53156326628039484,2, need to
53156326628039484,0, rest of your morning
55156326669654389,2,you can do it as
55156326669654389,1, correct express card services my name is Denise how can I help you
55156326669654389,2, yes %HESITATION I was calling to find out %HESITATION it says on my card when I call it that I have a pending deposit and it be available on the twenty first of August well here it is the twenty first of August and it still has not been there is it because it's behind an hour or how does that work
55156326669654389,1, it's it's central time so it is probably sitting there waiting for you %HESITATION let me go ahead and look up your account real quick here give me just a moment %HESITATION all right and may I have your social security number please
55156326669654389,2, five nine three four eight three eight nine eight
55156326669654389,1, right and the last four numbers of the card
55156326669654389,2, nine zero seven six
55156326669654389,1, okay and your full name please
55156326669654389,2, Donna Michelle Nichols
55156326669654389,1, all right %HESITATION more moment here %HESITATION okay I do see one one %HESITATION let's see scheduled yes that would be it'll show up at probably in the next few hours %HESITATION while I've got you on the phone I would like to verify your contact information with you and what is your date of birth please
55156326669654389,2, four to seventy eight
55156326669654389,1, perfect and your email address
55156326669654389,2, but %HESITATION five one one nine one zero at G. email dot com
55156326669654389,1, in your current phone number
55156326669654389,2, three five two nine four two eleven ninety eight
55156326669654389,1, all right perfect and I just want to check and make sure we have some alert set up for you as well
55156326669654389,2, I do I have %HESITATION
55156326669654389,1, okay good enough anything isn't like to change on your %HESITATION alerts or anything else that I can you know with
55156326669654389,2, you said in the next few hours or like it's twelve twenty here so would it be available at one A. M. or
55156326669654389,1, it doesn't come in exactly on the dot usually %HESITATION it will be in sometime during the day on the twenty first and again we're just an hour earlier than you are here at central time
55156326669654389,2, okay so you guys are an hour ahead of us are behind
55156326669654389,1, behind
55156326669654389,2, okay
55156326669654389,1, all right anything else I can help you with
55156326669654389,2, no thank you
55156326669654389,1, all right you have a wonderful day and thank you for calling direct express card services
55156326669654389,2, thank you
55156326669654389,1, thank you
55156326669654389,2, bye
55156326669654389,1, bye bye
55156689018831201,0,thank you for calling direct express card services my name is Edwina may I have the last four digits of the card number please
55156689018831201,1, four eight six nine
55156689018831201,0, thank you and may I have your first and last name
55156689018831201,1, Katrina what do
55156689018831201,0, you sell to do is that how you say ma'am
55156689018831201,1, yes
55156689018831201,0, okay I just wanna make sure I'm saying that correctly I misled you may I have your date of birth
55156689018831201,1, six nineteen eighty two
55156689018831201,0, six nineteen eighty two all right so I'm guessing you just activate your card today ma'am because we don't date of birth okay %HESITATION go head I'm sorry
55156689018831201,1, yeah I activated and said it was
55156689018831201,0, you guys were missing crucial information or something right and that's one of the information that we've missed and your date of birth miss with %HESITATION what's the last four of your social security number ma'am
55156689018831201,1, %HESITATION five three eight three
55156689018831201,0, all right so just give me one mom I'm got your profile so I can put your date of birth on there but I'm just going to confirm it to make sure I have the correct one so that's June nineteen nineteen eighty two correct
55156689018831201,1, yes
55156689018831201,0, all right and is there a telephone number that you like to place on your account today
55156689018831201,1, sure it's three six oh two three seven four six zero two
55156689018831201,0, thank you so much so I got three six zero two three seven four six zero two
55156689018831201,1, yes
55156689018831201,0, and is that a cellphone or landline
55156689018831201,1, cell phone
55156689018831201,0, okay is their email address you like to place on your account today
55156689018831201,1, now
55156689018831201,0, all right and would you like to be subscribe with our listing promotional messages ma'am
55156689018831201,1, what is %HESITATION
55156689018831201,0, %HESITATION so dollars just like if any fraud activity is going on with your account you will be allowed to have that it will go to your cell phone or email if you that's optional you don't have to have email your account but the promotional messages like if we have any promotional offers when it comes to our card ma'am
55156689018831201,1, %HESITATION now
55156689018831201,0, all right and I'm since you are a new card holder %HESITATION do you mind if I go over some important information with you today
55156689018831201,1, sure
55156689018831201,0, all right so misli do we just want to thank you and extend a warm welcome to you for being a part of the direct express program we have updated our systems to provide you better service as always you can use your card or a MasterCard are accepted this includes making purchases sent up automatic bill payments as well as ATM withdrawals the features that we do have available for you ma'am is the direct express cash access road allows you to go to any Walmart location to use your direct express card along with a valid photo ID to be able to withdraw until two thousand dollars off your card now this can be performed every twenty days running without a purchase or mark does not charge you for this service however we do charge a dollar and fifty fee for this transaction %HESITATION we also have our new card holder website re be able to access your card information check your balance view and print transactions to make changes to your personal information and much more you go to our website which is W. W. W.
55156689018831201,1, dot U. S.
55156689018831201,0, direct express dot com and the information is also print on the back of the card if you ever forget ma'am and if you do decide to go to the website in full do just make sure that you select the car beginning with five one %HESITATION we also have our text alerts and I feel like I'd be happy to get them set up for you today but it will notify you they posted deposit low balance transaction activity and change your pin we also have our automated phone system re able to perform various activities such as card activation pen change balanced enquiring elicited transaction details and our friendly agents such as myself is here for you twenty four seven three hundred sixty five days and lastly coming soon is our new mobile app to help you stay connected with your card account anytime anywhere unfortunately it's not up and running at the moment but you will be notified once it is and again we'll do we are just happy to welcome you to direct its first program and believe that you'll find it features the benefits could be in an easy to use do you have any questions over the information ma'am okay
55156689018831201,1, %HESITATION text alerts letting you know when a deposit main stuff is that free
55156689018831201,0, yeah it is free do you have unlimited text messaging when it comes to your phone ma'am
55156689018831201,1, yes
55156689018831201,0, yep so I won't cost you anything would you like me to set you up with them
55156689018831201,1, yes
55156689018831201,0, all right and now when it comes to the low balance alert is there a certain amount that you like to be notified once your phones are Gallo ma'am
55156689018831201,1, %HESITATION now
55156689018831201,0, so this will set you up for that one ma'am
55156689018831201,1, no I mean although I went on %HESITATION
55156689018831201,0, the emails I guess issue with any questions or concerns when it comes to your account
55156689018831201,1, no I don't think so
55156689018831201,0, all right well I just want to say thank you for your time and thank you for calling direct express you have a blessed rest of your day miss ledoux
55156689018831201,1, you too thanks
55156689018831201,0, thank you ma'am bye bye
55156689018831201,1, bye
57156326709933330,0,you for calling direct express my name is a lease see %HESITATION who do I have the pleasure of speaking with
57156326709933330,1, yeah this is me go Rhoden
57156326709933330,0, okay %HESITATION the last four of your card number
57156326709933330,1, %HESITATION last for the card number is would you like R. I'm just checking here %HESITATION four six seven two
57156326709933330,0, in the last four of your social
57156326709933330,1, eight eight eight eight
57156326709933330,0, and your date of birth
57156326709933330,1, eight fifteen sixty seven
57156326709933330,0, happy early birthday
57156326709933330,1, thank you
57156326709933330,0, no problem what can I do for you today
57156326709933330,1, it transferred me over you were activated the card
57156326709933330,0, okay so all new card holders we have %HESITATION %HESITATION important information and sell them so just a moment please having technical difficulties okay so before I look into your account I would first like to take a minute to share some important information this will only take a minute we want to thank you and extend a warm welcome C. for being a part of the direct express program we have updated our systems to provide you better service as always you can you use your card or MasterCard is accepted this includes making %HESITATION making purchases setting up automatic bill payments for utilities and smartphone as well as ATM withdrawals %HESITATION of the new features includes for you to go to a local Walmart and access cash from your card without making a purchase not a for a fee of one dollar and fifty cents %HESITATION you can enjoy the new card holder website to access required information check your balances view and print transactions in to make changes to your personal information you can go to W. W. W. dot U. S. direct express dot com to access the website please be sure to select the card beginning with five one you can also perform various activities using our automated phone system such as card activation pin change balancing fiery and listen to this transaction details our friendly agents are also available to you twenty four seven three hundred sixty five days a year coming soon we will have a mobile app and it helps you stay connected with your card account anytime anywhere again we're happy to welcome you to the direct express program and believe you'll find the features and benefits convenient and easy to use you have any questions for me would you like to get set up to receive alerts and notifications today
57156326709933330,1, yes I've received from our standpoint deposits on my card
57156326709933330,0, okay I can set you up with that can you verify your mobile phone number
57156326709933330,1, yes now that that's the one I use %HESITATION so security are gonna be my other phone
57156326709933330,0, %HESITATION it can be whatever mobile phone you prefer
57156326709933330,1, okay you're seven oh two six eight three four five nine six
57156326709933330,0, seven zero two six eight three four five nine six
57156326709933330,1, yeah
57156326709933330,0, okay would you do you have an email address you like to provide today
57156326709933330,1, I'm not worried about the email thing part of it right now
57156326709933330,0, okay no worries I'll
57156326709933330,1, mark the box
57156326709933330,0, okay just a moment when your car reaches a certain low balance every month what what amount would you like to be notified at
57156326709933330,1, twenty dollars
57156326709933330,0, okay would you like to receive daily weekly or monthly card balance alert
57156326709933330,1, that your card balance well when I make a purchase or get the deposit would be separate card balance right
57156326709933330,0, yes
57156326709933330,1, yeah monthly I'll be fine
57156326709933330,0, okay one second please okay so %HESITATION every month on the first day at nine in the morning what is your time zone
57156326709933330,1, get me
57156326709933330,0, time zone
57156326709933330,1, I'm in Las Vegas Nevada thank you to make the balance alert on the fifteenth of every month
57156326709933330,0, unfortunately we are only able to select between the first in the six day which day do you prefer
57156326709933330,1, the first
57156326709933330,0, okay and your time zone is specific
57156326709933330,1, I believe so
57156326709933330,0, yeah it is I just verified it %HESITATION okay any additional questions today Mister road in you have any additional questions today Mister Roden
57156326709933330,1, nope that's it
57156326709933330,0, all right have a great weekend thanks for calling our regular rest bye bye
59156326645937527,0,thank you for calling direct express card services my name is merry may have your name please
59156326645937527,2, so I'm not for the
59156326645937527,0, I'm sorry what was that
59156326645937527,2, well yeah
59156326645937527,0, the last four digits of your card number
59156326645937527,2, wait twenty five eighty one
59156326645937527,0, the last four digits of your social security number
59156326645937527,2, ninety five sixty five
59156326645937527,0, and your birthdate
59156326645937527,2, seven eighteen weeks before
59156326645937527,0, thank you for that information sample so I'm just going to check to see if your car profilers updated and then Cher support card information with you today do you have a mobile phone number I can put on file for you
59156326645937527,2, no
59156326645937527,0, do you have a home phone
59156326645937527,2, no
59156326645937527,0, so you have no phone at all you could
59156326645937527,2, I got I got my I double song
59156326645937527,0, do you want to get is that a mobile phone number do you want to give that to me then
59156326645937527,2, two five one eight nine zero two zero nine seven four
59156326645937527,0, sometimes you have an email address
59156326645937527,2, %HESITATION P. as in Peter Alex four four one five thirty at G. email dot com
59156326645937527,0, thank you for that information
59156326645937527,2, we're going
