DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,2,B,decl,6.0,direct-state,"
it's from Birmingham to em London Euston please ",request-decl,location-to-from,positive,punc,type,stop
38,51,A,decl,76.0,direct-state,"
if i ask you to be there for 60 minutes before departure time on the day of travel ",condition-frag,time-location-journey-enum-day-departure,positive,backchannel,content,yes
38,51,A,decl,76.0,direct-state,"
if i ask you to be there for 60 minutes before departure time on the day of travel ",condition-frag,time-location-journey-enum-day-departure,positive,punc,type,level
38,51,A,decl,77.0,direct-state,"
and you need to take your credit card with you ",constrain-decl,creditcard,positive,punc,type,stop
38,71,A,decl,105.0,direct-state,"
",request-decl,confirm-address,positive,pause,,
38,71,A,decl,105.0,direct-state,"
",request-decl,confirm-address,positive,punc,type,stop
38,115,A,decl,186.0,direct-state,"
you quote that reference number
",,booking-number,positive,,,
40,51,A,decl,76.0,direct-state,"
if i ask you to be there for 60 minutes before departure time on the day of travel ",condition-frag,time-location-journey-enum-day-departure,positive,backchannel,content,yes
40,51,A,decl,76.0,direct-state,"
if i ask you to be there for 60 minutes before departure time on the day of travel ",condition-frag,time-location-journey-enum-day-departure,positive,punc,type,level
40,51,A,decl,77.0,direct-state,"
and you need to take your credit card with you ",constrain-decl,creditcard,positive,punc,type,stop
40,71,A,decl,105.0,direct-state,"
",request-decl,confirm-address,positive,pause,,
40,71,A,decl,105.0,direct-state,"
",request-decl,confirm-address,positive,punc,type,stop
40,115,A,decl,186.0,direct-state,"
you quote that reference number
",,booking-number,positive,,,
41,14,B,frag,20.0,direct-state,"
leaving erm ",partial-decl,enum-location-day-departure,positive,pause,,
41,14,B,frag,20.0,direct-state,"
leaving erm ",partial-decl,enum-location-day-departure,positive,punc,type,stop
42,14,B,decl,32.0,direct-state,"
it's ",request-decl-disflu,location-time-enum,positive,overlap,type,end
42,14,B,decl,32.0,direct-state,"
it's ",request-decl-disflu,location-time-enum,positive,punc,type,stop
43,81,A,decl,158.0,direct-state,"
you need to take your credit card with you as well ",constrain-decl,creditcard,positive,backchannel,content,yes
43,81,A,decl,158.0,direct-state,"
you need to take your credit card with you as well ",constrain-decl,creditcard,positive,punc,type,stop
44,31,A,decl,78.0,direct-state,"
you just need to be at the train station for about half an hour before departure time of the train ",constrain-decl,time-journey-departure,positive,backchannel,content,ok
44,31,A,decl,78.0,direct-state,"
you just need to be at the train station for about half an hour before departure time of the train ",constrain-decl,time-journey-departure,positive,punc,type,stop
44,33,A,frag,83.0,direct-state,"
",request-query,name,positive,pause,,
44,33,A,frag,83.0,direct-state,"
",request-query,name,positive,punc,type,query
44,95,A,decl,194.0,direct-state,"
and you just need to quote this reference number ",constrain-decl,booking-number,positive,punc,type,stop
44,103,A,decl,208.0,direct-state,"
you just need to quote that reference number ",constrain-frag,booking-number,positive,punc,type,level
46,85,A,decl,179.0,direct-state,"
you need to take your credit card with you ",constrain-decl,creditcard,positive,punc,type,stop
46,85,A,decl,180.0,direct-state,"
and you need to quote this reference number ",constrain-decl,booking-number,positive,punc,type,stop
47,2,B,decl,5.0,direct-state,"
it's er ",decl,location,positive,pause,,
47,2,B,decl,5.0,direct-state,"
it's er ",decl,location,positive,pause,,
47,2,B,decl,5.0,direct-state,"
it's er ",decl,location,positive,punc,type,stop
47,151,A,decl,288.0,direct-state,"
",constrain-frag,day-creditcard,positive,pause,,
47,151,A,decl,288.0,direct-state,"
",constrain-frag,day-creditcard,positive,punc,type,level
47,151,A,decl,289.0,direct-state,"
",constrain-frag,time-enum-departure,positive,pause,,
47,151,A,decl,289.0,direct-state,"
",constrain-frag,time-enum-departure,positive,punc,type,level
47,157,A,decl,296.0,direct-state,"
and you just ",frag,booking-number,positive,pause,,
47,157,A,decl,296.0,direct-state,"
and you just ",frag,booking-number,positive,punc,type,level
49,61,A,decl,120.0,direct-state,"
if i ask you to be there for half an hour before departure time of the train ",condition-frag,time-location-departure,positive,punc,type,level
50,55,A,decl,108.0,direct-state,"
i need the full credit card address ",report-constrain-decl,creditcard-address,positive,punc,type,stop
53,101,A,decl,226.0,direct-state,"
you just need to go to the travel centre ",constrain-frag,journey,positive,punc,type,level
53,101,A,decl,229.0,direct-state,"
you'll need to quote this reference number ",constrain-decl,booking-number,positive,punc,type,stop
54,2,B,decl,5.0,direct-state,"
it's from London Euston to Birmingham International ",decl,location-to-from,positive,punc,type,stop
56,41,A,decl,79.0,direct-state,"
if you be there for quarter of an hour before departure time of the train ",condition-decl,time-location-departure,positive,punc,type,stop
58,47,A,decl,91.0,direct-state,"
and you need to take your credit card with you ",constrain-decl,creditcard,positive,punc,type,stop
58,87,A,decl,180.0,direct-state,"
you need to be there for 50 minutes before departure time ",constrain-frag,time-location-enum-departure,positive,punc,type,level
58,87,A,decl,181.0,direct-state,"
",constrain-decl,booking-number,positive,pause,,
58,87,A,decl,181.0,direct-state,"
",constrain-decl,booking-number,positive,punc,type,stop
59,81,A,decl,179.0,direct-state,"
you need to take your credit card with you ",constrain-decl,creditcard,positive,punc,type,stop
59,83,A,decl,181.0,direct-state,"
you collect your tickets 45 minutes before departure time ",frag,time-journey-enum-departure,positive,pause,,
59,83,A,decl,181.0,direct-state,"
you collect your tickets 45 minutes before departure time ",frag,time-journey-enum-departure,positive,punc,type,stop
59,83,A,decl,182.0,direct-state,"
",constrain-decl,booking-number-creditcard,positive,pause,,
59,83,A,decl,182.0,direct-state,"
",constrain-decl,booking-number-creditcard,positive,punc,type,stop
62,12,B,decl,23.0,direct-state,"
it's it's about em em well erm 6 ",decl-disflu,enum,positive,punc,type,stop
62,33,A,frag,83.0,direct-state,"
you send those tickets back ",decl,journey,positive,backchannel,content,yes
62,33,A,frag,83.0,direct-state,"
you send those tickets back ",decl,journey,positive,punc,type,stop
63,133,A,decl,263.0,direct-state,"
i need the surname of the credit card holder please ",request-report-constrain-query,name-creditcard,positive,punc,type,query
63,183,A,decl,331.0,direct-state,"
tomorrow you need your credit card with you when you collect the tickets ",constrain-decl,journey-time-day-creditcard,positive,punc,type,stop
63,185,A,decl,333.0,direct-state,"
you collect them from the booking office in London Euston ",decl,location-booking,positive,punc,type,stop
63,189,A,decl,341.0,direct-state,"
and you just need to quote this reference number ",constrain-decl,booking-number,positive,punc,type,stop
63,215,A,decl,372.0,direct-state,"
and you just collect your tickets 50 minutes before departure time tomorrow ",frag,time-journey-enum-day-departure,positive,punc,type,level
69,21,A,decl,45.0,direct-state,"
you have to change at Wigan North Western ",constrain-decl,time,positive,punc,type,stop
