Call_ID,Speaker,Dialogue,Sentences,NounChunks,Co-Reference,Tags,PERSON,ORG,Greet,IntroduceSelf,IntroduceCompany,Offer,Mastered
1,1,Well.                                                                                                                                                                                                                                                                                                                                ,Well.                                                                                                                                                                                                                                                                                                                                ,,,"[('Well', 'well', 'INTJ', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
1,2,Thank you very much for calling card member services this is Jack and can please have the card number                                                                                                                                                                                                                                ,Thank you very much for calling card member services this is Jack and can please have the card number                                                                                                                                                                                                                                ,"you,card member services,Jack,the card number",,"[('Thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('very', 'very', 'ADV', '', 'advmod'), ('much', 'much', 'ADV', '', 'advmod'), ('for', 'for', 'ADP', '', 'prep'), ('calling', 'call', 'VERB', '', 'pcomp'), ('card', 'card', 'NOUN', '', 'compound'), ('member', 'member', 'NOUN', '', 'compound'), ('services', 'service', 'NOUN', '', 'dobj'), ('this', 'this', 'DET', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ccomp'), ('Jack', 'Jack', 'PROPN', 'PERSON', 'attr'), ('and', 'and', 'CCONJ', '', 'cc'), ('can', 'can', 'VERB', '', 'aux'), ('please', 'please', 'VERB', '', 'intj'), ('have', 'have', 'VERB', '', 'conj'), ('the', 'the', 'DET', '', 'det'), ('card', 'card', 'NOUN', '', 'compound'), ('number', 'number', 'NOUN', '', 'dobj'), (' ', ' ', 'SPACE', '', '')]",Jack,,,This is,"Thank you very much for calling,This is",,Mastered
1,1,Yes #                                                                                                                                                                                                                                                                                                                              ,Yes #                                                                                                                                                                                                                                                                                                                              ,,,"[('Yes', 'yes', 'INTJ', '', 'ROOT'), ('#', '#', 'NOUN', '', 'npadvmod'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
1,1,# ,#,,,"[('#', '#', 'SYM', 'CARDINAL', 'ROOT')]",,,,,,,Mastered
2,1,Welcome to Australia Post load and go support my name is Archie #  have your card ID number please.                                                                                                                                                                                                                                 ,"Welcome to Australia Post load and go support,my name is Archie #  ,have your card ID number please.                                                                                                                                                                                                                                 ","Australia Post load,my name,your card ID number",,"[('Welcome', 'welcome', 'VERB', '', 'ROOT'), ('to', 'to', 'ADP', '', 'prep'), ('Australia', 'Australia', 'PROPN', 'ORG', 'compound'), ('Post', 'Post', 'PROPN', 'ORG', 'compound'), ('load', 'load', 'NOUN', '', 'pobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('go', 'go', 'VERB', '', 'conj'), ('support', 'support', 'VERB', '', 'advcl'), ('my', '-PRON-', 'DET', '', 'poss'), ('name', 'name', 'NOUN', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('Archie', 'Archie', 'PROPN', 'PERSON', 'compound'), ('#', '#', 'SYM', '', 'attr'), (' ', ' ', 'SPACE', '', ''), ('have', 'have', 'VERB', '', 'ROOT'), ('your', '-PRON-', 'DET', '', 'poss'), ('card', 'card', 'NOUN', '', 'compound'), ('ID', 'ID', 'PROPN', '', 'compound'), ('number', 'number', 'NOUN', '', 'dobj'), ('please', 'please', 'INTJ', '', 'intj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",Archie,Australia Post,,My name is,Welcome to,,Mastered
2,2,yes is that the straight digit.                                                                                                                                                                                                                                                                                                      ,yes is that the straight digit.                                                                                                                                                                                                                                                                                                      ,the straight digit,,"[('yes', 'yes', 'INTJ', '', 'intj'), ('is', 'be', 'VERB', '', 'ROOT'), ('that', 'that', 'ADP', '', 'nsubj'), ('the', 'the', 'DET', '', 'det'), ('straight', 'straight', 'ADJ', '', 'amod'), ('digit', 'digit', 'NOUN', '', 'attr'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
2,1,No it is the #  digit number on the back of your card please.                                                                                                                                                                                                                                                                         ,No it is the #  digit number on the back of your card please.                                                                                                                                                                                                                                                                         ,"it,the #  digit number,the back,your card",,"[('No', 'no', 'INTJ', '', 'intj'), ('it', '-PRON-', 'PRON', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('the', 'the', 'DET', '', 'det'), ('#', '#', 'SYM', '', 'nmod'), (' ', ' ', 'SPACE', '', ''), ('digit', 'digit', 'NOUN', '', 'compound'), ('number', 'number', 'NOUN', '', 'attr'), ('on', 'on', 'ADP', '', 'prep'), ('the', 'the', 'DET', '', 'det'), ('back', 'back', 'NOUN', '', 'pobj'), ('of', 'of', 'ADP', '', 'prep'), ('your', '-PRON-', 'DET', '', 'poss'), ('card', 'card', 'NOUN', '', 'pobj'), ('please', 'please', 'INTJ', '', 'intj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,It is,,,Mastered
2,2,Okay.                                                                                                                                                                                                                                                                                                                                ,Okay.                                                                                                                                                                                                                                                                                                                                ,,,"[('Okay', 'okay', 'INTJ', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
3,1,Welcome to Australia post load and go support this is Matthew can I  please have your card ID number.                                                                                                                                                                                                                                ,"Welcome to Australia post load and go support this is,Matthew,can I  please have your card ID number.                                                                                                                                                                                                                                ","Australia,post load,Matthew,I,your card ID number",,"[('Welcome', 'welcome', 'VERB', '', 'intj'), ('to', 'to', 'ADP', '', 'prep'), ('Australia', 'Australia', 'PROPN', 'GPE', 'pobj'), ('post', 'post', 'NOUN', '', 'compound'), ('load', 'load', 'NOUN', '', 'dobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('go', 'go', 'VERB', '', 'conj'), ('support', 'support', 'VERB', '', 'dobj'), ('this', 'this', 'DET', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('Matthew', 'Matthew', 'PROPN', 'PERSON', 'ROOT'), ('can', 'can', 'VERB', '', 'aux'), ('I', '-PRON-', 'PRON', '', 'nsubj'), (' ', ' ', 'SPACE', '', ''), ('please', 'please', 'INTJ', '', 'intj'), ('have', 'have', 'VERB', '', 'ROOT'), ('your', '-PRON-', 'DET', '', 'poss'), ('card', 'card', 'NOUN', '', 'compound'), ('ID', 'ID', 'PROPN', '', 'compound'), ('number', 'number', 'NOUN', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",Matthew,,,This is,"Welcome to,This is",Can I,Mastered
3,2,Yes sure Matthew it is                                                                                                                                                                                                                                                                                                                ,Yes sure Matthew it is                                                                                                                                                                                                                                                                                                                ,"Matthew,it",,"[('Yes', 'yes', 'INTJ', '', 'intj'), ('sure', 'sure', 'ADJ', '', 'ROOT'), ('Matthew', 'Matthew', 'PROPN', 'PERSON', 'attr'), ('it', '-PRON-', 'PRON', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ccomp'), (' ', ' ', 'SPACE', '', '')]",Matthew,,,It is,,,Mastered
