DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,2,B,decl,4.0,direct,"
em it's from Birmingham to em London Euston please
",closure,to-location-from,positive,,,
1,4,B,yes,6.0,answ,"
yeah
",closure,,,,,
1,6,B,frag,10.0,answElab,"
a debit card
",closure,creditcard,positive,,,
1,8,B,no,13.0,answ,"
no
",closure,,,,,
1,12,B,decl,17.0,answ,"
the eighth of October
",closure,month-date,positive,,,
1,36,B,frag,70.0,direct,"
non smoking ",closure,seat,positive,overlap,type,start
1,48,B,frag,98.0,answ,"
{surname}%5%18%16%5%23%18%0 {letter}%5 {letter}%18 {letter}%16 {letter}%5 {letter}%23 {letter}%18 {letter}%0
",closure,spell-name,positive,,,
1,54,B,frag,104.0,answ,"
em 0 1 1 1
",closure,enum,positive,,,
1,60,B,frag,110.0,answ,"
{letter}%11 36 ",closure,enum-spell,positive,pause,,
2,2,B,frag,4.0,direct,"
er Euston to Manchester please
",closure,to-location,positive,,,
2,6,B,no,9.0,answ,"
no
",closure,,,,,
2,8,B,frag,11.0,answ,"
just one please
",closure,number,positive,,,
2,15,A,decl,21.0,inform,"
the trains run at 10 to the hour every hour
",closure,time,positive,,,
2,22,B,frag,30.0,unclassifiable,"
em ",closure,time,positive,unclear,length,2 syllables
2,35,A,decl,54.0,confirm,"
you don't want to book at all
",closure,preference-booking,negative,,,
3,4,B,yes,7.0,answ,"
yes
",closure,,,,,
3,6,B,no,9.0,answ,"
no
",closure,,,,,
3,10,B,yes,13.0,answ,"
yes
",closure,,,,,
3,12,B,frag,15.0,answ,"
er third of October
",closure,month-date,positive,,,
3,16,B,frag,19.0,direct,"
em about 9 o'clock
",closure,time,positive,,,
3,24,B,frag,29.0,direct,"
er 8 minutes to 10
",closure,time,positive,,,
3,46,B,yes,59.0,direct,"
yeah
",closure,,,,,
3,54,B,decl,72.0,answ,"
it's {surname}%16%0%15%5%0%15
",closure,name,positive,,,
3,56,B,frag,74.0,answ,"
{letter}%16 {letter}%0 {letter}%15 ",closure,enum-spell,positive,pause,,
3,60,B,decl,79.0,answ,"
it's 0 1 5 2 5
",closure,enum,positive,,,
3,68,B,frag,91.0,answ,"
{letter}%10 {letter}%16 11
",closure,enum-spell,positive,,,
3,74,B,decl,100.0,answ,"
it's Visa
",closure,creditcard,positive,,,
3,94,B,frag,123.0,direct,"
er non smoking
",closure,seat,positive,,,
3,96,B,no,125.0,direct,"
er no
",closure,,,,,
4,8,B,yes,14.0,answ,"
yes
",closure,,,,,
4,12,B,decl,21.0,answ,"
i don't
",closure,,negative,,,
4,19,A,decl,44.0,confirm,"
you want a ticket from Wigan now
",closure,preference-from-journey,positive,,,
4,42,B,frag,86.0,refer,"
",closure,from,positive,pause,,
4,48,B,frag,110.0,refer,"
31
",closure,,positive,,,
4,62,B,yes,140.0,answ,"
erm ",closure,,,pause,length,5s
4,70,B,frag,160.0,answ,"
{surname}%0%12%9%0%17 {letter}%0 {letter}%12 {letter}%9 {letter}%0 {letter}%17
",closure,spell-name,positive,,,
4,74,B,frag,164.0,answ,"
0 1 0 6
",closure,enum,positive,,,
4,80,B,frag,170.0,answ,"
{letter}%21 7 6
",closure,enum-spell,positive,,,
