DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,36,B,frag,72.0,direct-refer,"
non-smoking ",request-decl,seat,positive,overlap,type,start
36,36,B,frag,72.0,direct-refer,"
non-smoking ",request-decl,seat,positive,punc,type,stop
36,47,A,frag,99.0,direct-refer,"
your surname please ",request-frag,name,positive,punc,type,level
37,2,B,frag,6.0,direct-refer,"
Euston to Manchester please ",request-decl,location-to,positive,punc,type,stop
38,2,B,frag,6.0,direct-refer,"
from Macclesfield to London Euston return ",partial-decl,location-to-fare-from,positive,punc,type,stop
38,16,B,frag,23.0,direct-refer,"
about 9 o'clock ",partial-decl,time-enum,positive,punc,type,stop
38,18,B,frag,26.0,direct-refer,"
on ",partial-decl,month-date-day,positive,pause,,
38,18,B,frag,26.0,direct-refer,"
on ",partial-decl,month-date-day,positive,punc,type,stop
38,24,B,frag,35.0,direct-refer,"
8 minutes to 10 ",decl,time-enum,positive,punc,type,stop
38,53,A,frag,80.0,direct-refer,"
your surname please ",request-decl,name,positive,punc,type,stop
38,59,A,frag,88.0,direct-refer,"
your contact telephone number please ",request-decl,telephone-number,positive,punc,type,stop
38,94,B,frag,136.0,direct-refer,"
non-smoking ",decl,seat,positive,punc,type,stop
39,87,A,decl,196.0,direct-refer,"
and the number please ",request-decl,number,positive,punc,type,stop
40,2,B,frag,6.0,direct-refer,"
from Macclesfield to London Euston return ",partial-decl,location-to-fare-from,positive,punc,type,stop
40,16,B,frag,23.0,direct-refer,"
about 9 o'clock ",partial-decl,time-enum,positive,punc,type,stop
40,18,B,frag,26.0,direct-refer,"
on ",partial-decl,month-date-day,positive,pause,,
40,18,B,frag,26.0,direct-refer,"
on ",partial-decl,month-date-day,positive,punc,type,stop
40,24,B,frag,35.0,direct-refer,"
8 minutes to 10 ",decl,time-enum,positive,punc,type,stop
40,53,A,frag,80.0,direct-refer,"
your surname please ",request-decl,name,positive,punc,type,stop
40,59,A,frag,88.0,direct-refer,"
your contact telephone number please ",request-decl,telephone-number,positive,punc,type,stop
40,94,B,frag,136.0,direct-refer,"
non-smoking ",decl,seat,positive,punc,type,stop
41,2,B,frag,5.0,direct-refer,"
Preston to Rugby ",decl,location-to,positive,punc,type,stop
41,10,B,frag,15.0,direct-refer,"
Friday the 9th of October ",decl,month-date-day,positive,punc,type,stop
41,28,B,frag,48.0,direct-refer,"
non-smoking ",decl,seat,positive,punc,type,stop
41,35,A,frag,60.0,direct-refer,"
your surname please ",request-decl,name,positive,punc,type,stop
41,39,A,frag,65.0,direct-refer,"
and your contact telephone number please ",request-decl,telephone-number,positive,punc,type,stop
42,2,B,frag,6.0,direct-refer,"
Wolverhampton to Euston please ",request-decl,location-to,positive,punc,type,stop
42,10,B,decl,19.0,direct-refer,"
and hopefully the business class please ",request-decl,,positive,punc,type,stop
42,59,A,decl,102.0,direct-refer,"
",request-decl,number-creditcard,positive,pause,length,5s
42,59,A,decl,102.0,direct-refer,"
",request-decl,number-creditcard,positive,punc,type,stop
43,2,B,frag,6.0,direct-refer,"
from Nuneaton to Euston ",partial-decl,location-to-from,positive,punc,type,stop
43,12,B,frag,17.0,direct-refer,"
tomorrow ",request-decl,day,positive,pause,,
43,12,B,frag,17.0,direct-refer,"
tomorrow ",request-decl,day,positive,punc,type,stop
43,28,B,frag,54.0,direct-refer,"
non-smoking please ",request-decl,seat,positive,punc,type,stop
43,34,B,frag,70.0,direct-refer,"
rear facing if you have it please ",request-condition-decl,seat,positive,punc,type,stop
44,2,B,frag,6.0,direct-refer,"
from London to Crewe please ",request-partial-decl,to-location-from,positive,punc,type,stop
44,16,B,frag,39.0,direct-refer,"
the following morning ",decl,time,positive,punc,type,stop
45,10,B,frag,18.0,direct-refer,"
next er next Friday ",decl,day,positive,punc,type,stop
46,14,B,frag,29.0,direct-refer,"
about 9 o'clock ",partial-decl,time-enum,positive,punc,type,stop
46,45,A,frag,105.0,direct-refer,"
your surname please ",request-decl,name,positive,punc,type,stop
46,62,B,frag,132.0,direct-refer,"
non-smoking please ",request-decl,seat,positive,punc,type,stop
47,114,B,frag,231.0,direct-refer,"
",request-decl,,positive,overlap,type,start
47,114,B,frag,231.0,direct-refer,"
",request-decl,,positive,punc,type,stop
47,123,A,frag,250.0,direct-refer,"
your surname please ",request-decl,name,positive,punc,type,stop
48,2,B,frag,6.0,direct-refer,"
from Durham to Leeds please ",request-partial-decl,to-location-from,positive,punc,type,stop
48,20,B,frag,35.0,direct-refer,"
6:53 please ",request-decl,enum,positive,punc,type,stop
48,60,B,decl,99.0,direct-refer,"
the Wednesday please ",request-decl,day,positive,punc,type,stop
48,66,B,frag,112.0,direct-refer,"
non-smoking please ",request-decl,seat,positive,punc,type,stop
48,83,A,frag,143.0,direct-refer,"
",request-decl,name,positive,overlap,type,end
48,83,A,frag,143.0,direct-refer,"
",request-decl,name,positive,punc,type,stop
49,2,B,frag,6.0,direct-refer,"
Wrexham ",decl,location,positive,punc,type,stop
49,24,B,frag,41.0,direct-refer,"
about 11:15 ",partial-decl,,positive,punc,type,stop
