DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
2,22,B,frag,30.0,unclassifiable,"
em ",closure,time,positive,unclear,length,2 syllables
5,30,B,q-yn,44.0,unclassifiable,"
erm can i don't have to book a time on the Sunday
",closed-constrain,time-day-booking,negative,,,
7,39,A,frag,60.0,unclassifiable,"
91 pounds exactly
",,fare,positive,,,
9,47,A,decl,88.0,unclassifiable,"
you never know the new millenium's coming in soon so
",,,negative,,,
11,69,A,decl,133.0,unclassifiable,"
if it is ",abandon-condition,,positive,pause,,
13,131,A,frag,189.0,unclassifiable,"
2",,enum,positive,overlap,type,end
13,131,A,frag,189.0,unclassifiable,"
2",,enum,positive,pause,,
15,74,B,q-yn,133.0,unclassifiable,"
is it ",closed,,positive,overlap,type,end
17,11,A,q-wh,15.0,unclassifiable,"
and what
",abandon-open,,positive,,,
18,102,B,decl,195.0,unclassifiable,"
it sounds funny when they ",abandon,time,positive,overlap,type,start
18,102,B,decl,195.0,unclassifiable,"
it sounds funny when they ",abandon,time,positive,vocal,content,laughter
23,26,B,frag,41.0,unclassifiable,"
",,day,positive,comment,content,laughs
23,26,B,frag,41.0,unclassifiable,"
",,day,positive,pause,,
27,108,B,frag,172.0,unclassifiable,"
oh er ",,,positive,pause,,
28,60,B,decl,111.0,unclassifiable,"
i i i tell the guy you can do any a...    
",poss2-abandon,,positive,,,
28,92,B,frag,164.0,unclassifiable,"
if if i'm now good lady
",condition-closure,,positive,,,
28,223,A,q-wh,332.0,unclassifiable,"
when
",,time,positive,,,
29,24,B,decl,41.0,unclassifiable,"
there used to be a 7 25 er
",exists,enum,positive,,,
29,24,B,decl,43.0,unclassifiable,"
and that's why er
",abandon-reason,,positive,,,
35,88,B,decl,145.0,unclassifiable,"
that's at the right time what
",,time,positive,,,
35,108,B,decl,179.0,unclassifiable,"
you know then it's
",,,positive,,,
35,134,B,frag,231.0,unclassifiable,"
ha ok
",,,positive,,,
