DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,23,A,decl,33.0,informIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you
",reportIntent,fare-avail-verify,positive,,,
1,39,A,decl,76.0,confirm,"
i'm booking from Euston to Birmingham New Street
",reportIntent,to-location-from-booking,positive,,,
2,27,A,decl,42.0,informIntent-hold,"
i'm just going to check with you what's your cheapest fare available to you
",reportIntent,fare-avail-verify,positive,,,
3,29,A,decl,34.0,informIntent-hold,"
and i'm just going to check your return time ",reportIntent,time-fare-verify,positive,pause,length,3s
3,37,A,decl,47.0,informIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you
",reportIntent,fare-avail-verify,positive,,,
3,73,A,decl,97.0,informIntent-hold,"
",reportIntent,,positive,pause,,
3,73,A,decl,97.0,informIntent-hold,"
",reportIntent,,positive,pause,length,11s
14,82,B,decl,133.0,inform,"
actually i'm giving you this as a company card i'm giving you
",reportIntent,,positive,,,
16,6,B,decl,12.0,informIntent,"
i'm using a credit card to pay for this
",reportIntent,creditcard,positive,,,
26,2,B,decl,5.0,informIntent,"
i'm wishing to er travel ",reportIntent,location-preference-to-journey,positive,pause,,
30,10,B,decl,18.0,inform,"
i'm going up there this afternoon
",reportIntent,time,positive,,,
