ConversationIDDataImpl,SpeakerDataImpl,StartTimeDataImpl,EndTimeDataImpl,PlainTextDataImpl
22150273269432841,1,1,8,Well.                                                                                                                                                                                                                                                                                                                                
22150273269432841,2,9,10,Thank you very much for calling card member services this is Jack and can please have the card number                                                                                                                                                                                                                                
22150273269432841,1,16,21,Yes 4088                                                                                                                                                                                                                                                                                                                             
22150273269432841,1,25,28,560800446031
22150273269432841,2,37,47,Thank you very much.                                                                                                                                                                                                                                                                                                                 
22150273269432841,2,50,56,May I Have your name please.                                                                                                                                                                                                                                                                                                         
22150273269432841,1,57,67,Selena and Graham.                                                                                                                                                                                                                                                                                                                   
22150273269432841,1,70,74,Also Lena Grimes what's on the card.                                                                                                                                                                                                                                                                                                 
22150273269432841,2,78,82,May Ihave you.                                                                                                                                                                                                                                                                                                                       
22150273269432841,2,92,96,Phone number                                                                                                                                                                                                                                                                                                                         
22150273269432841,1,105,108,60
22150273269432841,1,111,120,Mobile 0 for one eight one eight 6649.                                                                                                                                                                                                                                                                                               
22150273269432841,2,121,124,Thank you very much and how I can help you today.                                                                                                                                                                                                                                                                                    
22150273269432841,2,131,134,Ms. Graham.                                                                                                                                                                                                                                                                                                                          
22150273269432841,1,139,140,Yes hello.                                                                                                                                                                                                                                                                                                                           
22150273269432841,1,145,150,I'm activated I got a couple of cards  in the Mile.                                                                                                                                                                                                                                                                                  
22150273269432841,1,151,154,I'm activated the $25 one I went to use that the whole $25 one and then it said it was the declined straight away and then obviously $0.15 came out and then I tried to put in 20 4 and then it said it was declined again and then another $0.15 charge that an adult 20 obviously for the phone call but yeah why is that happening
22150273269432841,2,163,165,Well I can see the very first time you just try to make a purchase for $26.                                                                                                                                                                                                                                                          
22150273269432841,2,166,168,As you know you would just have                                                                                                                                                                                                                                                                                                      
22150273269432841,1,176,182,That was a lady yeah I said put 25 that and I'll put the the other  dollar on cash I see                                                                                                                                                                                                                                             
22150273269432841,2,188,197,The                                                                                                                                                                                                                                                                                                                                  
22150273269432841,1,200,207,Best trends that you and that's                                                                                                                                                                                                                                                                                                      
22150273269432841,2,210,220,And the second time she swiped  it for $25.                                                                                                                                                                                                                                                                                          
22150273269432841,2,228,231,Again you have like 2485 at that time.                                                                                                                                                                                                                                                                                               
22150273269432841,2,238,245,You have been declined again yeah and now you have just 2470 so just make a purchase according to your available balance.                                                                                                                                                                                                            
22150273269432841,2,252,255,You will not get decline                                                                                                                                                                                                                                                                                                             
22150273269432841,1,259,263,Go yeah.                                                                                                                                                                                                                                                                                                                             
22150273269432841,1,267,269,it was just that the girl at the shop must've put in the 26 instead of the 24th.                                                                                                                                                                                                                                                     
22150273269432841,2,273,281,Correct                                                                                                                                                                                                                                                                                                                              
22150273269432841,1,282,291,Yeah.                                                                                                                                                                                                                                                                                                                                
22150273269432841,1,292,295,25 you know otherwise just because yeah I thought it was very strange.                                                                                                                                                                                                                                                               
22150273269432841,1,299,300,Like I said now and I when I when I use my next card.                                                                                                                                                                                                                                                                                
22150273269432841,1,306,311,I know what to do                                                                                                                                                                                                                                                                                                                    
22150273269432841,1,318,323,Thank you for that anyway.                                                                                                                                                                                                                                                                                                           
22150273269432841,1,324,331,Your all welcome                                                                                                                                                                                                                                                                                                                     
22150273269432841,2,337,346,Is there anything else I can help you more.                                                                                                                                                                                                                                                                                          
22150273269432841,1,352,354,No I that's a lot that.                                                                                                                                                                                                                                                                                                              
22150273269432841,2,361,368,Thank you very much for your call and having a wonderful day.                                                                                                                                                                                                                                                                        
22150273269432841,2,377,380,Bye.                                                                                                                                                                                                                                                                                                                                 
22150273269432841,1,385,386,Okay.                                                                                                                                                                                                                                                                                                                                
22150273269432841,1,395,402,Bye                                                                                                                                                                                                                                                                                                                                  
22150273269432857,1,1,5,Welcome to Australia Post load and go support my name is Archie may have your card ID number please.                                                                                                                                                                                                                                 
22150273269432857,2,7,12,yes is that the straight digit.                                                                                                                                                                                                                                                                                                      
22150273269432857,1,22,28,No it's the 16 digit number on the back of your card please.                                                                                                                                                                                                                                                                         
22150273269432857,2,29,30,Okay.                                                                                                                                                                                                                                                                                                                                
22150273269432857,2,32,38,2
22150273269432857,1,44,51,Four                                                                                                                                                                                                                                                                                                                                 
22150273269432857,2,53,63,36379775951302
22150273269432857,1,72,74,02 is the last two digit number.                                                                                                                                                                                                                                                                                                     
22150273269432857,2,77,85,Yes.                                                                                                                                                                                                                                                                                                                                 
