DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
2,18,B,decl,25.0,ackn,"
that's right
",reassurance,,positive,,,
2,24,B,decl,34.0,ackn,"
that's right yeah
",reassurance,,positive,,,
5,16,B,decl,21.0,ackn,"
that's right
",reassurance,,positive,,,
6,80,B,decl,109.0,ackn,"
that's right
",reassurance,,positive,,,
12,84,B,decl,142.0,accept,"
that's alright ",reassurance,,positive,pause,,
13,22,B,decl,34.0,ackn,"
that's right
",reassurance,,positive,,,
13,28,B,decl,42.0,ackn,"
that's right that's right
",reassurance,,positive,,,
13,39,A,decl,61.0,ackn,"
",reassurance,,positive,overlap,type,start
13,64,B,decl,97.0,ackn,"
that's right yes
",reassurance,,positive,,,
13,118,B,decl,168.0,ackn,"
that's right
",reassurance,,positive,,,
14,22,B,decl,33.0,ackn,"
that's right
",reassurance,,positive,,,
14,32,B,decl,54.0,ackn,"
that's right ",reassurance,,positive,pause,length,8s
14,89,A,decl,148.0,accept,"
it's ok
",reassurance,,positive,,,
14,89,A,decl,149.0,inform,"
it's just so long as you have the letter of authorisation giving you permission to use the company credit card on like off... official headed paper that's ok
",reassurance,miss-creditcard,positive,,,
15,34,B,decl,66.0,accept,"
that's right
",reassurance,,positive,,,
16,73,A,decl,128.0,accept,"
that's ok
",reassurance,,positive,,,
18,56,B,decl,122.0,accept,"
that's that's alright
",reassurance,,positive,,,
19,24,B,decl,34.0,accept,"
that's right
",reassurance,,positive,,,
19,30,B,decl,48.0,accept,"
that's right
",reassurance,,positive,,,
19,48,B,decl,76.0,ackn,"
that's right
",reassurance,,positive,,,
21,6,B,decl,11.0,answElab,"
that's right
",reassurance,,positive,,,
24,20,B,decl,33.0,accept,"
that's right
",reassurance,,positive,,,
24,47,A,decl,79.0,ackn,"
it's ok sir ",reassurance,,positive,pause,,
24,58,B,decl,109.0,accept,"
that's ok ",reassurance,,positive,pause,,
26,41,A,decl,88.0,inform,"
and that's ok ",reassurance,,positive,backchannel,content,yes
28,148,B,decl,241.0,accept,"
oh that's ok then
",reassurance,,positive,,,
28,156,B,decl,250.0,ackn,"
that's right
",reassurance,,positive,,,
29,24,B,decl,40.0,accept,"
oh that's right erm
",reassurance,,positive,,,
33,42,B,decl,68.0,ackn,"
that's right
",reassurance,,positive,,,
33,90,B,decl,140.0,accept,"
that's right
",reassurance,,positive,,,
35,79,A,decl,130.0,answElab,"
that's ok
",reassurance,,positive,,,
35,108,B,frag,176.0,informIntent,"
just check that ev... that's alright
",reassurance,verify,positive,,,
48,28,B,dm,47.0,agree,"
that's right ",reassurance,,,punc,type,stop
48,28,B,dm,48.0,agree,"
that's right ",reassurance,,,punc,type,stop
48,39,A,dm,68.0,answer-agree,"
",reassurance,,,overlap,type,start
48,39,A,dm,68.0,answer-agree,"
",reassurance,,,punc,type,stop
48,64,B,dm,108.0,agree,"
that's right ",reassurance,,,punc,type,stop
51,73,A,dm,145.0,agree,"
that's ok ",reassurance,,,punc,type,stop
59,58,B,dm,138.0,agree,"
that's ok ",reassurance,,,punc,type,stop
