DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,31,A,decl,57.0,informIntent,"
i'll just gonna book ",intent,booking,positive,pause,,
1,45,A,decl,83.0,informIntent,"
i'm going to book you a forward facing seat again ",intent-report,seat-booking,positive,pause,length,2s
3,51,A,decl,66.0,informIntent,"
what i'm going to have to do is arrange for you to collect your tickets from the train station ",intent-benefit-constrain-report,journey,positive,backchannel,content,yes
3,98,B,decl,131.0,informIntent,"
i'll go for a smoking then
",intent,preference-seat,positive,,,
4,18,B,decl,41.0,informIntent,"
i may as well get on with them in Wigan then
",poss1,,positive,,,
4,46,B,decl,98.0,informIntent,"
erm i'll book on the ",intent,time-day-number-booking,positive,pause,,
4,50,B,decl,119.0,informIntent,"
i'll go on that
",intent,,positive,,,
5,38,B,decl,59.0,informIntent,"
i'll have just get a normal return
",intent,fare,positive,,,
5,40,B,decl,65.0,informIntent,"
i just have to get a normal fare then
",constrain,fare,positive,,,
6,24,B,decl,34.0,informIntent,"
i'll do that
",intent,,positive,,,
7,11,A,decl,18.0,informIntent,"
i'm just going to check that cos the fares are actually off change
",reasonIntent,fare-verify,positive,,,
7,11,A,decl,20.0,informIntent,"
i'm just double checking ",existsIntent,avail-verify,positive,pause,,
7,11,A,decl,20.0,informIntent,"
i'm just double checking ",existsIntent,avail-verify,positive,backchannel,content,right
7,25,A,decl,41.0,informIntent,"
i'm just going to book your seat
",intent,booking,positive,,,
7,79,A,decl,111.0,informIntent,"
and the ticket will be posted out in the first class post to you ok now
",,journey,positive,,,
9,26,B,decl,50.0,informIntent,"
i'll go for that one please yeah
",intent,number,positive,,,
9,27,A,decl,53.0,informIntent,"
what i'm going to do is 
",abandonIntent-reason-report,fare,positive,,,
9,29,A,decl,60.0,informIntent,"
what i'm going to do is arrange for you to collect your ticket on the day of travel
",intent-report,journey-day,positive,,,
9,51,A,decl,93.0,informIntent,"
i'm just going to book your seat going out from Euston to Crewe
",intent,to-location-from-booking,positive,,,
9,65,A,decl,112.0,informIntent,"
i'm just going to book your seat again ",intent,booking,positive,pause,length,2s
12,11,A,decl,15.0,informIntent,"
i'm going to have to arrange for you to collect your tickets tomorrow at the train station
",intent-constrain-report,day-time-journey,positive,,,
12,84,B,decl,141.0,informIntent,"
i'll just catch a cab from Wilmslow
",intent,from,positive,,,
12,100,B,decl,184.0,informIntent,"
i'll pay the extra money ",intent,,positive,pause,length,5s
12,120,B,decl,219.0,informIntent,"
i'll just chance it then
",intent,,positive,,,
13,58,B,decl,87.0,informIntent,"
i can come home on the 19 09
",poss1,enum,positive,,,
14,13,A,decl,22.0,informIntent,"
we'll try Wrexham Central
",closure,location,positive,,,
14,13,A,decl,23.0,informIntent,"
we'll try that one first of all to see if that's going to suit your times
",condition,number,positive,,,
14,34,B,decl,58.0,informIntent,"
em ",intent,day-number-verify,positive,pause,,
14,59,A,decl,104.0,informIntent,"
and i'm going to arrange for you to collect your tickets tomorrow from London Euston
",intent-report,day-location-from-journey,positive,,,
14,90,B,decl,152.0,informIntent,"
i'm going to give you the details
",intent-report,,positive,,,
15,13,A,decl,30.0,informIntent,"
i'm going to have to arrange for the person to collect the tickets at the train station
",intent-constrain-report,time-journey,positive,,,
15,13,A,decl,33.0,informIntent,"
i'm just going to get a booking form to fill in refax to the train station
",intent,booking,positive,,,
15,39,A,decl,72.0,informIntent,"
",intent,number-booking,positive,pause,length,6s
16,6,B,decl,12.0,informIntent,"
i'm using a credit card to pay for this
",reportIntent,creditcard,positive,,,
18,2,B,decl,4.0,informIntent,"
i just have a question first before i i purchase my ticket ",closure,fare-journey,positive,pause,,
18,5,A,decl,14.0,informIntent,"
i'll get them for you
",intent,,positive,,,
18,47,A,decl,109.0,informIntent,"
i'm just going to book your seat now
",intent,booking,positive,,,
19,28,B,decl,42.0,informIntent,"
i'll go for the 9 35
",intent,enum,positive,,,
19,85,A,decl,126.0,informIntent,"
and the ticket will be ",,journey,positive,pause,,
20,26,B,decl,51.0,informIntent,"
i'll call back in 2 minutes
",intent,time,positive,,,
21,39,A,decl,70.0,informIntent,"
i'm going to arrange for you to collect your ticket from the train station
",intent-report-closure,journey,positive,,,
22,38,B,decl,88.0,informIntent,"
i'll have to check with my husband
",constrainIntent,verify,positive,,,
22,38,B,decl,89.0,informIntent,"
i think i'm going to call back later and just take a chance
",intent-opinion-report,,positive,,,
22,55,A,decl,123.0,informIntent,"
i'll just check availability ",intent,avail-verify,positive,pause,length,2s
22,58,B,decl,133.0,informIntent,"
i...i'll have to take a chance and call back later and see if i can get the other one
",poss1-condition-constrainIntent,number,positive,,,
23,45,A,decl,75.0,informIntent,"
what i'm going to do just now is fill out a booking form ",intent-report,time-departure-day-from-booking-journey,positive,pause,,
23,45,A,decl,75.0,informIntent,"
what i'm going to do just now is fill out a booking form ",intent-report,time-departure-day-from-booking-journey,positive,pause,,
24,30,B,decl,50.0,informIntent,"
erm i'll give you thi...
",abandonIntent,opening,positive,,,
24,59,A,decl,112.0,informIntent,"
i'm just going to go over to double check what i've booked there with you ",intent-closure,booking-verify,positive,pause,,
25,9,A,decl,12.0,informIntent,"
",intent-report,day-journey,positive,pause,,
25,9,A,decl,12.0,informIntent,"
",intent-report,day-journey,positive,pause,,
25,37,A,frag,59.0,informIntent,"
and ",,journey,positive,pause,,
26,2,B,decl,5.0,informIntent,"
i'm wishing to er travel ",reportIntent,location-preference-to-journey,positive,pause,,
26,51,A,decl,116.0,informIntent,"
i'm just going to go over the dates ",intent,date,positive,overlap,type,start
26,53,A,decl,122.0,informIntent,"
i'll put forward facing ",intent,seat,positive,overlap,type,end
27,25,A,decl,40.0,informIntent,"
i'm just going to check to see what's the cheapest fare available to you
",intent,fare-avail-verify,positive,,,
27,32,B,decl,69.0,informIntent,"
and i'm re... reordering now the right date
",report,date,positive,,,
27,124,B,decl,193.0,informIntent,"
i'll send these others back now then
",intent,,positive,,,
28,58,B,decl,107.0,informIntent,"
i will do that
",,,positive,,,
28,85,A,decl,154.0,informIntent,"
i'm just selecting that service for you
",intent,,positive,,,
28,94,B,decl,166.0,informIntent,"
er ",,number-creditcard,positive,overlap,type,end
28,96,B,decl,170.0,informIntent,"
i will be there darling
",,,positive,,,
29,49,A,decl,92.0,informIntent,"
i'll try and book that for you
",intent,booking,positive,,,
30,15,A,decl,27.0,informIntent,"
i'm going to have to arrange for you to collect your ticket tomorrow from Manchester Picadilly
",intent-constrain-report,day-location-from-journey,positive,,,
30,30,B,decl,49.0,informIntent,"
i won't book a ticket ",,booking-journey,negative,pause,,
30,30,B,decl,50.0,informIntent,"
i'll just turn up at Manchester
",intent,time-location,positive,,,
31,12,B,decl,24.0,informIntent,"
i'm going to have to phone you back
",intent-constrain-report,,positive,,,
32,44,B,decl,73.0,informIntent,"
i think i'll i'll call you back again
",opinionIntent,,positive,,,
33,32,B,decl,45.0,informIntent,"
we'll go for that one then
",,number,positive,,,
33,33,A,decl,48.0,informIntent,"
i'll provisionally book you on the one returning
",intent,return-number-booking,positive,,,
34,9,A,decl,16.0,informIntent,"
i'll need to arrange for you to collect the tickets from the train station
",constrainIntent,journey,positive,,,
34,15,A,decl,27.0,informIntent,"
i'm going to check availability once we've established train times
",intent-report,number-avail-verify,positive,,,
34,56,B,decl,135.0,informIntent,"
i'll get back to that one
",intent,number,positive,,,
35,108,B,frag,175.0,informIntent,"
just going to phone my sister
",closure,,positive,,,
35,108,B,frag,176.0,informIntent,"
just check that ev... that's alright
",reassurance,verify,positive,,,
