key,value
0_turn_n,1
0_turn_speaker,A
0_turn_text,"
"
0_turn_0_frag_n,1
0_turn_0_frag_sp-act,greet
0_turn_0_frag_polarity,positive
0_turn_0_frag_topic,opening
0_turn_0_frag_mode,deixis-greet
0_turn_0_frag_text,"
good afternoon
"
0_turn_1_frag_n,2
0_turn_1_frag_sp-act,identifySelf
0_turn_1_frag_polarity,positive
0_turn_1_frag_topic,intro
0_turn_1_frag_mode,deixis
0_turn_1_frag_text,"
Virgin trainline Sandra speaking
"
0_turn_2_q-wh_n,3
0_turn_2_q-wh_sp-act,reqDirect
0_turn_2_q-wh_polarity,positive
0_turn_2_q-wh_topic,journey-preference
0_turn_2_q-wh_mode,open
0_turn_2_q-wh_text,"
for which journey do you wish to purchase a ticket
"
1_turn_n,2
1_turn_speaker,B
1_turn_text,"
"
1_turn_0_decl_n,4
1_turn_0_decl_sp-act,direct
1_turn_0_decl_polarity,positive
1_turn_0_decl_topic,to-location-from
1_turn_0_decl_mode,closure
1_turn_0_decl_text,"
em it's from Birmingham to em London Euston please
"
2_turn_n,3
2_turn_speaker,A
2_turn_text,"
"
2_turn_0_q-yn_n,5
2_turn_0_q-yn_sp-act,reqInfo
2_turn_0_q-yn_polarity,positive
2_turn_0_q-yn_topic,location
2_turn_0_q-yn_mode,closed
2_turn_0_q-yn_text,"
is that Birmingham New Street
"
3_turn_n,4
3_turn_speaker,B
3_turn_text,"
"
3_turn_0_yes_n,6
3_turn_0_yes_sp-act,answ
3_turn_0_yes_mode,closure
3_turn_0_yes_text,"
yeah
"
4_turn_n,5
4_turn_speaker,A
4_turn_text,"
"
4_turn_0_dm_n,7
4_turn_0_dm_sp-act,init
4_turn_0_dm_text,"
now
"
4_turn_1_q-yn_n,8
4_turn_1_q-yn_sp-act,reqInfo
4_turn_1_q-yn_polarity,positive
4_turn_1_q-yn_topic,creditcard
4_turn_1_q-yn_mode,closed-alternative
4_turn_1_q-yn_text,"
do you hold a current debit or credit card
"
5_turn_n,6
5_turn_speaker,B
5_turn_text,"
"
5_turn_0_yes_n,9
5_turn_0_yes_sp-act,answ
5_turn_0_yes_text,"
er yeah
"
5_turn_1_frag_n,10
5_turn_1_frag_sp-act,answElab
5_turn_1_frag_polarity,positive
5_turn_1_frag_topic,creditcard
5_turn_1_frag_mode,closure
5_turn_1_frag_text,"
a debit card
"
6_turn_n,7
6_turn_speaker,A
6_turn_text,"
"
