DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,39,A,dm,76.0,acknowledge,"
ok ",tag,,,punc,type,stop
36,40,B,dm,80.0,acknowledge,"
alright ",tag,,,punc,type,stop
36,80,B,dm,139.0,acknowledge,"
ok ",tag,,,punc,type,stop
37,26,B,dm,44.0,acknowledge,"
ok ",tag,,,punc,type,stop
37,37,A,dm,62.0,acknowledge,"
ok then
",tag,,,,,
38,44,B,dm,65.0,acknowledge,"
ok then ",tag,,,punc,type,stop
38,98,B,dm,144.0,init,"
ok
",tag,,,,,
38,115,A,decl,188.0,predict,"
and your two sets of tickets will be waiting there
",tag,number-location-journey,positive,,,
38,118,B,dm,194.0,acknowledge,"
ok
",tag,,,,,
39,18,B,dm,41.0,acknowledge,"
alright
",tag,,,,,
39,39,A,dm,86.0,confirm-acknowledge,"
that's correct ",tag,,,punc,type,stop
39,44,B,dm,99.0,acknowledge,"
",tag,,,pause,,
39,58,B,dm,140.0,acknowledge,"
ok ",tag,,,punc,type,stop
39,66,B,dm,169.0,acknowledge,"
ok
",tag,,,,,
39,84,B,dm,193.0,acknowledge,"
ok ",tag,,,punc,type,stop
39,106,B,dm,220.0,acknowledge,"
ok
",tag,,,,,
39,111,A,dm,226.0,agree,"
that's correct ",tag,,,punc,type,stop
39,112,B,dm,229.0,confirm-acknowledge,"
ok ",tag,,,punc,type,stop
40,44,B,dm,65.0,acknowledge,"
ok then ",tag,,,punc,type,stop
40,98,B,dm,144.0,init,"
ok
",tag,,,,,
40,115,A,frag,188.0,reqConfirm,"
and your two sets of tickets will be waiting there 
",tag,number-location-journey,positive,,,
40,118,B,dm,193.0,acknowledge,"
ok
",tag,,,,,
41,20,B,dm,32.0,acknowledge,"
alright ",tag,,,punc,type,stop
41,24,B,dm,37.0,acknowledge,"
ok ",tag,,,punc,type,stop
41,89,A,dm,129.0,agree,"
that's correct ",tag,,,punc,type,stop
41,90,B,dm,132.0,acknowledge,"
ok ",tag,,,punc,type,stop
43,26,B,dm,51.0,acknowledge,"
ok ",tag,,,punc,type,stop
43,36,B,dm,76.0,acknowledge,"
ok ",tag,,,punc,type,stop
43,85,A,dm,166.0,agree,"
that's correct
",tag,,,,,
44,5,A,dm,13.0,acknowledge,"
ok now ",tag,,,punct,type,level
44,19,A,dm,48.0,reqConfirm,"
",tag,,,overlap,type,start
44,19,A,dm,48.0,reqConfirm,"
",tag,,,punc,type,query
44,20,B,dm,50.0,acknowledge,"
",tag,,,overlap,type,end
44,20,B,dm,50.0,acknowledge,"
",tag,,,punc,type,stop
44,27,A,dm,66.0,acknowledge,"
ok ",tag,,,punc,type,stop
44,32,B,dm,79.0,acknowledge,"
ok ",tag,,,punc,type,stop
44,40,B,dm,96.0,acknowledge,"
ok ",tag,,,punc,type,stop
44,52,B,dm,122.0,acknowledge,"
ok ",tag,,,punc,type,stop
44,71,A,dm,154.0,acknowledge,"
ok ",tag,,,punct,type,stop
44,96,B,dm,199.0,acknowledge,"
ok ",tag,,,punc,type,stop
44,102,B,dm,206.0,acknowledge,"
ok ",tag,,,punc,type,stop
44,104,B,dm,211.0,acknowledge,"
ok ",tag,,,punc,type,stop
44,106,B,dm,214.0,acknowledge,"
ok ",tag,,,punc,type,stop
45,30,B,dm,58.0,acknowledge,"
ok ",tag,,,punc,type,stop
45,32,B,dm,62.0,acknowledge,"
ok ",tag,,,punc,type,stop
46,18,B,frag,35.0,exclaim,"
oh
",tag,,positive,,,
46,20,B,dm,40.0,acknowledge,"
ok ",tag,,,punc,type,stop
46,22,B,dm,51.0,acknowledge,"
ok ",tag,,,punc,type,stop
46,36,B,dm,83.0,acknowledge,"
",tag,,,pause,,
46,36,B,dm,83.0,acknowledge,"
",tag,,,punc,type,stop
46,38,B,dm,88.0,acknowledge,"
ok ",tag,,,punc,type,stop
46,51,A,dm,115.0,confirm-agree,"
that's correct ",tag,,,punc,type,stop
46,52,B,dm,117.0,acknowledge,"
ok ",tag,,,punc,type,stop
46,68,B,dm,158.0,acknowledge,"
ok ",tag,,,punc,type,stop
46,70,B,dm,160.0,acknowledge,"
ok ",tag,,,punc,type,stop
46,71,A,dm,162.0,acknowledge,"
ok ",tag,,,punc,type,stop
46,72,B,dm,163.0,acknowledge,"
ok ",tag,,,punc,type,stop
46,92,B,dm,187.0,acknowledge,"
ok ",tag,,,punc,type,stop
46,96,B,dm,191.0,confirm-acknowledge,"
ok ",tag,,,punc,type,stop
47,26,B,dm,43.0,acknowledge,"
",tag,,,pause,,
47,26,B,dm,43.0,acknowledge,"
",tag,,,punc,type,stop
47,44,B,dm,75.0,acknowledge,"
ok ",tag,,,punc,type,stop
47,46,B,dm,81.0,acknowledge,"
ok ",tag,,,punc,type,stop
47,74,B,dm,133.0,acknowledge,"
ok
",tag,,,,,
47,82,B,dm,150.0,acknowledge,"
ok ",tag,,,punc,type,level
47,96,B,dm,194.0,acknowledge,"
ok ",tag,,,punc,type,level
47,112,B,dm,228.0,acknowledge,"
ok ",tag,,,punc,type,stop
47,118,B,dm,237.0,acknowledge,"
ok ",tag,,,punc,type,stop
47,122,B,dm,248.0,acknowledge,"
ok ",tag,,,punc,type,stop
47,125,A,dm,253.0,acknowledge,"
",tag,,,pause,length,4s
47,125,A,dm,253.0,acknowledge,"
",tag,,,punc,type,stop
48,19,A,dm,31.0,acknowledge,"
",tag,,,pause,,
48,19,A,dm,31.0,acknowledge,"
",tag,,,punct,type,level
48,80,B,dm,136.0,acknowledge,"
alright ",tag,,,punc,type,stop
48,148,B,dm,236.0,acknowledge,"
",tag,,,overlap,type,end
48,148,B,dm,236.0,acknowledge,"
",tag,,,punc,type,stop
49,36,B,dm,71.0,acknowledge,"
ok ",tag,,,punc,type,stop
49,42,B,dm,81.0,acknowledge,"
ok ",tag,,,punc,type,stop
49,51,A,dm,98.0,acknowledge,"
ok ",tag,,,punc,type,stop
49,92,B,dm,178.0,acknowledge,"
ok ",tag,,,punc,type,stop
49,94,B,dm,182.0,acknowledge,"
ok ",tag,,,punc,type,stop
49,117,A,dm,211.0,acknowledge,"
",tag,,,pause,length,6s
49,117,A,dm,211.0,acknowledge,"
",tag,,,punc,type,stop
