DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,29,A,frag,52.0,refer,"
then on the return ",frag,fare,positive,punc,type,level
36,33,A,decl,68.0,state,"
you're travelling from Birmingham New Street at 7:33 ",frag,location-journey-time-from,positive,punc,type,level
36,56,B,frag,110.0,refer,"
1 3 5 ",frag,enum,positive,punc,type,level
36,64,B,frag,121.0,elab-refer,"
number 2 5 9 ",frag,enum-number,positive,punc,type,level
36,65,A,frag,122.0,echo-refer,"
2 5 9 ",frag,enum,positive,punc,type,level
36,66,B,frag,123.0,refer,"
5 3 1 ",frag,enum,positive,punc,type,level
36,67,A,frag,124.0,echo-refer,"
5 3 1 ",frag,enum,positive,punc,type,level
36,68,B,frag,125.0,refer,"
1 5 1 ",frag,enum,positive,punc,type,level
36,69,A,frag,126.0,echo-refer,"
1 5 1 ",frag,enum,positive,punc,type,level
36,70,B,frag,127.0,refer,"
8 6 1 ",frag,enum,positive,punc,type,level
36,71,A,frag,128.0,echo-refer,"
8 6 1 ",frag,enum,positive,punc,type,level
36,72,B,frag,129.0,refer,"
9 1 1 ",frag,enum,positive,punc,type,level
36,73,A,frag,130.0,echo-refer,"
9 1 1 ",frag,enum,positive,punc,type,level
36,81,A,decl,140.0,refer,"
it's ",frag,,positive,anonym,type,letter
36,81,A,decl,140.0,refer,"
it's ",frag,,positive,anonym,type,alpha
36,81,A,decl,140.0,refer,"
it's ",frag,,positive,anonym,type,letter
36,81,A,decl,140.0,refer,"
it's ",frag,,positive,anonym,type,alpha
36,81,A,decl,140.0,refer,"
it's ",frag,,positive,pause,,
36,81,A,decl,140.0,refer,"
it's ",frag,,positive,anonym,type,letter
36,81,A,decl,140.0,refer,"
it's ",frag,,positive,anonym,type,alpha
36,81,A,decl,140.0,refer,"
it's ",frag,,positive,anonym,type,letter
36,81,A,decl,140.0,refer,"
it's ",frag,,positive,anonym,type,alpha
36,81,A,decl,140.0,refer,"
it's ",frag,,positive,punc,type,level
38,1,A,frag,2.0,refer,"
Virgin Trainlines ",frag,,positive,punc,type,level
38,19,A,decl,29.0,state,"
the train going out on Saturday the trains run at 8 minutes to the hour ",frag,time-enum-day,positive,punc,type,level
38,25,A,frag,36.0,state,"
",frag,enum-departure,positive,pause,length,3s
38,25,A,frag,36.0,state,"
",frag,enum-departure,positive,punc,type,level
38,60,B,decl,89.0,state,"
it's 0 1 5 0 5 ",frag,enum,positive,punc,type,level
38,64,B,frag,97.0,refer,"
8 4 1 ",frag,enum,positive,punc,type,level
38,65,A,frag,98.0,echo-refer,"
8 4 1 ",frag,enum,positive,punc,type,level
38,68,B,frag,102.0,answer-refer,"
",frag,,positive,anonym,type,letter
38,68,B,frag,102.0,answer-refer,"
",frag,,positive,anonym,type,letter
38,68,B,frag,102.0,answer-refer,"
",frag,,positive,punc,type,level
38,72,B,decl,107.0,state,"
it's 94 ",frag,enum-address,positive,anonym,type,street
38,72,B,decl,107.0,state,"
it's 94 ",frag,enum-address,positive,punc,type,level
38,76,B,decl,114.0,answer-state,"
it's 9 9 ",frag,enum,positive,punc,type,level
38,77,A,frag,115.0,echo-refer,"
9 9 ",frag,enum,positive,punc,type,level
38,78,B,frag,116.0,refer,"
9 0 ",frag,enum,positive,punc,type,level
38,79,A,frag,117.0,echo-refer,"
9 0 ",frag,enum,positive,punc,type,level
38,80,B,frag,118.0,refer,"
4 8 ",frag,enum,positive,punc,type,level
38,81,A,frag,119.0,echo-refer,"
4 8 ",frag,enum,positive,punc,type,level
38,82,B,frag,120.0,refer,"
1 6 ",frag,enum,positive,punc,type,level
38,83,A,frag,121.0,echo-refer,"
1 6 ",frag,enum,positive,punc,type,level
38,84,B,frag,122.0,refer,"
4 8 ",frag,enum,positive,punc,type,level
38,85,A,frag,123.0,echo-refer,"
4 8 ",frag,enum,positive,punc,type,level
38,86,B,frag,124.0,refer,"
6 5 ",frag,enum,positive,punc,type,level
38,87,A,frag,125.0,echo-refer,"
6 5 ",frag,enum,positive,punc,type,level
38,88,B,frag,126.0,refer,"
8 9 ",frag,enum,positive,punc,type,level
38,89,A,frag,127.0,echo-refer,"
8 9 ",frag,enum,positive,punc,type,level
38,97,A,frag,140.0,refer,"
the 9:52 train on Saturday morning ",frag,time-enum-day,positive,punc,type,level
38,100,B,frag,151.0,refer,"
9:32 ",frag,,positive,punc,type,level
38,107,A,decl,169.0,state,"
and you cancel by 2 o'clock the day before travel ",frag,time-journey-enum-day-cancel,positive,punc,type,level
38,109,A,decl,178.0,state-refer,"
it's 9 8 4 1 ",frag,enum,positive,punc,type,level
38,110,B,frag,179.0,echo-refer,"
9 8 4 1 ",frag,enum,positive,punc,type,level
38,111,A,frag,180.0,refer,"
1 1 8 8 ",frag,enum,positive,punc,type,level
38,112,B,frag,181.0,echo-refer,"
1 1 8 8 ",frag,enum,positive,punc,type,level
39,14,B,frag,27.0,refer,"
saying ",frag,,positive,punc,type,level
39,41,A,decl,91.0,elab-state,"
that's the 8th of October ",frag,month-date,positive,punc,type,level
39,56,B,decl,137.0,reqConfirm,"
i leave at 5 o'clock ",frag,time-enum-departure,positive,punc,type,level
39,72,B,frag,177.0,answer-refer,"
0 1 0 6 ",frag,enum,positive,punc,type,level
39,74,B,frag,179.0,refer,"
6 0 7 ",frag,enum,positive,punc,type,level
39,78,B,frag,183.0,answer-refer,"
",frag,enum,positive,anonym,type,letter
39,78,B,frag,183.0,answer-refer,"
",frag,enum,positive,punc,type,level
39,82,B,frag,187.0,refer,"
70 ",frag,enum,positive,anonym,type,street
39,82,B,frag,187.0,refer,"
70 ",frag,enum,positive,punc,type,level
39,82,B,frag,188.0,refer,"
",frag,,positive,anonym,type,street
39,82,B,frag,188.0,refer,"
",frag,,positive,punc,type,level
39,82,B,frag,189.0,refer,"
Prescott ",frag,,positive,punc,type,level
39,88,B,frag,197.0,refer,"
0 0 7 2 ",frag,enum,positive,punc,type,level
39,89,A,frag,198.0,echo-refer,"
0 0 7 2 ",frag,enum,positive,punc,type,level
39,90,B,frag,199.0,refer,"
4 0 double 2 ",frag,enum,positive,punc,type,level
39,91,A,frag,200.0,echo-refer,"
4 0 double 2 ",frag,enum,positive,punc,type,level
