CLIENT NAME,CALL TYPE,GREETING
CPS Rider,,"Thank you for calling Card Member Services. This is ________, may I please have your card number?"
Jifiti,,"Thank you for calling IKEA Gift Registry Payments Customer Services. This is ________, may I please have your IKEA voucher number?"
One Coin,,"Thank you for calling Card Member Services. This is ________, may I please have your card number?"
Global Payout Inc,,"Thank you for calling Card Member Services. This is ________, may I please have your card number?"
Sighltline,,"Thank you for calling My Card Place, This is __________, how may I help you?"
InComm,,"Thank you for calling Card Member Services. This is ________, may I please have your card number?"
NBAD,,"Thank you for calling Card Member Services. This is ________, may I please have your card number?"
Cirque Du Soleil,,"Thank you for calling Cirque du Soleil, This is __________, how may I help you?"
Achieve Card,Auto-populated call,"Thank you for calling AchieveCard, my name is _____, how may I help you today?"
,Non Auto-populated call,"Thank you for calling AchieveCard. My name is _____, may I have your first & last name, and the last four of your card number?"
Banco Do Brasil,English,"Thank you for calling Banco do Brazil Americas, this is ____________, may I have your CPF number please?"
,Spanish,"Gracias por llamar a Banco do Brazil Americas, esto es ____________, ¿puede darme su numero de CPF, por favor?"
,Portuguese,"Obrigado por ligar para o Banco do Brazil Americas, esta é ____________, poderia me informar numero CPF por favor?"
Ready Card,,"Thank you for calling ReadyCARD. This is ________, How may I assist you today?"
Promutus,,"Thank you for calling Card Member Services. This is ________, may I please have your card number?"
1FBUSA,,"Thank you for calling 1st Financial Bank USA. This is ________, may I please have your card number ?"
IPL,English,"Thank You For Calling IPL, This is ___________, How May I Help You?"
,Urdu,"IPL Call Kernay Ka Shukeriya, Mera Naam _____________ Hai Aur Main Aap Ki Kia Madad Ker Sakta Hoon?"
Invenger,,"Thank you for calling Card Member Services, This is ________, May I have your card number please ?"
City National Bank (CNB),,"Thank you for calling City National Bank Card Member Services. This is ________, may I please have your card Number?"
STI Heritage Bank,,"Thank you for calling Heritage Bank Card Member Services, This is ________, May I please have your card number ?"
CIBC,Auto-populated call (English),"Thank you for calling CIBC AC Conversion Card. This is_____, How Can I help you today?"
,Auto-populated call (French),Merci d'avoir appelé la carte CIBC AC Conversion. Je m'appelle < _____>. Comment puis je vous aider?
,Non Auto-populated call (English),"Thank you for calling CIBC AC Conversion Card. This is_____, May I please have your card number?"
,Non Auto-populated call (French),Merci d'avoir appelé la carte CIBC AC Conversion. Je m'appelle _____. Puis-je avoir le numéro de votre carte?
1 to 1 Inspired,,"Thank you for calling Card Member Service, This is __________, May I please have your card number?"
Zala MCB,,"Thank you for calling Card Member Services. This is_____, May I please have your card number?"
Greenphire,,"Thank you for calling Card Member Services. This is __________, may I please have your card number?"
MovoCash,," Thank you for calling MOVO. This is ________, may I please have your phone number registered with your MOVO Account?"
North International Bank (NIB),,"Thank you for calling North International Bank, This is ____________, May I please have your card number?"
Bento,Bento,Thank you for calling Bento For Business. This is ________. May I please have your card number and the Name of the Business (if cardholder is a Business Owner also)?
,Brinks,Thank you for calling Brinks Travel & Expense. This is ________. May I please have your card number and the name of the business?
,Cast & Crew,Thank you for calling Cast and Crew P Card. This is ________. May I please have your card number?
Royal Bank of Canada (RBC),,"Thank you for calling Card Member Services. This is ________, may I please have your full Name and the last 4 digits of your card number?"
Australia Post,,Welcome to Australia Post Load and Go Support My name is… and access code?
Mercury Service Group,,"Thank you for calling Conext Card Member Services. This is ________, may I please have your card number?"
Best Friends Credit,,"Thank you for calling Best Friends Credit Card Member Services. This is ________, may I please have your card number??"
Center ID,,"Thank you for calling Center Card. This is ________, may I please have your card number?"
Obsidian,,Thank you for calling card member service. This is ________. May I please have your card number?
Washington Federal,,"Thank you for calling Washington Federal’s Card Services, this is ______, how may I help you? May I have your name and card number please?"
Petal Card,," Hi there, this is [Your Name], how can I help you today?"
Groundswell,,"Thank you for calling Cardholder Services, this is ______, May I please have your card number?"
Zero Financial,,"Thank you for calling Zero - Customer Service. This is ________, may I please have your card number?"
PayActiv,,"Thank you for calling PayActiv Card Member Services. This is ________, may I please have your card number?"
Foris Asia,,Thank you for calling MCO Customer Service. My name is _____________. How can I help you?
E Card,,Thank you for calling ECARD Member Services. This is ________. May I please have your card number?
Comerica,Auto-populated call,"Thank you for calling Direct Express card services. This is ________, How may I help you today?"
,Non Auto-populated call,"Thank you for calling Direct Express card services. This is ________, Have you received your Direct Express Card?"
,Outbound call,"Hi, this is ________, calling from Direct Express Card Services. May I please speak with <Insert Name of Cardholder>? Please note that this call may be recorded for training and quality purposes. For your security can I please have you confirm your full card number?"
ICM,,"Thank you for calling ICM Card Services. This is ________, may I please have your card number?"
East West Bank,,"Thank you for calling East West Bank. This is ________, may I please have your card number? "
SMV-UK,,"Thank you for calling Card Member Service, This is __________, May I please have your card number?"
Fifth Third Bank,,Thank you for calling Card Member Services. This is ________. May I please have your card number?
Agi Bank,,"Thank you for calling Card Member Services. This is ________, How may I help you today? "
Translation,,"Hi this is [first name] your Spanish Interpreter, how can I help you?"
