DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
2,24,B,imp,35.0,suggest,"
em let's say ",,time,positive,pause,,
4,28,B,q-wh,64.0,suggest,"
erm ",open-abandon,,positive,pause,length,4s
4,28,B,q-wh,64.0,suggest,"
erm ",open-abandon,,positive,pause,,
9,11,A,frag,21.0,suggest,"
five in the afternoon
",,time-number,positive,,,
12,64,B,decl,97.0,suggest,"
if you just put it on the ",probability-condition,location-enum-from,positive,pause,,
12,64,B,decl,97.0,suggest,"
if you just put it on the ",probability-condition,location-enum-from,positive,pause,,
12,64,B,decl,97.0,suggest,"
if you just put it on the ",probability-condition,location-enum-from,positive,pause,,
12,98,B,imp,179.0,suggest,"
let's try ",,,positive,pause,,
21,41,A,decl,72.0,suggest,"
if you be there for quarter of an hour before departure time of the train
",condition,time-departure,positive,,,
28,38,B,q-wh,72.0,suggest,"
what about they do it again ",open,,positive,pause,,
28,183,A,frag,281.0,suggest,"
tomorrow you need your credit card with you when you collect the tickets
",constrain,day-time-creditcard-journey,positive,,,
28,187,A,imp,288.0,suggest,"
and you ",,day-journey-railcard,positive,pause,,
28,211,A,frag,317.0,suggest,"
did you want to repeat that number back to me
",,preference-number,positive,,,
31,15,A,imp,29.0,suggest,"
call us back when you're ready
",,time,positive,,,
33,27,A,q-yn,35.0,suggest,"
you could you can book the Virgin value business which is 75 pounds return
",closed-poss2,fare-booking,positive,,,
35,38,B,imp,60.0,suggest,"
let's go with that then to for the ",,,positive,unclear,length,2 syllables
35,38,B,imp,60.0,suggest,"
let's go with that then to for the ",,,positive,pause,length,3s
37,24,B,imp,40.0,suggest,"
let's say ",decl,time-enum,positive,pause,,
37,24,B,imp,40.0,suggest,"
let's say ",decl,time-enum,positive,punc,type,stop
41,18,B,q-wh,29.0,suggest,"
what about the 15:20 ",closed-query,,positive,punc,type,query
47,88,B,q-wh,167.0,suggest,"
what about the next ",closed-query,,positive,pause,,
47,88,B,q-wh,167.0,suggest,"
what about the next ",closed-query,,positive,punc,type,query
47,96,B,imp,196.0,suggest,"
let's try ",intent-preference1-decl,booking,positive,pause,,
47,96,B,imp,196.0,suggest,"
let's try ",intent-preference1-decl,booking,positive,punc,type,stop
53,16,B,q-wh,44.0,suggest,"
or ",alternative-closed-query,time,positive,pause,,
53,16,B,q-wh,44.0,suggest,"
or ",alternative-closed-query,time,positive,punc,type,query
61,48,B,imp,115.0,suggest,"
let me get it the right way round ",decl,,positive,punc,type,stop
70,17,A,decl,31.0,suggest,"
what ",condition-poss2-predict-poss1-decl,fare,positive,overlap,type,end
70,17,A,decl,31.0,suggest,"
what ",condition-poss2-predict-poss1-decl,fare,positive,punc,type,stop
70,36,B,imp,63.0,suggest,"
let's go with that then to for the ",decl,,positive,unclear,length,8 syllables
70,36,B,imp,63.0,suggest,"
let's go with that then to for the ",decl,,positive,punc,type,stop
70,130,B,imp,253.0,suggest,"
let's go for it ",decl,,positive,punc,type,stop
