DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
47,34,B,frag,56.0,complete-reqConfirm,"
20 ",tag-query,enum,positive,overlap,type,end
47,34,B,frag,56.0,complete-reqConfirm,"
20 ",tag-query,enum,positive,punc,type,query
47,40,B,decl,65.0,reqConfirm,"
it's 8 hours isn't it ",tag-query,enum,negative,punc,type,query
47,98,B,q-yn,202.0,reqInfo,"
",tag-query,journey,positive,pause,,
47,98,B,q-yn,202.0,reqInfo,"
",tag-query,journey,positive,punc,type,query
48,48,B,decl,79.0,reqConfirm,"
that's 10 to 3 isn't it ",tag-query,enum,negative,punc,type,query
48,143,A,frag,225.0,reqConfirm,"
ok ",tag-query,,positive,punc,type,query
48,144,B,decl,229.0,reqConfirm,"
the 4 of us will be sat together won't we ",tag-query,enum,negative,punc,type,query
49,88,B,decl,162.0,reqConfirm,"
and i give you his him to give you the details then shall i ",tag-query,,positive,punc,type,query
51,22,B,decl,40.0,reqConfirm,"
",tag-query,fare,positive,pause,,
51,22,B,decl,40.0,reqConfirm,"
",tag-query,fare,positive,punc,type,query
51,24,B,decl,44.0,reqConfirm,"
",tag-query,fare-number,negative,pause,,
51,24,B,decl,44.0,reqConfirm,"
",tag-query,fare-number,negative,punc,type,query
53,2,B,frag,7.0,reqConfirm,"
to get the Saver Return to London erm from Preston ",tag-query,fare-location-to-from,positive,pause,,
53,2,B,frag,7.0,reqConfirm,"
to get the Saver Return to London erm from Preston ",tag-query,fare-location-to-from,positive,punc,type,query
56,87,A,frag,141.0,reqConfirm,"
ok ",tag-query,,positive,punc,type,query
58,99,A,frag,202.0,reqConfirm,"
ok ",tag-query,,positive,punc,type,query
59,91,A,frag,196.0,reqConfirm,"
ok ",tag-query,,positive,punc,type,query
62,123,A,frag,214.0,reqConfirm,"
ok ",tag-query,,positive,punc,type,query
63,56,B,decl,130.0,reqConfirm,"
19 pound 80 is a Return innit ",tag-query,fare-enum,positive,punc,type,query
63,60,B,frag,139.0,reqConfirm,"
same day innit ",tag-query,day,positive,punc,type,query
63,131,A,frag,260.0,reqConfirm,"
ok ",tag-query,,positive,punc,type,query
63,219,A,frag,378.0,reqConfirm,"
ok ",tag-query,,positive,punc,type,query
65,28,B,frag,52.0,reqConfirm,"
so that's the regular price from Manchester innit ",tag-query,location-from,positive,punc,type,query
70,92,B,decl,169.0,approve-reqConfirm,"
that's not bad is it ",tag-query,,negative,punc,type,query
70,175,A,frag,311.0,reqConfirm,"
ok ",tag-query,,positive,punc,type,query
