DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
39,29,A,frag,71.0,hold,"
",benefit-decl,verify,positive,pause,length,11s
39,29,A,frag,71.0,hold,"
",benefit-decl,verify,positive,pause,length,9s
39,29,A,frag,71.0,hold,"
",benefit-decl,verify,positive,punc,type,stop
39,63,A,decl,156.0,state,"
the dates times and seat numbers are printed on the tickets for you ",benefit-decl,number-journey-date,positive,punc,type,stop
41,31,A,decl,52.0,state,"
the dates times and seat numbers are printed on the tickets for you ",benefit-decl,number-journey-date,positive,punc,type,stop
43,15,A,frag,30.0,hold,"
",benefit-decl,verify,positive,pause,length,10s
43,15,A,frag,30.0,hold,"
",benefit-decl,verify,positive,punc,type,stop
47,119,A,decl,240.0,state,"
the dates times and seat numbers are printed on the ticket for you ",benefit-decl,number-journey-date,positive,punc,type,stop
48,67,A,decl,114.0,predict,"
the dates times and seat numbers will be printed on the tickets for you ",benefit-decl,number-journey-date,positive,punc,type,stop
51,41,A,decl,91.0,predict,"
and the dates times and seat numbers will be printed on the tickets for you ",benefit-decl,number-journey-date,positive,punc,type,stop
52,39,A,decl,68.0,state,"
and that's 7 pounds for your Single ",benefit-decl,fare-enum,positive,punc,type,stop
53,111,A,frag,247.0,hold,"
",benefit-decl,verify,positive,pause,length,1s
53,111,A,frag,247.0,hold,"
",benefit-decl,verify,positive,punc,type,stop
54,35,A,decl,62.0,predict,"
the dates times and seat numbers will be printed on the tickets for you ",benefit-decl,number-journey-date,positive,punc,type,stop
56,25,A,decl,52.0,state,"
and that's seven pounds for your Virgin Value Single ",benefit-decl,fare-number,positive,punc,type,stop
56,35,A,decl,71.0,predict,"
the date time and seat number will be printed on the ticket for you ",benefit-decl,number-journey-time-date,positive,backchannel,content,ok
56,35,A,decl,71.0,predict,"
the date time and seat number will be printed on the ticket for you ",benefit-decl,number-journey-time-date,positive,punc,type,stop
58,45,A,frag,89.0,stateIntent,"
and arrange for you to collect your ticket 50 minutes before departure time on Monday ",benefit-decl,time-journey-from-enum-day-departure,positive,pause,,
58,45,A,frag,89.0,stateIntent,"
and arrange for you to collect your ticket 50 minutes before departure time on Monday ",benefit-decl,time-journey-from-enum-day-departure,positive,punc,type,stop
60,35,A,frag,64.0,stateIntent,"
and ",benefit-decl,journey,positive,pause,,
60,35,A,frag,64.0,stateIntent,"
and ",benefit-decl,journey,positive,punc,type,stop
62,47,A,decl,105.0,predict,"
the dates times and seat numbers will be printed on the tickets for you ",benefit-decl,number-journey-date,positive,backchannel,content,yes
62,47,A,decl,105.0,predict,"
the dates times and seat numbers will be printed on the tickets for you ",benefit-decl,number-journey-date,positive,punc,type,stop
63,117,A,decl,236.0,predict,"
and the dates times and seat numbers will be printed on the tickets for you ",benefit-decl,number-journey-date,positive,punc,type,stop
64,29,A,frag,71.0,answer-stateIntent,"
just check that for you ",benefit-decl,verify,positive,punc,type,stop
69,25,A,decl,57.0,answer-state,"
it's just been giving me the quickest change time ",benefit-decl,time,positive,pause,,
69,25,A,decl,57.0,answer-state,"
it's just been giving me the quickest change time ",benefit-decl,time,positive,punc,type,stop
70,55,A,frag,93.0,stateIntent-hold,"
",benefit-decl,verify,positive,pause,,
70,55,A,frag,93.0,stateIntent-hold,"
",benefit-decl,verify,positive,punc,type,stop
