,0
dialogue_corpus,trainline
dialogue_id,01
dialogue_text,"
"
dialogue_children_0_turn_n,1
dialogue_children_0_turn_speaker,A
dialogue_children_0_turn_text,"
"
dialogue_children_0_turn_children_0_frag_n,1
dialogue_children_0_turn_children_0_frag_sp-act,greet
dialogue_children_0_turn_children_0_frag_polarity,positive
dialogue_children_0_turn_children_0_frag_topic,opening
dialogue_children_0_turn_children_0_frag_mode,deixis-greet
dialogue_children_0_turn_children_0_frag_text,"
good afternoon
"
dialogue_children_0_turn_children_1_frag_n,2
dialogue_children_0_turn_children_1_frag_sp-act,identifySelf
dialogue_children_0_turn_children_1_frag_polarity,positive
dialogue_children_0_turn_children_1_frag_topic,intro
dialogue_children_0_turn_children_1_frag_mode,deixis
dialogue_children_0_turn_children_1_frag_text,"
Virgin trainline Sandra speaking
"
dialogue_children_0_turn_children_2_q-wh_n,3
dialogue_children_0_turn_children_2_q-wh_sp-act,reqDirect
dialogue_children_0_turn_children_2_q-wh_polarity,positive
dialogue_children_0_turn_children_2_q-wh_topic,journey-preference
dialogue_children_0_turn_children_2_q-wh_mode,open
dialogue_children_0_turn_children_2_q-wh_text,"
for which journey do you wish to purchase a ticket
"
dialogue_children_1_turn_n,2
dialogue_children_1_turn_speaker,B
dialogue_children_1_turn_text,"
"
dialogue_children_1_turn_children_0_decl_n,4
dialogue_children_1_turn_children_0_decl_sp-act,direct
dialogue_children_1_turn_children_0_decl_polarity,positive
dialogue_children_1_turn_children_0_decl_topic,to-location-from
dialogue_children_1_turn_children_0_decl_mode,closure
dialogue_children_1_turn_children_0_decl_text,"
em it's from Birmingham to em London Euston please
"
dialogue_children_2_turn_n,3
dialogue_children_2_turn_speaker,A
dialogue_children_2_turn_text,"
"
dialogue_children_2_turn_children_0_q-yn_n,5
dialogue_children_2_turn_children_0_q-yn_sp-act,reqInfo
dialogue_children_2_turn_children_0_q-yn_polarity,positive
dialogue_children_2_turn_children_0_q-yn_topic,location
dialogue_children_2_turn_children_0_q-yn_mode,closed
dialogue_children_2_turn_children_0_q-yn_text,"
is that Birmingham New Street
"
dialogue_children_3_turn_n,4
dialogue_children_3_turn_speaker,B
dialogue_children_3_turn_text,"
"
dialogue_children_3_turn_children_0_yes_n,6
dialogue_children_3_turn_children_0_yes_sp-act,answ
dialogue_children_3_turn_children_0_yes_mode,closure
dialogue_children_3_turn_children_0_yes_text,"
yeah
"
dialogue_children_4_turn_n,5
dialogue_children_4_turn_speaker,A
dialogue_children_4_turn_text,"
"
dialogue_children_4_turn_children_0_dm_n,7
dialogue_children_4_turn_children_0_dm_sp-act,init
dialogue_children_4_turn_children_0_dm_text,"
now
"
dialogue_children_4_turn_children_1_q-yn_n,8
dialogue_children_4_turn_children_1_q-yn_sp-act,reqInfo
dialogue_children_4_turn_children_1_q-yn_polarity,positive
dialogue_children_4_turn_children_1_q-yn_topic,creditcard
dialogue_children_4_turn_children_1_q-yn_mode,closed-alternative
dialogue_children_4_turn_children_1_q-yn_text,"
do you hold a current debit or credit card
"
dialogue_children_5_turn_n,6
dialogue_children_5_turn_speaker,B
dialogue_children_5_turn_text,"
"
dialogue_children_5_turn_children_0_yes_n,9
dialogue_children_5_turn_children_0_yes_sp-act,answ
dialogue_children_5_turn_children_0_yes_text,"
er yeah
"
dialogue_children_5_turn_children_1_frag_n,10
dialogue_children_5_turn_children_1_frag_sp-act,answElab
dialogue_children_5_turn_children_1_frag_polarity,positive
dialogue_children_5_turn_children_1_frag_topic,creditcard
