DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,27,A,decl,45.0,state,"
there's not any advance purchase tickets left ",exists-decl,fare-journey,negative,punc,type,stop
37,25,A,decl,42.0,state,"
there's a train at 14:30 from Manchester Picadilly ",exists-decl,location-time-from-enum,positive,punc,type,stop
38,97,A,decl,142.0,state,"
",exists-decl,seat,negative,pause,,
38,97,A,decl,142.0,state,"
",exists-decl,seat,negative,punc,type,stop
39,14,B,decl,29.0,state,"
i've got a couple of queries first ",exists-decl,,positive,punc,type,stop
39,23,A,decl,52.0,state,"
",exists-decl,fare-journey,negative,pause,length,14s
39,23,A,decl,52.0,state,"
",exists-decl,fare-journey,negative,punc,type,stop
39,25,A,decl,59.0,state,"
",exists-decl,time-enum-arrival,positive,pause,,
39,25,A,decl,59.0,state,"
",exists-decl,time-enum-arrival,positive,punc,type,stop
39,29,A,decl,72.0,answer-state,"
there's a 6:11 train in the morning arriving 10:31 ",exists-decl,time-enum-arrival,positive,punc,type,stop
40,97,A,decl,142.0,state,"
",exists-decl,seat,negative,pause,,
40,97,A,decl,142.0,state,"
",exists-decl,seat,negative,punc,type,stop
43,50,B,decl,103.0,state-abandon,"
i've got ",exists-decl,,positive,punc,type,stop
44,4,B,decl,12.0,answer-state,"
i've got a current em yeah debit card ",exists-decl,creditcard,positive,punc,type,stop
44,13,A,decl,30.0,state,"
there's a train at 15:05 from Crewe ",exists-decl,time-from-enum,positive,punc,type,stop
44,21,A,decl,53.0,state,"
there's a first Open Return at a 100 and 33 pounds ",exists-decl,fare-time-enum,positive,punc,type,stop
44,21,A,decl,54.0,state,"
and there's also what we call er business class tickets called Virgin business ",exists-decl,journey,positive,punc,type,stop
45,33,A,decl,65.0,state,"
there's not an advance purchase tickets available now ",exists-decl,fare-availability-journey,negative,punc,type,stop
46,23,A,decl,52.0,state,"
there's a 7:15 in the morning ",exists-decl,time-enum,positive,punc,type,stop
47,73,A,decl,131.0,predict,"
and there's going to be a bus service from Wilmslow to Stockport ",exists-decl,to-location-from,positive,punc,type,stop
48,44,B,decl,73.0,state,"
",exists-decl,number-enum,positive,pause,,
48,44,B,decl,73.0,state,"
",exists-decl,number-enum,positive,pause,,
48,44,B,decl,73.0,state,"
",exists-decl,number-enum,positive,punc,type,stop
48,57,A,decl,93.0,elab-state,"
i'm saying there's no allocation there at all ",exists-decl,location-time,negative,pause,,
48,57,A,decl,93.0,elab-state,"
i'm saying there's no allocation there at all ",exists-decl,location-time,negative,punc,type,stop
49,13,A,decl,26.0,state,"
it's just that there's erm distance between ",exists-decl,,positive,pause,,
49,13,A,decl,26.0,state,"
it's just that there's erm distance between ",exists-decl,,positive,punc,type,stop
49,37,A,decl,75.0,state,"
there's not any advance purchase tickets ",exists-decl,fare-journey,negative,punc,type,stop
49,53,A,decl,108.0,state,"
then there's a connecting service from Wrexham General 15:26 to arrive in Wrexham Central at 15:29 ",exists-decl,location-time-from-enum-arrival,positive,punc,type,stop
50,66,B,decl,122.0,state,"
",exists-decl,,positive,pause,length,18s
50,66,B,decl,122.0,state,"
",exists-decl,,positive,punc,type,stop
51,6,B,decl,14.0,answer-state,"
i've got a ",exists-decl,creditcard,positive,pause,,
51,6,B,decl,14.0,answer-state,"
i've got a ",exists-decl,creditcard,positive,punc,type,stop
51,21,A,decl,33.0,state,"
",exists-decl,fare-journey-enum,negative,pause,length,4s
51,21,A,decl,33.0,state,"
",exists-decl,fare-journey-enum,negative,punc,type,stop
51,26,B,decl,51.0,elab-state,"
",exists-decl,fare,positive,pause,,
51,26,B,decl,51.0,elab-state,"
",exists-decl,fare,positive,punc,type,stop
52,35,A,decl,60.0,state,"
there's a train at 13:15 from Birmingham New Street ",exists-decl,location-time-from-enum,positive,punc,type,stop
53,115,A,decl,256.0,state,"
then there's a 16:31 ",exists-decl,,positive,punc,type,stop
53,117,A,decl,259.0,state,"
so ",exists-decl,time-number-enum,positive,overlap,type,end
53,117,A,decl,259.0,state,"
so ",exists-decl,time-number-enum,positive,punc,type,stop
57,19,A,decl,35.0,stateOpt,"
there's an afternoon train aval... available at 13:35 ",exists-decl,time-availability,positive,punc,type,stop
58,4,B,decl,9.0,answer-state,"
i've got a credit card ",exists-decl,creditcard,positive,punc,type,stop
61,6,B,decl,13.0,answer-state,"
i have an Access ",exists-decl,,positive,punc,type,stop
61,12,B,decl,20.0,answer-state,"
i have an O A P railcard ",exists-decl,railcard,positive,punc,type,stop
61,24,B,decl,48.0,state,"
",exists-decl,,negative,pause,,
61,24,B,decl,48.0,state,"
",exists-decl,,negative,punc,type,stop
61,29,A,decl,67.0,state,"
i've got the one from ",exists-decl,to-number-location-from,positive,pause,,
61,29,A,decl,67.0,state,"
i've got the one from ",exists-decl,to-number-location-from,positive,backchannel,content,mm
61,29,A,decl,67.0,state,"
i've got the one from ",exists-decl,to-number-location-from,positive,punc,type,stop
61,39,A,decl,94.0,state,"
it's just that there's been new restrictions been added ",exists-decl,month-date,positive,overlap,type,start
61,39,A,decl,94.0,state,"
it's just that there's been new restrictions been added ",exists-decl,month-date,positive,punc,type,stop
62,110,B,decl,197.0,state,"
i've got one now ",exists-decl,number,positive,punc,type,stop
63,16,B,decl,43.0,answer-state,"
i have a card here ",exists-decl,location,positive,punc,type,stop
