DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
11,67,A,decl,127.0,expressPossibility,"
but the journey might be rerouted which might extend the journey by 40 minutes
",constrain,time-journey,positive,,,
14,34,B,decl,57.0,expressPossibility,"
cos em what i might do is just take it to Wrexham Central ",poss1-reason,to-location,positive,pause,,
21,20,B,frag,38.0,expressPossibility,"
that might do for me
",,,positive,,,
22,54,B,decl,120.0,expressPossibility,"
cos i mean i might have to end up booking the other people's tickets as well so
",poss1-reason-constrain,booking-journey,positive,,,
34,34,B,decl,72.0,expressPossibility,"
there is a possibility i could do it on on Monday i suppose
",poss1-opinion-exists,day,positive,,,
36,29,A,decl,54.0,expressPossibility,"
you can get the Virgin Value Single at 7 pounds ",poss2-decl,fare-enum,positive,backchannel,content,right
36,29,A,decl,54.0,expressPossibility,"
you can get the Virgin Value Single at 7 pounds ",poss2-decl,fare-enum,positive,punc,type,stop
36,45,A,decl,90.0,expressPossibility,"
you are able to get the next available train ",poss2-decl,availability,positive,backchannel,content,right
36,45,A,decl,90.0,expressPossibility,"
you are able to get the next available train ",poss2-decl,availability,positive,punc,type,stop
38,97,A,decl,141.0,expressPossibility,"
the best available i can book you is in smoking ",poss1-decl,booking-availability-seat,positive,punc,type,stop
39,18,B,decl,42.0,expressPossibility,"
so  i may as well get on with them in Wigan then ",poss1-decl,,positive,punc,type,stop
40,97,A,decl,141.0,expressPossibility,"
the best available i can book you is in smoking ",poss1-decl,booking-availability-seat,positive,punc,type,stop
41,31,A,decl,54.0,expressPossibility,"
",poss2-decl,availability,positive,pause,,
41,31,A,decl,54.0,expressPossibility,"
",poss2-decl,availability,positive,punc,type,stop
42,49,A,decl,87.0,expressPossibility,"
you are able to get the next available one ",poss2-decl,availability-number,positive,punc,type,stop
44,23,A,decl,59.0,expressPossibility,"
you can get your... any snacks tea and coffee beverages ",poss2-decl,,positive,punc,type,stop
44,91,A,decl,185.0,expressPossibility,"
you are able to get the next available train ",poss2-decl,availability,positive,punc,type,stop
46,17,A,decl,33.0,expressPossibility,"
the first train that you're ab...  a... able to use is on the 10:45 from Birmingham New Street ",poss2-decl,location-from-enum,positive,punc,type,stop
46,67,A,decl,153.0,expressPossibility,"
it could be ok ",poss3-decl,,positive,punc,type,stop
46,67,A,decl,155.0,expressPossibility,"
which might extend the journey by 40 minutes ",poss3,journey-time-enum,positive,punc,type,stop
47,121,A,decl,244.0,expressPossibility,"
",poss2-decl,availability,positive,pause,,
47,121,A,decl,244.0,expressPossibility,"
",poss2-decl,availability,positive,punc,type,stop
