DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
39,65,A,frag,163.0,refer,"
but before departure time of the train ",constrain-frag,time-departure,positive,punc,type,level
39,65,A,decl,166.0,stateConstraint,"
you must do so by 2 o'clock the day before ",constrain-frag,time-enum-day,positive,punc,type,level
44,103,A,decl,208.0,direct-state,"
you just need to quote that reference number ",constrain-frag,booking-number,positive,punc,type,level
47,151,A,decl,288.0,direct-state,"
",constrain-frag,day-creditcard,positive,pause,,
47,151,A,decl,288.0,direct-state,"
",constrain-frag,day-creditcard,positive,punc,type,level
47,151,A,decl,289.0,direct-state,"
",constrain-frag,time-enum-departure,positive,pause,,
47,151,A,decl,289.0,direct-state,"
",constrain-frag,time-enum-departure,positive,punc,type,level
48,29,A,decl,50.0,stateConstraint,"
the only availability with that fare in the evening is on the 19:09 train from Leeds ",constrain-frag,fare-availability-time-from-enum,positive,punc,type,level
49,91,A,decl,176.0,stateConstraint,"
but you need a letter of authorisation ",constrain-frag,,positive,punc,type,level
50,31,A,decl,65.0,predict,"
one'll have to pay a normal fare ",constrain-frag,fare-number,positive,punc,type,level
53,9,A,decl,30.0,stateConstraint,"
but you're not allowed to travel on the 16 hundred 16:05 17 hundred and 17:05 ",constrain-frag,enum-journey,negative,punc,type,level
53,101,A,decl,226.0,direct-state,"
you just need to go to the travel centre ",constrain-frag,journey,positive,punc,type,level
55,23,A,decl,57.0,state,"
that is subject to availability ",constrain-frag,availability,positive,backchannel,content,right
55,23,A,decl,57.0,state,"
that is subject to availability ",constrain-frag,availability,positive,punc,type,level
56,13,A,decl,25.0,stateConstraint,"
but the only train that is available is the 7:56 in the morning ",constrain-frag,availability-time-enum,positive,punc,type,level
58,87,A,decl,180.0,direct-state,"
you need to be there for 50 minutes before departure time ",constrain-frag,time-location-enum-departure,positive,punc,type,level
58,97,A,decl,199.0,state,"
but it's in case there was any queue ",constrain-frag,location,positive,punc,type,level
61,55,A,decl,165.0,stateConstraint,"
you must do so by 2 o'clock the day before as well ",constrain-frag,time-enum-day,positive,backchannel,content,yes
61,55,A,decl,165.0,stateConstraint,"
you must do so by 2 o'clock the day before as well ",constrain-frag,time-enum-day,positive,punc,type,level
62,32,B,decl,78.0,state,"
so i've got to send these back ",constrain-frag,,positive,backchannel,content,right
62,32,B,decl,78.0,state,"
so i've got to send these back ",constrain-frag,,positive,punc,type,level
62,53,A,frag,118.0,refer,"
but before departure time of the train ",constrain-frag,time-departure,positive,punc,type,level
63,45,A,frag,112.0,refer,"
but with your Super Advance return ",constrain-frag,fare,positive,punc,type,level
69,25,A,decl,60.0,state,"
but it's always change time between ",constrain-frag,time,positive,punc,type,level
70,115,A,frag,219.0,refer,"
but before departure time of the train ",constrain-frag,time-departure,positive,punc,type,level
