DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
38,105,A,decl,160.0,state,"
and it's coach ",correct-decl,number-enum,positive,anonym,type,letter
38,105,A,decl,160.0,state,"
and it's coach ",correct-decl,number-enum,positive,anonym,type,alpha
38,105,A,decl,160.0,state,"
and it's coach ",correct-decl,number-enum,positive,backchannel,content,yes
38,105,A,decl,160.0,state,"
and it's coach ",correct-decl,number-enum,positive,backchannel,content,fine
38,105,A,decl,160.0,state,"
and it's coach ",correct-decl,number-enum,positive,punc,type,stop
38,113,A,decl,182.0,state,"
then it's ",correct-decl,,positive,anonym,type,letter
38,113,A,decl,182.0,state,"
then it's ",correct-decl,,positive,anonym,type,alpha
38,113,A,decl,182.0,state,"
then it's ",correct-decl,,positive,punc,type,stop
40,105,A,decl,160.0,state,"
and it's coach ",correct-decl,number-enum,positive,anonym,type,letter
40,105,A,decl,160.0,state,"
and it's coach ",correct-decl,number-enum,positive,anonym,type,alpha
40,105,A,decl,160.0,state,"
and it's coach ",correct-decl,number-enum,positive,backchannel,content,yes
40,105,A,decl,160.0,state,"
and it's coach ",correct-decl,number-enum,positive,backchannel,content,fine
40,105,A,decl,160.0,state,"
and it's coach ",correct-decl,number-enum,positive,punc,type,stop
40,113,A,decl,182.0,state,"
then it's ",correct-decl,,positive,anonym,type,letter
40,113,A,decl,182.0,state,"
then it's ",correct-decl,,positive,anonym,type,alpha
40,113,A,decl,182.0,state,"
then it's ",correct-decl,,positive,punc,type,stop
48,87,A,decl,149.0,correctSelf,"
that's what i meant ",correct-decl,,positive,punc,type,stop
51,105,A,decl,191.0,state,"
then it's treble ",correct-decl,,positive,anonym,type,letter
51,105,A,decl,191.0,state,"
then it's treble ",correct-decl,,positive,anonym,type,alpha
51,105,A,decl,191.0,state,"
then it's treble ",correct-decl,,positive,punc,type,stop
53,107,A,frag,237.0,refer,"
",correct-decl,,positive,anonym,type,letter
53,107,A,frag,237.0,refer,"
",correct-decl,,positive,anonym,type,alpha
53,107,A,frag,237.0,refer,"
",correct-decl,,positive,punc,type,stop
56,81,A,frag,133.0,refer,"
treble ",correct-decl,,positive,anonym,type,letter
56,81,A,frag,133.0,refer,"
treble ",correct-decl,,positive,overlap,type,start
56,81,A,frag,133.0,refer,"
treble ",correct-decl,,positive,anonym,type,alpha
56,81,A,frag,133.0,refer,"
treble ",correct-decl,,positive,punc,type,stop
58,91,A,frag,186.0,refer,"
",correct-decl,,positive,anonym,type,letter
58,91,A,frag,186.0,refer,"
",correct-decl,,positive,anonym,type,alpha
58,91,A,frag,186.0,refer,"
",correct-decl,,positive,punc,type,stop
59,89,A,frag,191.0,refer,"
stroke ",correct-decl,,positive,anonym,type,letter
59,89,A,frag,191.0,refer,"
stroke ",correct-decl,,positive,anonym,type,alpha
59,89,A,frag,191.0,refer,"
stroke ",correct-decl,,positive,punc,type,stop
63,195,A,frag,351.0,correct-refer,"
",correct-decl,,positive,anonym,type,letter
63,195,A,frag,351.0,correct-refer,"
",correct-decl,,positive,anonym,type,alpha
63,195,A,frag,351.0,correct-refer,"
",correct-decl,,positive,punc,type,stop
63,197,A,frag,353.0,refer,"
",correct-decl,,positive,anonym,type,letter
63,197,A,frag,353.0,refer,"
",correct-decl,,positive,anonym,type,alpha
63,197,A,frag,353.0,refer,"
",correct-decl,,positive,punc,type,stop
63,199,A,frag,355.0,refer,"
",correct-decl,,positive,anonym,type,letter
63,199,A,frag,355.0,refer,"
",correct-decl,,positive,anonym,type,alpha
63,199,A,frag,355.0,refer,"
",correct-decl,,positive,punc,type,stop
63,207,A,frag,363.0,refer,"
",correct-decl,,positive,anonym,type,letter
63,207,A,frag,363.0,refer,"
",correct-decl,,positive,anonym,type,alpha
63,207,A,frag,363.0,refer,"
",correct-decl,,positive,punc,type,stop
63,209,A,frag,365.0,refer,"
and ",correct-decl,,positive,anonym,type,letter
63,209,A,frag,365.0,refer,"
and ",correct-decl,,positive,anonym,type,alpha
63,209,A,frag,365.0,refer,"
and ",correct-decl,,positive,punc,type,stop
