,Call ID,Speaker,Conversation
0,211565170421491291566870808,2,thank you for calling mentor for business my name is grace may I please know the card number and name of your business
1,211565170421491291566870808,0, yes so the call number is four seven five four four thousand four zero zero zero one eight nine seven zero five six eight and the business is living well can't
2,211565170421491291566870808,2, I'm going to repeat the card number back to you once more you said it's four seven five four four thousand one eight nine seven zero five six eight
3,211565170421491291566870808,0, zero five six eight yes
4,211565170421491291566870808,2, are you the %HESITATION primary cardholder ordered secondary are you are you the business owner
5,211565170421491291566870808,0, I'm the business R. yes primary cardholder
6,211565170421491291566870808,2, right so so with me online I'm going to find your account all right may I have your first last name
7,211565170421491291566870808,0, Sean so Isaac I. S. S. A. K.
8,211565170421491291566870808,2, thanks
9,211565170421491291566870808,0, S. H. A. N.
10,211565170421491291566870808,2, all right and may have last for for social security number and date of birth please
11,211565170421491291566870808,0, zero zero zero one and it's %HESITATION six twenty two nineteen sixty two
12,211565170421491291566870808,2, thank you may I have your zip code the business of code
13,211565170421491291566870808,0, the business zip code is nine eight zero three one
14,211565170421491291566870808,2, thank you so much besides again how can I help you
15,211565170421491291566870808,0, yeah I'm having issue with with %HESITATION with Ben so I had %HESITATION a staff member Ethan Anderson who was working for me who laughed and him a night and Nancy my accountant was %HESITATION the at men to at money and my staff phone cards they have and so now he's no longer there and I took him out %HESITATION for the account so %HESITATION you know %HESITATION security reasons I just took him out he doesn't work there anymore but now what I'm having issue is I can't I'm not an admin I thought I was and now I can add money to my step account
16,211565170421491291566870808,2, %HESITATION you cannot add money to any of your supplementary accounts
17,211565170421491291566870808,0, no %HESITATION so when I click card I can see Morgan make this daily %HESITATION so the %HESITATION and myself %HESITATION the core folders and I am the executive so I have the I have all the money so what he used to do is he would take money from my but %HESITATION and then put it on there because those is restricted mine is not but now he's no longer there either I don't know how or I don't have I don't have the authority to do it and when I click the admin I see Nancy who's my accountant %HESITATION I gave permission also because when I'm not there I want her to add money to the staff account but I thought I was an admin because last week I was on here and now I'm not well the neighbor I was waiting on his unit
18,211565170421491291566870808,2, you can actually going to place you on hold for a moment conditions on the case sure
19,211565170421491291566870808,0, thank you sure
20,211565170421491291566870808,2, thanks for its first single line ma'am are you there
21,211565170421491291566870808,0, yeah I'm here
22,211565170421491291566870808,2, thank you senator size I got appreciated and %HESITATION probably just replacing the whole this route well I just reviewed your account and %HESITATION recently I usually do not see any kind of changes being made in your %HESITATION in your particularly in your role or on this primary card I did not see any %HESITATION changes being made yet it's the same yeah it's the same as it was before I'm not sure why you're not able to see those options anymore %HESITATION but I I'm not I'm just my and I've been parked in
23,211565170421491291566870808,0, my and I've been posting or no
24,211565170421491291566870808,2, well you are the primary one you would not need to be the %HESITATION admin person the admin person is the one that was actually not the business owner but with the permission business owner the admin is able to perform the activities that only a business owner can perform so you okay
25,211565170421491291566870808,0, so how do I call I didn't know that so now how do I money to this stuff card
26,211565170421491291566870808,2, %HESITATION well for that I actually have I will have to someone you know get in contact with my %HESITATION with your from my back to supporting who actually take care of the %HESITATION app accounts so I'm going to have %HESITATION them call you back on the number regarding the file for you
27,211565170421491291566870808,0, so wait if the admin person who is who has who I give permission can do that why can't I not do it
28,211565170421491291566870808,2, to do in you should be able to do it that that's what I'm saying because I do not I do not see any kind of changes being made over here I see your card as he called in and show you as a primary account holder and %HESITATION but I'm not sure why you're not getting the options over there that that's why I'm saying that I will have to get in contact
29,211565170421491291566870808,0, or
30,211565170421491291566870808,2, will have someone to call you back from my apt support team
31,211565170421491291566870808,0, okay to be done today or anytime soon
32,211565170421491291566870808,2, yes it will be done today it will be done
33,211565170421491291566870808,0, okay yeah I okay okay oh wait %HESITATION %HESITATION thank you
34,211565170421491291566870808,2, your call back number is it it's the same number that we already got on the file for you needing to nine six four right
35,211565170421491291566870808,0, two nine six four yes
36,211565170421491291566870808,2, okay so I want you to kindly weight or size X. you'll be contacted back today any time okay
37,211565170421491291566870808,0, okay thank you
38,211565170421491291566870808,2, no problem is there anything else I may help you
39,211565170421491291566870808,0, no as long as I know how to put money because it's a little inconvenient for them not to %HESITATION use it
40,211565170421491291566870808,2, right my sincere apologies for that so you're I'm forwarding your account and you will be contacted back shortly K.
41,211565170421491291566870808,0, all right thank you
42,211565170421491291566870808,2, thank you so much thank you for calling Benton well have a great day bye bye
43,211565170421491291566870808,0, thanks thank
44,211565170421539231567025556,2,welcome to Shelly opposed to letting go support this Richard may I have your card I. D. number please
45,211565170421539231567025556,1, yeah an old one %HESITATION two four three eight three seven nine seven apple zero nine two three oh eight seven
46,211565170421539231567025556,2, Q. one moment what is your first and last name please
47,211565170421539231567025556,1, pardon thank you Patton
48,211565170421539231567025556,2, what is your first and last name
49,211565170421539231567025556,1, Mary McLeod
50,211565170421539231567025556,2, okay and what is your %HESITATION you have a middle name by any chance
51,211565170421539231567025556,1, Anna
52,211565170421539231567025556,2, thank you and your six digit access code merry
53,211565170421539231567025556,1, %HESITATION %HESITATION why don't you %HESITATION %HESITATION well I don't know that all of that is that on the car I'm just kind of like a just had cataract surgery and I'm having a lot of difficult
54,211565170421539231567025556,2, apologize for to hear that ma'am %HESITATION %HESITATION merry the six digit is the one that you provide and create at the post office with the agent it's not on the card
55,211565170421539231567025556,1, %HESITATION %HESITATION okay
56,211565170421539231567025556,2, okay not a problem what is your date of birth
57,211565170421539231567025556,1, three
58,211565170421539231567025556,2, sorry I can barely hear you can you repeat that one more time please
59,211565170421539231567025556,1, seven six fifty three
60,211565170421539231567025556,2, thank you any what is your address
61,211565170421539231567025556,1, %HESITATION he %HESITATION box one one
62,211565170421539231567025556,2, okay
63,211565170421539231567025556,1, three
64,211565170421539231567025556,2, that's that's not the address we have on file merry you have a
65,211565170421539231567025556,1, hi I'm a jurist possibly
66,211565170421539231567025556,2, okay what is that
67,211565170421539231567025556,1, hearing unit full %HESITATION she Collins C. O. L. L. I. N. S. three I'm gonna Queensland
68,211565170421539231567025556,2, and what is a post code
69,211565170421539231567025556,1, four R. one two
70,211565170421539231567025556,2, okay thank you for that information can you just confirm also your phone number
71,211565170421539231567025556,1, I've four three eight four two hi thousand
72,211565170421539231567025556,2, thank you for that how can I help you today
73,211565170421539231567025556,1, %HESITATION I went to the post office yes did die to put some more money onto the Scots but the lady told me it's going to expire and be close to an old blue cod not to do that but she said to ring you and finalize she's cod and get anything that's credited on it return to me and I took I had a new raid cod
74,211565170421539231567025556,2, okay my suggestion merry
75,211565170421539231567025556,1, you wanted to finalize his one
76,211565170421539231567025556,2, okay my suggestion is first %HESITATION to go to an ATM and withdraw the funds or spend down the five time
77,211565170421539231567025556,1, I can't I've never been to an I. G. N. a lot I'm not a young lady
78,211565170421539231567025556,2, okay
79,211565170421539231567025556,1, it's really nice
80,211565170421539231567025556,2, %HESITATION
81,211565170421539231567025556,1, I'm sorry
82,211565170421539231567025556,2, okay so the options it's going to an ATM would join the funds you saying you never went to an ATM it's that %HESITATION I understand that
83,211565170421539231567025556,1, but pretty online
84,211565170421539231567025556,2, yep
85,211565170421539231567025556,1, I think that might be on my way I okay
86,211565170421539231567025556,2, and at the other option is spent down the funds on the card like a pay by or %HESITATION %HESITATION you know purchased
87,211565170421539231567025556,1, good I just just don't think I can do that
88,211565170421539231567025556,2, okay so if %HESITATION if you want to terminate but the card we will have to send you a money order that could take up to fourteen business days so %HESITATION that's the only %HESITATION other option we have okay so you preferred %HESITATION %HESITATION us to send you for %HESITATION a money order
89,211565170421539231567025556,1, %HESITATION %HESITATION %HESITATION
90,211565170421539231567025556,2, okay %HESITATION not a problem then
91,211565170421539231567025556,1, I can just find that one on a card of the bank
92,211565170421539231567025556,2, yes no not a problem
93,211565170421539231567025556,1, okay %HESITATION
94,211565170421539231567025556,2, I will process that right now B. size that %HESITATION it's something else I could do for you today
95,211565170421539231567025556,1, nine nine nine well I just want to finalize the mountain out my new one
96,211565170421539231567025556,2, not a problem everything will be closed %HESITATION after I submit this morning order %HESITATION
97,211565170421539231567025556,1, that'd be awfully okay very much in doing things not a problem nice hourly %HESITATION it would push you get through your nine
98,211565170421539231567025556,2, not a problem
99,211565170421539231567025556,1, this is good thank
100,211565170421539231567025556,2, okay thank you again
101,211565170421539231567025556,1, %HESITATION
102,211565170421539231567025556,2, calling loading %HESITATION support
103,211565170421539231567025556,1, bye bye bye
104,211565170421608471567264570,0,hi there this is Sadie how may I help you
105,211565170421608471567264570,1, %HESITATION D. %HESITATION I just recently got my car so I'm trying to activate it
106,211565170421608471567264570,0, sure may I have your first and last name please
107,211565170421608471567264570,1, Daniel last name Oscar P. eight D. U. A. F.
108,211565170421608471567264570,0, thank you just allow me a moment your information is coming up on the screen give me just a moment please I do apologize is coming up all right thank you so much for holding and being patient could you verify the last for your social please
109,211565170421608471567264570,1, seven nine six three
110,211565170421608471567264570,0, thank you so much for the verification as fast because %HESITATION %HESITATION last four of your I mean may I have your date of birth please
111,211565170421608471567264570,1, %HESITATION nine ten seventy
112,211565170421608471567264570,0, thank you I can see your account was created on the twenty first of this month you got the card that's good though you need to activate the card to through the app it cannot be activated from my end as a customer service
113,211565170421608471567264570,1, really
114,211565170421608471567264570,0, yeah they have an app for the website
115,211565170421608471567264570,1, okay so how do I do it through the website
116,211565170421608471567264570,0, give me just a moment let me pull up your information all right for your security you can activate your card online if you haven't career your user %HESITATION had been %HESITATION cleared your account already please sign in to your dashboard and click the green button displays got your card tap here to activate and then follow the section
117,211565170421608471567264570,1, created any account yet I mean I just literally got the card %HESITATION and I'm not home I'm not on my computer I mean if I could do it all over my phone I could outdo it over my but you have to give me directions to where to go
118,211565170421608471567264570,0, log into W. W. W. dot paddle Kerr dot com forward slash set up
119,211565170421608471567264570,1, so petal card set up
120,211565170421608471567264570,0, battle card not hi sh that up
121,211565170421608471567264570,1, okay and I should %HESITATION that's your problem right
122,211565170421608471567264570,0, yes it will ask you enter your email address to sign up for paddle enter your email hit enter and %HESITATION you will receive a link to activate your account and follow the procedure
123,211565170421608471567264570,1, all right all right
124,211565170421608471567264570,0, basing an inconvenience you can always call us back as we open twenty four seven
125,211565170421608471567264570,1, okay
126,211565170421608471567264570,0, anything else I can assist you with Mr %HESITATION person
127,211565170421608471567264570,1, well if you can activate my card and now the whole purpose does
128,211565170421608471567264570,0, this account information I cannot take your information and enter into my
129,211565170421608471567264570,1, that's fine thank you
130,211565170421608471567264570,0, thank you for calling peril you have a great day
131,211567410158199281567809131,0,thanks for calling record my name is Ryan how can I help you
132,211567410158199281567809131,1, yes good afternoon how are you
133,211567410158199281567809131,0, I'm how are you
134,211567410158199281567809131,1, yeah that's fine thank you I need some help with my two cards %HESITATION that bye bye and that I bought the one months ago
135,211567410158199281567809131,0, sure I'll be more than happy to help you for did you want
136,211567410158199281567809131,1, to get the balance the balance
137,211567410158199281567809131,0, sure expiration date
138,211567410158199281567809131,1, %HESITATION %HESITATION %HESITATION one is %HESITATION four through two thousand twenty two and the second one you %HESITATION may %HESITATION two thousand twenty two
139,211567410158199281567809131,0, what's the expiration date on the second one
140,211567410158199281567809131,1, the second one is on may twenty two nine twenty yep uhhuh
141,211567410158199281567809131,0, and the first one is for twenty two what's the card number for the one that it that has expiration of four twenty two
142,211567410158199281567809131,1, %HESITATION %HESITATION then number okay and fifty one twenty eight fifty seven zero three sixteen
143,211567410158199281567809131,0, I'm sorry I didn't get that can you please repeat that after zero three
144,211567410158199281567809131,1, oh zero three sixteen one six huh
145,211567410158199281567809131,0, zero three one six mmhm
146,211567410158199281567809131,1, eight thirty eight seventy seven
147,211567410158199281567809131,0, thank you give me a moment
148,211567410158199281567809131,1, yes do you
149,211567410158199281567809131,0, %HESITATION the card number that you provided is five one two eight five seven zero three six eight three eight seven seven
150,211567410158199281567809131,1, %HESITATION huh
151,211567410158199281567809131,0, okay %HESITATION on this car you have ninety nine cents left on
152,211567410158199281567809131,1, ninety nine
153,211567410158199281567809131,0, cents on this card and %HESITATION may I have the
154,211567410158199281567809131,1, this
155,211567410158199281567809131,0, yes
156,211567410158199281567809131,1, well yes the ticket %HESITATION car do you think P. one
157,211567410158199281567809131,0, mmhm
158,211567410158199281567809131,1, one eight eight
159,211567410158199281567809131,0, mmhm
160,211567410158199281567809131,1, seven
161,211567410158199281567809131,0, mmhm
162,211567410158199281567809131,1, zero four oh sixty nine sixty three
163,211567410158199281567809131,0, uhhuh
164,211567410158199281567809131,1, sixty eight forty seven
165,211567410158199281567809131,0, thank you just give me a moment okay
166,211567410158199281567809131,1, uhhuh
167,211567410158199281567809131,0, so I'm gonna repeat it back to you correct me if I'm wrong it's five one two eight seven zero four yes six nine six three
168,211567410158199281567809131,1, uhhuh
169,211567410158199281567809131,0, six eight four seven
170,211567410158199281567809131,1, yes
171,211567410158199281567809131,0, okay thank you just give me a moment
172,211567410158199281567809131,1, uhhuh
173,211567410158199281567809131,0, really appreciate your patience kindly stay with me
174,211567410158199281567809131,1, uhhuh
175,211567410158199281567809131,0, you have twelve dollars and forty seven cents on this card
176,211567410158199281567809131,1, %HESITATION this one okay hard to
177,211567410158199281567809131,0, twelve dollars and forty seven cents
178,211567410158199281567809131,1, fourteen
179,211567410158199281567809131,0, twelve twelve dollars
180,211567410158199281567809131,1, O. okay thank you okay but
181,211567410158199281567809131,0, that's not the one
182,211567410158199281567809131,1, thanks very much bye have spare
183,211567410158199281567809131,0, do you have questions whether
184,211567410158199281567809131,1, no that's all thank you hello this one for you okay thank you very much
185,211567410158199281567809131,0, bye
186,211567410158199281567809131,1, okay thank you bye bye
187,221565094018177921565556270,2,calling C. A. B. C. A. C. conversion this is Fernando how can I help you
188,221565094018177921565556270,1, hi yes I've been trying to get in on to %HESITATION my account and for some reason I can't I don't know why but sure
189,221565094018177921565556270,2, what's your cell phone number
190,221565094018177921565556270,1, it's six one three nine seven zero zero nine four seven
191,221565094018177921565556270,2, and your name
192,221565094018177921565556270,1, it's Barbara McLean
193,221565094018177921565556270,2, thank you Barbara okay and what's your date of birth
194,221565094018177921565556270,1, January first nineteen forty seven
195,221565094018177921565556270,2, and your email address
196,221565094018177921565556270,1, my email address is being a calling nine at G. mail dot com
197,221565094018177921565556270,2, thanks so %HESITATION most likely or not being able unite being able to log in because of your user I. D. do you know what you user ideas
198,221565094018177921565556270,1, I thought it was my email address
199,221565094018177921565556270,2, correct it is B. McLean nine at G. email dot com that is your user I. D. %HESITATION have you tried to reset this user I. D.
200,221565094018177921565556270,1, %HESITATION they need to reset it
201,221565094018177921565556270,2, you have to go to the forgot your password section of our website in order to reset your
202,221565094018177921565556270,1, your your your
203,221565094018177921565556270,2, your password right because in your case you most likely have forgotten the password obviously you're not able to log in with the information you're pointing in
204,221565094018177921565556270,1, no
205,221565094018177921565556270,2, so something is wrong %HESITATION
206,221565094018177921565556270,1, I know yeah I don't know what
207,221565094018177921565556270,2, and and and yeah most likely in this case is the password you're entering %HESITATION so
208,221565094018177921565556270,1, yeah because it it's the password that I originally set up and then I went on on I phoned you because I don't know I couldn't get on men either and then they gave me %HESITATION a four digit password I think with the four digit password
209,221565094018177921565556270,2, who gave you this four digit password
210,221565094018177921565556270,1, %HESITATION yeah I phoned well they've I called and they said I had to phone and get my four digit Pat four digit password but then I tried to put that in with my email address and that didn't work either but you know see I thought the user ID was my email address and I tried to put that particular password N. as well and it didn't work I have been in it before but I I
211,221565094018177921565556270,2, %HESITATION we just need to get the password reset but simply %HESITATION we need to do %HESITATION and and the way to do this is %HESITATION you go to our website
212,221565094018177921565556270,1, right
213,221565094018177921565556270,2, and underneath the password section you'll have to you'll see two options one says forgot your password or forgot your user I. D. they're both they're both %HESITATION two links that are there do you see them
214,221565094018177921565556270,1, %HESITATION yeah well I don't see it right now because I'm talking to you on my iPad %HESITATION
215,221565094018177921565556270,2, okay okay %HESITATION so you if you proceed to a website AC conversion dot C. I. B. C. dot com which is also on the back of your card
216,221565094018177921565556270,1, right
217,221565094018177921565556270,2, well to then %HESITATION seat to manage your card section and the manager card section will ask you to input the information such as your user I. D. and password and that's where you'll see the forgot your password option at the bottom and %HESITATION and you'll be able to click it's underneath the red log in button and you'll be able to click it and then you have it's gonna ask you forgot your password enter the following information please go to the password issue and procedures please enter your user I. D. so will ask for your user I. D. and you will get an email I'm gonna send you a test email to see how it will look like and this is how you should get it so please disregard the email I'm going to send you okay
218,221565094018177921565556270,1, okay can I ask you a quick question so I can still use the same user I. D. but I have to redo my password
219,221565094018177921565556270,2, that's correct
220,221565094018177921565556270,1, okay okay
221,221565094018177921565556270,2, so the user seems to seem to pass or not I've sent you an email now %HESITATION at you know so just disregard that and then get your own email you'll be able to reset the password okay
222,221565094018177921565556270,1, okay okay I'll give it a try on your back but I'm sure it'll probably work all right thank you very much for your help
223,221565094018177921565556270,2, no problem thanks for calling %HESITATION C. A. B. C. C. conversion
224,221565094018177921565556270,1, right thank you bye bye
225,221565094018180601565572522,0,thank you for calling regards services my name is Angelina how can help you
226,221565094018180601565572522,1, hi %HESITATION I'm just trying to use my ready card %HESITATION the pay card %HESITATION that to get uber eats and it keeps on telling me that it's not valid
227,221565094018180601565572522,0, well I can surely check can I have your sixteen digit card number
228,221565094018180601565572522,1, it five two seven zero five zero zero one nine two eight five four six five two
229,221565094018180601565572522,0, thank you can I have your name and expiration date of the card
230,221565094018180601565572522,1, yes my name is Colleen and the expiration is oh six twenty one
231,221565094018180601565572522,0, what's your last name
232,221565094018180601565572522,1, church
233,221565094018180601565572522,0, all right I'm going to take your transaction details stay on the line please well as for the details I can see that the uber eats we I mean did the the margin you're trying to make a purchase it's it's an invalid merchant
234,221565094018180601565572522,1, %HESITATION the it it uber eats I was told by my %HESITATION company who gave us the %HESITATION ready card that we are able to use the card only for food purchases and overseas is for purchasing food and having it delivered similar why I understand that
235,221565094018180601565572522,0, but it does not coming under the category of for what he did saying over technologies so definitely I I mean as far as my you know that uber have different businesses as well so definitely it's not to give advising that you are buying food do you know what I mean
236,221565094018180601565572522,1, is it possible to I'm just trying to get %HESITATION Chinese food delivered to the hotel is it possible in any way to has that changed so it can go through with uber eat like I'm I'm not trying to get in we're I'm just trying to get food
237,221565094018180601565572522,0, well I understand that but definitely to outlook the system no that's what you're trying to do because it's not %HESITATION but each coming gate saying we're technologies
238,221565094018180601565572522,1, okay so %HESITATION what did that mean for me can I just not use uber eat
239,221565094018180601565572522,0, well it's saying that it's an invalid merging the card cannot be used here
240,221565094018180601565572522,1, so what can be done
241,221565094018180601565572522,0, hi I'm not sure please contact over technologies and let them know about the situation and let's see they have some other platform for you to make this transaction
242,221565094018180601565572522,1, so %HESITATION the uber technologies is the corporation and I'm sure if I was to call them they would just tell me that they have everything is kind of like an umbrella they are uber and they have multiple different down sections from there
243,221565094018180601565572522,0, okay that unfortunately ma'am there's nothing else can be done I'm sorry
244,221565094018180601565572522,1, there is no way to make the transaction goes here at least this one has like you get food
245,221565094018180601565572522,0, no it's it's it's your transaction declined numerous times not even a single it's numerous times which really god cannot be used
246,221565094018180601565572522,1, so %HESITATION it can you
247,221565094018180601565572522,0, contact too but maybe they have some other options for you
248,221565094018180601565572522,1, no I I contact Amazon the other day because I called you guys %HESITATION because I was trying to get vegan food sent to my hotel the %HESITATION errors on food and that they would not have any other way to have me get food sent through
249,221565094018180601565572522,0, Amazon okay then miss everybody but he has its own policies in the procedure so if they are not cooperating if they are saying that they have their own system but then definitely this card has its own policies and procedures so it cannot be changed I'm so sorry
