Key,Value
data_0_dialogue_corpus,trainline
data_0_dialogue_id,1
data_0_dialogue_0_turn_n,1
data_0_dialogue_0_turn_speaker,A
data_0_dialogue_0_turn_0_frag_n,1
data_0_dialogue_0_turn_0_frag_sp-act,greet
data_0_dialogue_0_turn_0_frag_polarity,positive
data_0_dialogue_0_turn_0_frag_topic,opening
data_0_dialogue_0_turn_0_frag_mode,deixis-greet
data_0_dialogue_0_turn_0_frag_text,"
good afternoon
"
data_0_dialogue_0_turn_1_frag_n,2
data_0_dialogue_0_turn_1_frag_sp-act,identifySelf
data_0_dialogue_0_turn_1_frag_polarity,positive
data_0_dialogue_0_turn_1_frag_topic,intro
data_0_dialogue_0_turn_1_frag_mode,deixis
data_0_dialogue_0_turn_1_frag_text,"
Virgin trainline Sandra speaking
"
data_0_dialogue_0_turn_2_q-wh_n,3
data_0_dialogue_0_turn_2_q-wh_sp-act,reqDirect
data_0_dialogue_0_turn_2_q-wh_polarity,positive
data_0_dialogue_0_turn_2_q-wh_topic,journey-preference
data_0_dialogue_0_turn_2_q-wh_mode,open
data_0_dialogue_0_turn_2_q-wh_text,"
for which journey do you wish to purchase a ticket
"
data_0_dialogue_1_turn_n,2
data_0_dialogue_1_turn_speaker,B
data_0_dialogue_1_turn_0_decl_n,4
data_0_dialogue_1_turn_0_decl_sp-act,direct
data_0_dialogue_1_turn_0_decl_polarity,positive
data_0_dialogue_1_turn_0_decl_topic,to-location-from
data_0_dialogue_1_turn_0_decl_mode,closure
data_0_dialogue_1_turn_0_decl_text,"
em it's from Birmingham to em London Euston please
"
data_0_dialogue_2_turn_n,3
data_0_dialogue_2_turn_speaker,A
data_0_dialogue_2_turn_0_q-yn_n,5
data_0_dialogue_2_turn_0_q-yn_sp-act,reqInfo
data_0_dialogue_2_turn_0_q-yn_polarity,positive
data_0_dialogue_2_turn_0_q-yn_topic,location
data_0_dialogue_2_turn_0_q-yn_mode,closed
