DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
39,60,B,decl,147.0,state-abandon,"
i'm not ",abandon,,negative,punc,type,incomplete
42,36,B,decl,65.0,state-abandon,"
i didn't ",interruption,,negative,vocal,content,laughter
42,36,B,decl,65.0,state-abandon,"
i didn't ",interruption,,negative,punc,type,incomplete
43,50,B,decl,103.0,state-abandon,"
i've got ",exists-decl,,positive,punc,type,stop
44,13,A,decl,31.0,state-abandon,"
and you'd arrive ",abandon,arrival,positive,punc,type,incomplete
44,27,A,decl,68.0,state-abandon,"
what i'm going to do is ",intent-abandon,,positive,punc,type,incomplete
47,33,A,frag,55.0,state-abandon,"
",interruption,arrival,positive,overlap,type,start
47,33,A,frag,55.0,state-abandon,"
",interruption,arrival,positive,punc,type,incomplete
51,24,B,decl,45.0,state-abandon,"
",decl,,positive,pause,,
51,24,B,decl,45.0,state-abandon,"
",decl,,positive,punc,type,stop
53,55,A,frag,145.0,state-abandon,"
arriving in London ",abandon,location-arrival,positive,punc,type,incomplete
53,112,B,decl,251.0,state-abandon,"
",constrain-interruption,time,positive,pause,,
53,112,B,decl,251.0,state-abandon,"
",constrain-interruption,time,positive,punc,type,incomplete
59,30,B,decl,64.0,state-abandon,"
i'll give you thi... ",intent-opening-abandon-abandon,,positive,punc,type,incomplete
61,25,A,decl,57.0,state-abandon,"
",interruption,arrival,positive,pause,length,2s
61,25,A,decl,57.0,state-abandon,"
",interruption,arrival,positive,overlap,type,start
61,25,A,decl,57.0,state-abandon,"
",interruption,arrival,positive,punc,type,incomplete
61,26,B,decl,58.0,state-abandon,"
i ",report-abandon,,negative,overlap,type,end
61,26,B,decl,58.0,state-abandon,"
i ",report-abandon,,negative,punc,type,incomplete
63,60,B,decl,138.0,state-abandon,"
i i i tell the guy you can do any a... ",poss2-abandon-abandon-disflu,,positive,punc,type,incomplete
68,86,B,decl,154.0,state-abandon,"
",abandon,,positive,pause,,
68,86,B,decl,154.0,state-abandon,"
",abandon,,positive,punc,type,incomplete
69,54,B,decl,139.0,state-abandon,"
there's there's no condi... ",exists-abandon-abandon-disflu,,negative,punc,type,incomplete
69,54,B,decl,142.0,state-abandon,"
there's no other conditions in terms of a... ",abandon-exists-abandon,,negative,punc,type,incomplete
70,110,B,decl,210.0,state-abandon,"
",interruption-exists-decl,,positive,pause,,
70,110,B,decl,210.0,state-abandon,"
",interruption-exists-decl,,positive,punc,type,stop
