DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,11,A,q-wh,18.0,reqInfo,"
and what date is it you're travelling out ",open-query,journey-date,positive,punc,type,query
36,19,A,q-wh,30.0,reqInfo,"
and when is it you're returning ",open-query,time-return,positive,punc,type,query
37,9,A,q-wh,14.0,reqInfo,"
and what date is it you're travelling ",open-query,journey-date,positive,punc,type,query
37,13,A,frag,19.0,reqInfo,"
departing at what time from London Euston ",open-query,location-time-from-departure,positive,punc,type,query
37,19,A,q-wh,29.0,reqInfo,"
when are you returning ",open-query,time-return,positive,punc,type,query
38,11,A,q-wh,16.0,reqInfo,"
and what date is it you're departing ",open-query,date-departure,positive,punc,type,query
38,55,A,q-wh,82.0,reqInfo,"
and how do you spell that ",open-query,,positive,punc,type,query
38,73,A,q-wh,111.0,reqInfo,"
what type of credit card is that you hold ",open-query,creditcard,positive,punc,type,query
39,85,A,q-wh,194.0,reqInfo,"
and what type of credit card is that you hold ",open-query,creditcard,positive,punc,type,query
40,11,A,q-wh,16.0,reqInfo,"
and what date is it you're departing ",open-query,date-departure,positive,punc,type,query
40,55,A,q-wh,82.0,reqInfo,"
and how do you spell that ",open-query,,positive,punc,type,query
40,73,A,q-wh,111.0,reqInfo,"
what type of credit card is that you hold ",open-query,creditcard,positive,punc,type,query
41,20,B,q-wh,33.0,reqInfo,"
what's the cost for that ",open-query,booking-fare,positive,pause,,
41,20,B,q-wh,33.0,reqInfo,"
what's the cost for that ",open-query,booking-fare,positive,punc,type,query
41,53,A,q-wh,82.0,reqInfo,"
and what type of credit card is that do you hold ",open-query,creditcard,positive,punc,type,query
42,9,A,q-wh,16.0,reqInfo,"
and what date you travelling out ",open-query,journey-date,positive,punc,type,query
42,57,A,q-wh,100.0,reqInfo,"
",open-query,creditcard,positive,pause,,
42,57,A,q-wh,100.0,reqInfo,"
",open-query,creditcard,positive,punc,type,query
43,13,A,frag,21.0,reqInfo,"
",open-query,time-location-journey-from-day,positive,pause,length,3s
43,13,A,frag,21.0,reqInfo,"
",open-query,time-location-journey-from-day,positive,punc,type,query
43,17,A,q-wh,34.0,reqInfo,"
and when is it you're returning ",open-query,time-return,positive,punc,type,query
44,69,A,q-wh,152.0,reqInfo,"
what type of credit card is that you hold ",open-query,creditcard,positive,punc,type,query
45,26,B,q-wh,52.0,reqInfo,"
when's the last train on the Sunday ",open-query,time-day,positive,punc,type,query
46,20,B,q-wh,42.0,reqInfo,"
what is it again ",open-query,,positive,punc,type,query
46,27,A,q-wh,60.0,reqInfo,"
and what time on the Sunday ",open-query,time-day,positive,punc,type,query
46,32,B,q-wh,71.0,reqInfo,"
what's the one in the night ",open-query,number,positive,punc,type,query
46,36,B,q-wh,84.0,reqInfo,"
what was that mor... morning one again ",open-query,number-time,positive,punc,type,query
46,73,A,q-wh,165.0,reqInfo,"
what type of credit card ",open-query,creditcard,positive,punc,type,query
47,9,A,q-wh,13.0,reqInfo,"
and what date is it you're travelling out ",open-query,journey-date,positive,punc,type,query
47,39,A,q-wh,62.0,reqInfo,"
and when is it you're returning ",open-query,time-return,positive,punc,type,query
47,46,B,q-wh,83.0,reqInfo,"
",open-query,fare,positive,pause,,
47,46,B,q-wh,83.0,reqInfo,"
",open-query,fare,positive,punc,type,query
47,57,A,q-wh,101.0,reqInfo,"
what ",open-query,date-return,positive,overlap,type,end
47,57,A,q-wh,101.0,reqInfo,"
what ",open-query,date-return,positive,punc,type,query
47,102,B,q-wh,208.0,reqInfo,"
what's the one earlier than the 20:13 ",open-query,number-time,positive,punc,type,query
47,105,A,q-wh,212.0,reqInfo,"
what time around did you initially want to get ",open-query,time-name,positive,punc,type,query
47,139,A,q-wh,272.0,reqInfo,"
",open-query,creditcard,positive,pause,length,16s
47,139,A,q-wh,272.0,reqInfo,"
",open-query,creditcard,positive,punc,type,query
48,15,A,q-wh,25.0,reqInfo,"
what date is it you're travelling ",open-query,journey-date,positive,punc,type,query
48,23,A,q-wh,40.0,reqInfo,"
and when is it you're returning ",open-query,time-return,positive,punc,type,query
48,78,B,q-wh,133.0,reqInfo,"
how do i get my tickets now ",open-query,journey,positive,punc,type,query
48,107,A,q-wh,177.0,reqInfo,"
what type of credit card is that you hold ",open-query,creditcard,positive,punc,type,query
48,129,A,q-wh,207.0,reqInfo,"
",open-query,creditcard,positive,pause,,
48,129,A,q-wh,207.0,reqInfo,"
",open-query,creditcard,positive,punc,type,query
49,19,A,q-wh,36.0,reqInfo,"
",open-query,journey-date,positive,pause,,
49,19,A,q-wh,36.0,reqInfo,"
",open-query,journey-date,positive,punc,type,query
49,29,A,q-wh,58.0,reqInfo,"
and when is it you're returning ",open-query,time-return,positive,punc,type,query
49,103,A,q-wh,192.0,reqInfo,"
and what was the next word ",open-query,,positive,punc,type,query
