DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
9,16,B,decl,32.0,expressOpinion,"
and i think there's a train to that 9 30
",exists-opinion,enum,positive,,,
9,62,B,decl,108.0,expressOpinion,"
erm i think there's one leaving Crewe at about 5 30 the following morning
",exists-opinion-closure-closure,time-departure-number,positive,,,
12,112,B,frag,201.0,expressOpinion,"
the 20 07 would be great
",,enum,positive,,,
14,26,B,decl,44.0,expressOpinion,"
i suppose that's that's so really i could get off at Wrexham General
",opinion-poss1,time-location,positive,,,
14,50,B,frag,86.0,expressOpinion,"
sat nearer nearer to the an exit door i suppose would be the best one
",opinion,number,positive,,,
23,30,B,decl,47.0,expressOpinion,"
i think there's a train at 12 35 from London Euston
",exists-opinion-closure,time-location-from,positive,,,
24,57,A,decl,108.0,expressOpinion,"
it must be only non smoking trains ",constrain,avail-seat,positive,pause,,
27,32,B,frag,61.0,expressOpinion,"
i fancy sort of
",abandon,,positive,,,
34,26,B,frag,49.0,expressOpinion,"
i guess the go... thing i was worrying about on the Sunday
",opinion,,positive,,,
34,56,B,frag,133.0,expressOpinion,"
i probably need to think about that
",opinion-probability-constrain,,positive,,,
35,94,B,q-yn,154.0,expressOpinion,"
oh that's not bad is it
",closed,,negative,,,
39,48,B,decl,118.0,expressOpinion,"
i think they've booked ",report-opinion-decl,booking,positive,punc,type,stop
39,48,B,decl,121.0,expressOpinion,"
and i think they're coming back on Sunday the 11th at 5 o'clock ",opinion-decl,time-enum-day,positive,punc,type,stop
41,50,B,frag,78.0,expressOpinion,"
probably ",opinion-probability-decl,,positive,anonym,type,street
41,50,B,frag,78.0,expressOpinion,"
probably ",opinion-probability-decl,,positive,punc,type,stop
44,16,B,decl,41.0,expressOpinion,"
",opinion-exists-decl,,positive,pause,,
44,16,B,decl,41.0,expressOpinion,"
",opinion-exists-decl,,positive,punc,type,stop
44,36,B,decl,90.0,expressOpinion,"
i should be on your system because i've bought these every quite often ",suggest-reason-decl,,positive,punc,type,stop
44,58,B,decl,132.0,expressOpinion,"
i think there's one leaving Crewe at about 5:30 the following morning ",opinion-exists-decl,time-number-enum-departure,positive,punc,type,stop
46,38,B,decl,89.0,expressOpinion,"
i suppose i'm going to have to cope with that ",intent-opinion-constrain-decl,,positive,punc,type,stop
