DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,31,A,decl,59.0,stateIntent,"
i'll just gonna book
",intent,booking,positive,,,
36,39,A,decl,79.0,stateIntent,"
i'm booking from Euston to Birmingham New Street ",intent-decl,location-booking-to-from,positive,punc,type,stop
36,45,A,decl,86.0,stateIntent,"
i'm going to book you a forward facing seat again ",intent-decl,seat-booking,positive,punc,type,stop
38,98,B,decl,145.0,stateIntent,"
i'll go for a smoking then ",intent-preference1-decl,seat,positive,punc,type,stop
39,14,B,decl,33.0,stateIntent,"
so that's why i wanna know what time the one from Liverpool is ",intent-preference1-reason-decl,number-location-time-from,positive,punc,type,stop
39,44,B,decl,101.0,stateIntent,"
i'll book on the ",intent-decl,booking-number-time-day,positive,pause,,
39,44,B,decl,101.0,stateIntent,"
i'll book on the ",intent-decl,booking-number-time-day,positive,punc,type,stop
39,48,B,decl,124.0,stateIntent,"
i'll go on that ",intent-decl,,positive,punc,type,stop
40,98,B,decl,145.0,stateIntent,"
i'll go for a smoking then ",intent-preference1-decl,seat,positive,punc,type,stop
41,24,B,decl,38.0,stateIntent,"
i'll do that ",intent-decl,,positive,punc,type,stop
44,29,A,decl,75.0,stateIntent,"
what i'm going to do is arrange for you to collect your ticket on the day of travel ",intent-benefit-decl,journey-day,positive,punc,type,stop
44,33,A,decl,82.0,stateIntent,"
i'm going to book that for you ",intent-benefit-decl,booking,positive,punc,type,stop
45,22,B,decl,46.0,stateIntent,"
i'll have this one then ",intent-decl,number,positive,punc,type,stop
47,76,B,decl,140.0,stateIntent,"
and then i'll get Euston to Wilmslow cos i'll drive park my car there ",intent-reason-decl,location-to,positive,punc,type,stop
47,82,B,decl,153.0,stateIntent,"
i'll just catch a cab from Wilmslow ",intent-decl,from,positive,punc,type,stop
47,98,B,decl,200.0,stateIntent,"
i'll pay the extra money ",intent-decl,,positive,punc,type,stop
47,118,B,decl,238.0,stateIntent,"
i'll just chance it then ",intent-decl,,positive,punc,type,stop
49,13,A,decl,28.0,stateIntent,"
we'll try Wrexham Central ",intent-decl,location,positive,punc,type,stop
49,13,A,decl,29.0,stateIntent,"
we'll try that one first of all to see if that's going to suit your times ",intent-predict-condition-decl,number,positive,punc,type,stop
49,34,B,decl,67.0,stateIntent,"
",intent-frag,number-verify-day,positive,pause,,
49,34,B,decl,67.0,stateIntent,"
",intent-frag,number-verify-day,positive,punc,type,level
49,59,A,decl,117.0,stateIntent,"
and i'm going to arrange for you to collect your tickets tomorrow from London Euston ",intent-benefit-decl,location-journey-from-day,positive,punc,type,stop
49,90,B,decl,172.0,stateIntent,"
i'm going to give you the details ",intent-decl,,positive,punc,type,stop
50,13,A,decl,32.0,stateIntent,"
i'm going to have to arrange for the person to collect the tickets at the train station ",intent-constrain-decl,journey,positive,punc,type,stop
50,37,A,decl,73.0,stateIntent,"
",intent-decl,booking-number,positive,pause,length,6s
50,37,A,decl,73.0,stateIntent,"
",intent-decl,booking-number,positive,punc,type,stop
53,30,B,decl,83.0,stateIntent,"
",intent-preference1-alternative-poss1-frag,number-time,negative,pause,,
53,30,B,decl,83.0,stateIntent,"
",intent-preference1-alternative-poss1-frag,number-time,negative,punc,type,level
53,112,B,frag,250.0,stateIntent,"
just to make sure i know ",decl,verify,positive,punc,type,stop
54,28,B,decl,47.0,stateIntent,"
i'll go for the 9:35 ",intent-preference1-decl,,positive,punc,type,stop
55,26,B,decl,63.0,stateIntent,"
i'll call back in 2 minutes ",intent-decl,time-enum,positive,punc,type,stop
56,39,A,decl,77.0,stateIntent,"
i'm going to arrange for you to collect your ticket from the train station ",intent-benefit-decl,journey,positive,punc,type,stop
57,38,B,decl,93.0,stateIntent,"
i think i'm going to call back later and just take a chance ",intent-opinion-decl,time,positive,punc,type,stop
57,58,B,decl,141.0,stateIntent,"
i i'll have to take a chance and call back later and see if i can get the other one ",intent-poss1-constrain-condition-decl-disflu,number-time,positive,punc,type,stop
58,45,A,decl,87.0,stateIntent,"
what i'm going to do just now is fill out a booking form ",intent-frag,booking,positive,punc,type,level
58,45,A,frag,88.0,stateIntent,"
",frag,,positive,pause,,
58,45,A,frag,88.0,stateIntent,"
",frag,,positive,punc,type,level
58,45,A,frag,89.0,stateIntent,"
and arrange for you to collect your ticket 50 minutes before departure time on Monday ",benefit-decl,time-journey-from-enum-day-departure,positive,pause,,
58,45,A,frag,89.0,stateIntent,"
and arrange for you to collect your ticket 50 minutes before departure time on Monday ",benefit-decl,time-journey-from-enum-day-departure,positive,punc,type,stop
58,83,A,decl,152.0,stateIntent,"
i'll just going to reserve your seats ",intent-decl,,positive,punc,type,stop
59,59,A,decl,141.0,stateIntent,"
i'm just going to go over to double check what i've booked there with you ",report-intent-hold-decl,booking-location-verify,positive,punc,type,stop
60,9,A,decl,14.0,stateIntent,"
",intent-benefit,journey-day,positive,pause,,
60,9,A,decl,14.0,stateIntent,"
",intent-benefit,journey-day,positive,pause,,
60,9,A,decl,14.0,stateIntent,"
",intent-benefit,journey-day,positive,punc,type,stop
60,35,A,frag,64.0,stateIntent,"
and ",benefit-decl,journey,positive,pause,,
60,35,A,frag,64.0,stateIntent,"
and ",benefit-decl,journey,positive,punc,type,stop
61,29,A,decl,65.0,stateIntent,"
i'll specify Crewe and see what it brings up ",intent-decl,,positive,punc,type,stop
61,53,A,decl,144.0,stateIntent,"
i'll put forward facing ",intent-decl,seat,positive,overlap,type,end
61,53,A,decl,144.0,stateIntent,"
i'll put forward facing ",intent-decl,seat,positive,punc,type,stop
63,2,B,decl,10.0,stateIntent,"
and i want to go on a value place tomorrow ",intent-preference1-decl,day,positive,punc,type,stop
63,58,B,decl,133.0,stateIntent,"
i will do that ",decl,,positive,punc,type,stop
64,49,A,decl,102.0,stateIntent,"
i'll try and book that for you ",intent-benefit-decl,booking,positive,punc,type,stop
